basic_pos,praefix,stress_class
V,ø,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ø,paenultima
ADV,ø,paenultima
ø,ø,paenultima
ADV,ø,paenultima
N,ø,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
A,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
A,ab,ultima
N,ab,ultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
A,ø,ultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ø,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
V,ab,paenultima
ADV,ab,paenultima
N,ab,paenultima
ADV,ab,paenultima
N,ab,paenultima
ø,ab,paenultima
N,ø,ultima
N,ab,paenultima
N,ab,paenultima
N,ø,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,ultima
N,ø,paenultima
N,ab,ultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
V,ab,paenultima
N,ab,paenultima
N,ab,paenultima
ADV,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ab,paenultima
N,ø,ultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
V,ø,paenultima
V,ø,paenultima
ø,ø,paenultima
A,ø,paenultima
ø,ø,paenultima
N,ø,paenultima
ADV,ø,paenultima
N,ø,paenultima
A,ø,paenultima
ADV,ø,paenultima
ø,ø,paenultima
A,ø,paenultima
A,ø,paenultima
N,ø,paenultima
ø,ø,paenultima
N,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
A,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,paenultima
A,ø,ultima
N,ø,ultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
V,ø,paenultima
A,ø,paenultima
ø,ø,paenultima
N,ø,paenultima
ADV,ø,ultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,paenultima
N,ø,ultima
A,ø,ultima
N,ø,ultima
A,ø,ultima
N,ø,ultima
N,ø,ultima
N,ø,ultima
N,ø,paenultima
V,ø,paenultima
A,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
N,ø,paenultima
ADV,ø,paenultima
A,ø,ultima
ADV,ø,ultima
ø,ø,ultima
N,ø,ultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
N,ø,paenultima
A,ø,ultima
N,ø,paenultima
N,ø,ultima
ADV,ø,paenultima
N,ø,ultima
N,ø,ultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
ADV,ø,paenultima
N,ø,ultima
A,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
ADV,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
V,ø,paenultima
