basic_pos,praefix,stress_class,composita_length
V,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
N,ab,antepaenultima,1
N,ø,ultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ø,paenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ø,antepaenultima,1
ADV,ø,antepaenultima,1
N,ø,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ø,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
N,ab,antepaenultima,1
A,ab,antepaenultima,1
A,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
V,ab,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
N,ab,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
A,ø,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
A,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
ADV,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
A,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
N,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
V,ab,antepaenultima,1
