stress_class,all_NN_classification,all_JRip_classification,all_J48_classification,numeric_NN_classification,numeric_JRip_classification,numeric__J48_classification,sparse_NN_classification,sparse_JRip_classification,sparse_J48_classification,suffixl_NN_classification,suffix_JRip_classification,suffixl_J48_classification,praefix_NN_classification,praefix_JRip_classification,praefix_J48_classification,affix_NN_classification,affix_JRip_classification,affix_J48_classification,sonority_NN_classification,sonority_JRip_classification,sonority_48_classification,weight_NN_classification,weight_JRip_classification,weight_J48_classification,phoncat_NN_classification,phoncat_JRip_classification,phoncat_J48_classification,phon_NN_classification,phon_JRip_classification,phon_J48_classification,sylstruct_NN_classification,sylstruct_JRip_classification,sylstruct_J48_classification,meta_NN_classification,meta_JRip_classification,meta_J48_classification
antepaenultima,antepaenultima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,prima,prima,prima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,paenultima,prima,antepaenultima,prima,paenultima,prima,paenultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,ultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,prima,ultima,prima,prima,prima,paenultima,paenultima,paenultima,prima,prima,prima,antepaenultima,prima,antepaenultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,ultima
prima,prima,prima,prima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,prima,paenultima,paenultima,prima,prima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,prima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,prima,prima,prima,paenultima,prima,paenultima,paenultima,prima,paenultima,prima,ultima,prima,paenultima,paenultima,paenultima,antepaenultima,prima,antepaenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,ultima,prima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,ultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,paenultima
antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,prima,prima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,prima,prima,prima,prima,prima,prima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,prima,prima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
ultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,prima,antepaenultima,prima,antepaenultima,prima,prima,prima,paenultima,prima,paenultima,paenultima,prima,ultima,antepaenultima,prima,prima,prima,prima,ultima,antepaenultima,prima,ultima,ultima,ultima,paenultima,prima,prima,prima,prima,prima,prima
prima,prima,prima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima
prima,prima,prima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,antepaenultima,prima,prima,ultima,ultima,prima,prima,prima,prima,paenultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,paenultima,prima,ultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima,prima,prima,prima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima
prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,antepaenultima,antepaenultima
paenultima,paenultima,paenultima,paenultima,prima,prima,prima,prima,paenultima,paenultima,prima,prima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,prima,prima,prima,prima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima
paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,prima,antepaenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima
paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,prima,prima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,prima,prima,prima,prima,prima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima
prima,paenultima,ultima,ultima,paenultima,paenultima,prima,paenultima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,paenultima,prima,prima,prima,prima,prima,paenultima,paenultima,prima,prima,prima,paenultima,paenultima,paenultima,prima,ultima
antepaenultima,antepaenultima,antepaenultima,antepaenultima,paenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,prima,prima,ultima,prima,paenultima,prima,antepaenultima,ultima,ultima,prima,paenultima,prima,prima,prima,prima,ultima,antepaenultima,ultima,ultima,ultima,ultima,ultima,prima,antepaenultima,prima,prima,prima,prima
