syl_len0,syl_len1,syl0,syl1,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,cv_ratio0,cv_ratio1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,comp_len,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_class0,syl_class1,onset_class0,onset_class1,koda_class0,koda_class1,nucleus_class0,nucleus_class1,syl_weight0,syl_weight1,nomen,sylcnt,stress_class
5,4,Stink,tier,ier,ø,N,VN,SS,ø,C,CC,CCK,CCKC,CCKCC,C,LC,CLC,CCLC,CCCLC,ø,CCVCC,CVVC,4,1,2,1,2,1,1,2,2,1301,111,2,3,-1,CCKCC,CLC,CC,C,CC,C,K,L,2,1,T,2,paenultima
5,4,Preis,lied,ied,ø,N,VN,SS,ø,C,CC,CCD,CCDC,CCDCC,C,LC,CLC,CCLC,DCCLC,ø,CCVVC,CVVC,1,1,1,1,2,1,2,2,2,211,111,2,3,-1,CCDC,CLC,CC,C,C,C,D,L,1,1,T,2,paenultima
3,5,pre,schen,en,ø,V,V,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,111,1101,2,2,1,CCK,CKC,CC,C,?,C,K,K,1,0,F,2,paenultima
2,3,Ha,rem,em,ø,N,N,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,1011,3,3,1,CL,CKC,C,C,?,C,L,K,1,1,T,2,paenultima
2,4,Ba,rett,ett,ø,N,ø,ø,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,2,2,1,1,1,1,1,1,0,101,111,2,2,1,CK,CKC,C,C,?,C,K,K,1,1,T,2,ultima
5,3,Schwe,din,in,ø,N,N,SA,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,1,2,0,1,2,1,2,1,1,201,1101,2,2,1,CCL,CKC,CC,C,?,C,L,K,1,1,T,2,paenultima
5,2,Scheu,ne,e,ø,N,N,S,ø,C,CD,CDC,CDCK,ø,K,CK,DCK,CDCK,ø,ø,CVV,CV,0,1,0,0,1,1,2,1,1,101,1001,3,3,1,CD,CK,C,C,?,?,D,K,1,0,T,2,paenultima
3,5,the,tisch,isch,ø,A,A,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,201,2,2,1,CL,CKC,C,C,?,C,L,K,1,1,F,2,paenultima
3,3,vor,bei,ei,vor,ADV,ø,SS,acc,C,CL,CLC,CLCC,CLCCD,D,CD,CCD,LCCD,CLCCD,ø,CVVC,CVV,1,0,1,0,1,1,2,2,2,111,101,2,3,-1,CLC,CD,C,C,C,?,L,D,1,1,F,2,ultima
4,3,Staf,fel,el,ø,N,N,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,KCKC,CKCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,201,111,2,2,-1,CCK,CKC,CC,C,?,C,K,K,1,0,T,2,paenultima
2,3,un,gut,ut,ø,A,A,AS,ø,K,KC,KCC,KCCL,KCCLC,C,LC,CLC,CCLC,KCCLC,ø,VC,CVVC,1,1,1,1,0,1,1,2,1,1001,201,3,2,-1,KC,CLC,?,C,C,C,K,L,1,1,F,2,paenultima
5,4,Gleit,flug,ug,ø,N,VN,SS,ø,C,CC,CCD,CCDC,CCDCC,C,LC,CLC,CCLC,CCCLC,ø,CCVVC,CCVVC,1,1,1,1,2,2,2,2,2,211,211,2,2,0,CCDC,CCLC,CC,CC,C,C,D,L,1,1,T,2,paenultima
3,4,All,mend,end,ø,N,N,S,ø,K,KC,KCC,KCCK,KCCKC,C,CC,KCC,CKCC,CCKCC,ø,VC,CVCC,1,3,1,2,0,1,1,1,1,11,2101,3,2,1,KC,CKCC,?,C,C,CC,K,K,1,2,T,2,ultima
3,6,Dam,hirsch,irsch,ø,N,N,S,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,1,1101,211,2,2,-1,CKC,CKCC,C,C,C,CC,K,K,1,2,T,2,paenultima
3,4,Kol,laps,aps,ø,N,ø,ø,ø,C,CK,CKC,CKCK,CKCKC,C,CC,KCC,CKCC,KCKCC,ø,CVC,CVCC,2,3,1,2,1,1,1,1,0,101,211,2,2,1,CK,CKCC,C,C,?,CC,K,K,1,2,T,2,ultima
4,5,skep,tisch,isch,ø,A,R,SA,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,301,201,1,2,-1,CCKC,CKC,CC,C,C,C,K,K,1,1,F,2,paenultima
4,3,R2lp,ser,er,ø,N,V,SA,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,CCKC,CCCKC,ø,CVCC,CVC,3,2,2,1,1,1,1,1,1,121,111,3,2,-1,CKCC,CKC,C,C,CC,C,K,K,2,0,T,2,paenultima
4,3,Gr2b,ler,er,ø,N,V,SA,ø,C,CC,CCL,CCLC,CCLCC,C,KC,CKC,CCKC,LCCKC,ø,CCVV,CCVC,1,3,0,1,2,2,2,1,1,111,121,3,2,1,CCL,CCKC,CC,CC,?,C,L,K,1,0,T,2,paenultima
5,3,Pflan,zer,er,ø,N,V,SA,ø,A,AC,ACK,ACKC,ACKCA,C,KC,AKC,CAKC,KCAKC,ø,CCVC,CVC,3,2,1,1,2,1,1,1,1,1111,111,2,2,-1,ACKC,AKC,AC,A,C,C,K,K,1,0,T,2,paenultima
4,3,reiz,bar,ar,ø,A,V,SA,ø,C,CD,CDA,CDAC,CDACL,C,LC,CLC,ACLC,DACLC,ø,CVVC,CVVC,1,1,1,1,1,1,2,2,1,111,111,3,3,0,CDA,CLC,C,C,A,C,D,L,1,1,F,2,paenultima
4,5,Fast,nacht,acht,ø,N,VN,SS,ø,C,CK,CKC,CKCC,CKCCC,C,CC,KCC,CKCC,CCKCC,ø,CVCC,CVCC,3,3,2,2,1,1,1,1,2,301,1201,1,2,1,CKCC,CKCC,C,C,CC,CC,K,K,2,2,T,2,paenultima
2,3,Fo,rum,um,ø,N,N,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,0,2,0,1,1,1,2,1,1,101,1011,2,3,1,CL,CKC,C,C,?,C,L,K,1,1,T,2,paenultima
