syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl0,syl1,syl2,syl3,syl4,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,nomen,sylcnt,stress_class
3,2,2,3,3,neu,be,ar,bei,tet,et,ø,A,ø,SS,ø,C,CD,CDC,CDCK,CDCKK,C,KC,CKC,DCKC,CDCKC,ø,CVV,CV,VC,CVV,CVC,0,1,1,0,2,0,0,1,0,1,1,1,0,1,1,2,1,1,2,1,2,1001,101,11,101,201,4,2,3,3,2,-1,CD,CK,KC,CD,CKC,C,C,?,C,C,?,?,C,?,C,D,K,K,D,K,1,0,1,1,0,F,5,prima
3,3,4,2,5,Ner,ven,heil,an,stalt,alt,ø,N,NN,SAS,ø,C,CK,CKC,CKCC,CKCCK,L,CL,CCL,CCCL,KCCCL,ø,CVC,CVC,CVVC,VC,CCVCC,2,2,1,1,4,1,1,1,1,2,1,1,1,0,2,1,1,2,1,1,2,1011,1101,111,1001,201,3,2,3,3,2,-1,CKC,CKC,CDC,KC,CCL,C,C,C,?,CC,C,C,C,C,?,K,K,D,K,L,1,0,1,1,2,T,5,prima
6,2,3,3,4,Selbst,ge,f1l,lig,keit,eit,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCC,C,DC,CDC,CCDC,KCCDC,ø,CVCCCC,CV,CVC,CVC,CVVC,5,1,2,2,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,411,101,101,111,201,1,2,2,3,2,-1,CKCCCC,CK,CK,CKC,CDC,C,C,C,C,C,CCCC,?,?,C,C,K,K,K,K,D,2,0,1,1,1,T,5,prima
1,3,2,2,2,A,kro,te,ri,on,on,ø,N,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,C,KC,LKC,CLKC,LCLKC,ø,VC,CCVV,CVV,CVV,VC,1,1,0,0,1,1,0,0,0,1,0,2,1,1,0,1,2,2,2,1,0,1,111,101,11,1001,4,2,2,4,3,1,K,CCL,CL,CL,KC,?,CC,C,C,?,?,?,?,?,C,K,L,L,L,K,1,1,1,1,1,T,5,antepaenultima
4,4,3,3,4,Hirn,haut,ent,z2n,dung,ung,ø,N,NV,ø,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,CCKC,KCCKC,ø,CVCC,CVVC,VCC,CVC,CVC,3,1,2,2,2,2,1,2,1,1,1,1,0,1,1,1,2,1,1,1,2,1111,201,1101,1101,1101,2,2,2,2,2,1,CKCC,CDC,KCC,AKC,CKC,C,C,?,A,C,CC,C,CC,C,C,K,D,K,K,K,2,1,2,1,1,T,5,prima
2,2,2,5,4,Se,ri,en,schal,tung,ung,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLK,C,KC,CKC,CCKC,KCCKC,ø,CVV,CVV,VC,CVC,CVC,0,0,1,2,2,0,0,1,1,1,1,1,0,1,1,2,2,1,1,1,2,101,11,1001,111,1101,2,4,3,2,2,1,CL,CL,KC,CKC,CKC,C,C,?,C,C,?,?,C,C,C,L,L,K,K,K,1,1,0,1,1,T,5,prima
2,5,5,2,5,Er,sch3p,fungs,zu,stand,and,er,N,NN,SAS,noacc,K,KC,KCC,KCCK,KCCKA,C,CC,KCC,CKCC,CCKCC,ø,VC,CVC,CVCC,CVV,CCVCC,1,2,3,0,4,1,1,2,0,2,0,1,1,1,2,1,1,1,2,1,2,11,101,1201,101,1301,3,2,2,3,1,1,KC,CK,AKCC,AL,CCKCC,?,C,A,A,CC,C,?,CC,?,CC,K,K,K,L,K,1,1,2,1,2,T,5,sekunda
5,3,2,4,4,Stand,ort,be,stim,mung,ung,ø,N,NV,ø,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,KCKC,CKCKC,ø,CCVCC,VCC,CV,CCVC,CVC,4,2,1,3,2,2,2,0,1,1,2,0,1,2,1,1,1,1,1,1,2,1301,111,101,201,2001,1,2,2,2,3,1,CCKCC,KCC,CK,CCK,CKC,CC,?,C,CC,C,CC,CC,?,?,C,K,K,K,K,K,2,2,0,1,1,T,5,prima
3,3,3,2,2,Dis,pro,por,ti,on,on,ø,N,N,AS,ø,C,CK,CKC,CKCC,CKCCC,C,LC,LLC,ALLC,CALLC,ø,CVC,CCVV,CVC,CVV,VVC,2,1,2,0,0,1,0,1,0,1,1,2,1,1,0,1,2,1,2,2,1,201,111,111,101,1001,2,2,2,3,3,1,CKC,CCL,CKC,AL,LC,C,CC,C,A,?,C,?,C,?,C,K,L,K,L,L,1,1,1,1,1,T,5,ultima
3,3,3,3,3,wie,der,ein,set,zen,en,ø,V,BV,SS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,AKC,KAKC,CKAKC,ø,CVV,CVC,VVC,CVC,CVC,0,2,0,2,2,0,1,1,1,1,1,1,0,1,1,2,1,2,1,1,2,101,111,1001,101,1101,3,2,4,2,2,1,CL,CKC,DC,CK,AKC,C,C,?,C,A,?,C,C,?,C,L,K,D,K,K,1,0,1,1,0,F,5,antepaenultima
