syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl0,syl1,syl2,syl3,syl4,syl5,syl6,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,rhyme6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,syl_class6,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,onset_class6,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,koda_class6,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,nucleus_class6,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,nomen,sylcnt,stress_class
2,3,3,5,3,4,3,Ab,h1n,gig,keits,ver,h1lt,nis,is,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,CCCKC,noacc,VC,CVC,CVC,CVVC,CVC,CVCC,CVC,1,2,2,1,2,3,2,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,101,101,1101,201,111,211,1101,2,2,2,2,2,2,2,1,KC,CK,CKC,CDA,CKC,CKCC,CKC,,C,C,C,C,C,C,C,,C,A,C,CC,C,K,K,K,D,K,K,K,1,1,1,1,1,2,1,T,7,prima
2,5,2,3,2,3,4,Ab,strak,ti,ons,f1,hig,keit,eit,ø,N,NN,SAS,ø,K,KC,KCC,KCCC,KCCCC,C,DC,CDC,CCDC,KCCDC,ø,VC,CCCVC,CVV,VVCC,CVV,VC,CVVC,1,4,0,1,0,1,1,1,1,0,2,0,1,1,0,3,1,0,1,0,1,1,1,2,2,2,1,2,2,101,311,101,1101,101,101,201,2,2,3,2,2,3,2,-1,KC,CCCKC,AL,LCC,CL,KC,CDC,,CCC,A,,C,,C,C,C,,CC,,C,C,K,K,L,L,L,K,D,1,1,1,2,1,1,1,T,7,undef
2,3,2,2,2,4,4,Ad,ver,bi,al,be,stim,mung,ung,ø,N,AN,SS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVV,VVC,CV,CCVC,CVC,1,2,0,0,1,3,2,1,1,0,1,0,1,1,0,1,1,0,1,2,1,1,1,2,2,1,1,1,2,101,111,101,11,101,201,2001,2,2,3,4,2,2,3,1,KC,CKC,CL,LC,CK,CCK,CKC,,C,C,,C,CC,C,C,C,,C,,,C,K,K,L,L,K,K,K,1,1,1,1,0,1,1,T,7,undef
1,3,1,2,2,2,5,a,fro,a,me,ri,ka,nisch,isch,ø,A,A,AS,ø,L,LC,LCC,LCCL,LCCLK,C,KC,CKC,LCKC,CLCKC,ø,VV,CCVV,VC,CVV,CVV,CVV,CVC,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,2,0,1,1,1,1,2,2,1,2,2,2,1,1,1,111,1,1001,11,101,1101,6,2,4,3,4,3,2,1,L,CCL,K,CL,CL,CL,CKC,,CC,,C,C,C,C,,,,,,,C,L,L,K,L,L,L,K,1,1,1,1,1,1,1,F,7,prima
2,3,2,2,2,2,2,Ak,kli,ma,ti,sa,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CCVV,CVC,CVV,CVC,CVV,VVC,1,1,2,0,2,0,0,1,0,1,0,1,0,1,0,2,1,1,1,1,0,1,2,1,2,1,2,2,1,1,111,1001,101,101,101,1001,4,3,3,3,2,3,3,1,K,CCL,CK,CL,CK,AL,LC,,CC,C,C,C,A,,,,,,,,C,K,L,K,L,K,L,L,1,1,1,1,1,1,1,T,7,ultima
2,2,1,4,3,4,4,Ak,ti,o,n1rs,ver,samm,lung,ung,ø,N,NV,ø,ø,K,KC,KCA,KCAL,KCALL,C,KC,CKC,CCKC,KCCKC,ø,VC,CVV,VV,CVVCC,CVC,CVC,CCVC,1,0,0,1,2,2,3,1,0,0,2,1,1,1,0,1,0,1,1,1,2,1,2,2,2,1,1,1,2,101,101,1,1111,111,101,2011,2,3,4,2,2,2,3,1,KC,AL,L,CLCC,CKC,CK,CCKC,,A,,C,C,C,CC,C,,,CC,C,,C,K,L,L,L,K,K,K,1,1,1,2,1,1,1,T,7,undef
2,2,2,4,2,2,4,Ak,ti,vi,sten,be,we,gung,ung,ø,N,NN,SAS,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,CVC,CV,CVV,CVC,1,0,2,2,1,0,2,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,2,1,1,1,2,1,2,101,101,201,1101,101,101,1101,2,3,2,2,2,2,2,1,KC,CL,CKC,CKC,CK,CL,CKC,,C,C,C,C,C,C,C,,C,C,,,C,K,L,K,K,K,L,K,1,1,1,0,0,1,1,T,7,undef
1,2,2,2,2,3,3,A,lu,mi,ni,um,sul,fat,at,ø,N,NN,SS,ø,K,KC,KCL,KCLC,KCLCL,C,LC,CLC,CCLC,KCCLC,ø,VC,CVV,CVV,CVV,VC,CVC,CVVC,1,0,0,0,1,2,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,2,2,2,1,1,2,2,1,11,1001,1001,1001,111,201,4,4,3,3,3,3,2,1,K,CL,CL,CL,KC,CKC,CLC,,C,C,C,,C,C,,,,,C,C,C,K,L,L,L,K,K,L,1,1,1,1,1,1,1,T,7,undef
1,2,2,1,2,2,2,A,me,li,o,ra,ti,on,on,ø,N,R,SA,ø,K,KC,KCL,KCLC,KCLCL,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVV,VV,CVC,CVV,VVC,1,0,0,0,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,2,2,2,1,2,2,1,1,1001,11,1,11,101,1001,4,3,4,4,3,3,3,1,K,CL,CL,L,CK,AL,LC,,C,C,,C,A,,,,,,,,C,K,L,L,L,K,L,L,1,1,1,1,1,1,1,T,7,ultima
1,2,2,2,2,3,3,a,me,ri,ka,ni,sie,ren,en,ø,V,R,SA,ø,K,KC,KCL,KCLC,KCLCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVC,CVV,CVV,CVC,1,0,0,2,0,0,2,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1001,11,101,1001,101,1011,4,3,4,2,3,3,3,1,K,CL,CL,CK,CL,CL,CKC,,C,C,C,C,C,C,,,,,,,C,K,L,L,K,L,L,K,1,1,1,1,1,1,0,F,7,paenultima
