syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
len,ø,n,en,len,alen,aalen,C,KC,CKC,LCKC,ø,ø,aa,ø,a,aa,aal,aale,aalen,L,LC,LCK,LCKC,ø,ø,10,13,10,4,2,light,schwa,o,c,L,CKC,,C,,C,L,K,2,3,0,1,0,1,2,1,VV,CVC,0,2,V,N,F,1,aalen,paenultima
glatt,ø,t,tt,att,latt,glatt,C,KC,CKC,CCKC,CCCKC,ø,aal,ø,a,aa,aal,aalg,aalgl,L,LC,LCC,LCCC,LCCCK,ø,14,12,7,3,-1,light,light,c,c,LC,CCKC,,CC,C,C,L,K,3,5,1,1,0,2,2,1,VVC,CCVC,0,3,A,NA,F,2,aalglatt,paenultima
art,ø,t,rt,art,bart,Abart,C,CC,LCC,CLCC,KCLCC,ø,Ab,ø,A,Ab,Aba,Abar,Abart,K,KC,KCL,KCLC,KCLCC,acc,7,15,3,5,4,light,heavy,c,c,KC,LCC,,,C,CC,K,L,2,3,1,2,0,0,1,2,VC,VVCC,1,1,N,V,T,1,Abart,paenultima
bau,ø,u,au,bau,bbau,Abbau,D,CD,CCD,KCCD,ø,ø,Ab,ø,A,Ab,Abb,Abba,Abbau,K,KC,KCC,KCCD,ø,acc,7,11,3,5,2,light,light,c,o,KC,CD,,C,C,,K,D,2,3,1,0,0,1,1,2,VC,CVV,1,0,N,V,T,1,Abbau,paenultima
bild,ø,d,ld,ild,bild,bbild,C,CC,KCC,CKCC,CCKCC,ø,Ab,ø,A,Ab,Abb,Abbi,Abbil,K,KC,KCC,KCCK,KCCKC,acc,7,14,3,3,4,light,heavy,c,c,KC,CKCC,,C,C,CC,K,K,2,4,1,2,0,1,1,1,VC,CVCC,1,3,N,V,T,1,Abbild,paenultima
brand,ø,d,nd,and,rand,brand,C,CC,KCC,CKCC,CCKCC,ø,Ab,ø,A,Ab,Abb,Abbr,Abbra,K,KC,KCC,KCCC,KCCCK,acc,7,15,3,3,4,light,heavy,c,c,KC,CCKCC,,CC,C,CC,K,K,2,5,1,2,0,2,1,1,VC,CCVCC,1,4,N,N,T,1,Abbrand,paenultima
bruch,ø,h,ch,uch,ruch,bruch,C,KC,CKC,CCKC,CCCKC,ø,Ab,ø,A,Ab,Abb,Abbr,Abbru,K,KC,KCC,KCCC,KCCCK,acc,7,14,3,3,4,light,light,c,c,KC,CCKC,,CC,C,C,K,K,2,5,1,1,0,2,1,1,VC,CCVC,1,3,N,V,T,1,Abbruch,paenultima
dampf,ø,f,pf,mpf,ampf,dampf,A,CA,KCA,CKCA,CCKCA,ø,Ab,ø,A,Ab,Abd,Abda,Abdam,K,KC,KCC,KCCK,KCCKC,acc,7,11,3,2,2,light,heavy,c,c,KC,CKCA,,C,C,CA,K,K,2,5,1,2,0,1,1,1,VC,CVCC,1,3,N,V,T,1,Abdampf,paenultima
drift,ø,t,ft,ift,rift,drift,C,CC,KCC,CKCC,CCKCC,ø,Ab,ø,A,Ab,Abd,Abdr,Abdri,K,KC,KCC,KCCC,KCCCK,acc,7,15,3,3,4,light,heavy,c,c,KC,CCKCC,,CC,C,CC,K,K,2,5,1,2,0,2,1,1,VC,CCVCC,1,4,N,V,T,1,Abdrift,paenultima
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,ø,Ab,ø,A,Ab,Abd,Abdr,Abdru,K,KC,KCC,KCCC,KCCCK,acc,7,14,3,3,4,light,light,c,c,KC,CCKC,,CC,C,C,K,K,2,5,1,1,0,2,1,1,VC,CCVC,1,3,N,V,T,1,Abdruck,paenultima
bend,ø,d,nd,end,bend,Abend,C,CC,KCC,CKCC,LCKCC,ø,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,ø,10,11,10,2,1,light,schwa,o,c,L,CKCC,,C,,CC,L,K,1,4,0,2,0,1,2,1,VV,CVCC,0,3,N,N,T,1,Abend,paenultima
bends,ø,s,ds,nds,ends,bends,A,CA,KCA,CKCA,LCKCA,ø,a,ø,a,ab,abe,aben,abend,L,LC,LCK,LCKC,LCKCA,ø,10,11,10,2,1,light,schwa,o,c,L,CKCA,,C,,CA,L,K,1,5,0,2,0,1,2,1,VV,CVCC,0,3,ADV,F,F,1,abends,paenultima
ber,ø,r,er,ber,aber,ø,C,KC,CKC,LCKC,ø,ø,a,ø,a,ab,abe,aber,ø,L,LC,LCK,LCKC,ø,ø,10,11,10,3,1,light,schwa,o,c,L,CKC,,C,,C,L,K,1,3,0,1,0,1,2,1,VV,CVC,0,2,X,ø,F,1,aber,paenultima
ber,ø,r,er,ber,aber,ø,C,KC,CKC,LCKC,ø,ø,a,ø,a,ab,abe,aber,ø,L,LC,LCK,LCKC,ø,ø,10,11,10,3,1,light,schwa,o,c,L,CKC,,C,,C,L,K,1,3,0,1,0,1,2,1,VV,CVC,0,2,ADV,B,F,1,aber,paenultima
fahrt,ø,t,rt,hrt,ahrt,fahrt,C,CC,LCC,CLCC,CCLCC,ø,Ab,ø,A,Ab,Abf,Abfa,Abfah,K,KC,KCC,KCCL,KCCLC,ø,7,16,3,4,5,light,heavy,c,c,KC,CLCC,,C,C,CC,K,L,2,5,1,2,0,1,1,2,VC,CVVCC,1,1,N,F,T,1,Abfahrt,paenultima
fall,ø,l,ll,all,fall,bfall,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abf,Abfa,Abfal,K,KC,KCC,KCCK,KCCKC,acc,7,11,3,3,2,light,light,c,c,KC,CKC,,C,C,C,K,K,2,4,1,1,0,1,1,1,VC,CVC,1,2,N,V,T,1,Abfall,paenultima
flug,ø,g,ug,lug,flug,bflug,C,LC,CLC,CCLC,CCCLC,ø,Ab,ø,A,Ab,Abf,Abfl,Abflu,K,KC,KCC,KCCC,KCCCL,acc,7,14,3,3,4,light,light,c,c,KC,CCLC,,CC,C,C,K,L,2,4,1,1,0,2,1,2,VC,CCVVC,1,1,N,V,T,1,Abflug,paenultima
flu$,ø,s,ss,uss,luss,fluss,C,KC,CKC,CCKC,CCCKC,ø,Ab,ø,A,Ab,Abf,Abfl,Abflu,K,KC,KCC,KCCC,KCCCK,acc,7,14,3,3,4,light,light,c,c,KC,CCKC,,CC,C,C,K,K,2,4,1,1,0,2,1,1,VC,CCVC,1,3,N,V,T,1,Abfluss,paenultima
fuhr,ø,r,hr,uhr,fuhr,bfuhr,C,LC,CLC,CCLC,KCCLC,ø,Ab,ø,A,Ab,Abf,Abfu,Abfuh,K,KC,KCC,KCCL,KCCLC,acc,7,13,3,4,3,light,light,c,c,KC,CLC,,C,C,C,K,L,2,4,1,1,0,1,1,2,VC,CVVC,1,1,N,V,T,1,Abfuhr,paenultima
gang,ø,g,ng,ang,gang,bgang,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abg,Abga,Abgan,K,KC,KCC,KCCK,KCCKC,acc,7,10,3,3,2,light,light,c,c,KC,CKC,,C,C,C,K,K,2,4,1,1,0,1,1,1,VC,CVC,1,2,N,V,T,1,Abgang,paenultima
gas,ø,s,as,gas,bgas,Abgas,C,LC,CLC,CCLC,KCCLC,ø,Ab,ø,A,Ab,Abg,Abga,Abgas,K,KC,KCC,KCCL,KCCLC,acc,7,12,3,4,3,light,light,c,c,KC,CLC,,C,C,C,K,L,2,3,1,1,0,1,1,2,VC,CVVC,1,1,N,N,T,1,Abgas,paenultima
geld,ø,d,ld,eld,geld,bgeld,C,CC,KCC,CKCC,CCKCC,ø,Ab,ø,A,Ab,Abg,Abge,Abgel,K,KC,KCC,KCCK,KCCKC,acc,7,12,3,3,3,light,heavy,c,c,KC,CKCC,,C,C,CC,K,K,2,4,1,2,0,1,1,1,VC,CVCC,1,3,N,N,T,1,Abgeld,paenultima
glanz,ø,z,nz,anz,lanz,glanz,A,CA,KCA,CKCA,CCKCA,ø,Ab,ø,A,Ab,Abg,Abgl,Abgla,K,KC,KCC,KCCC,KCCCK,acc,7,15,3,3,4,light,heavy,c,c,KC,CCKCA,,CC,C,CA,K,K,2,5,1,2,0,2,1,1,VC,CCVCC,1,4,N,N,T,1,Abglanz,paenultima
gott,ø,t,tt,ott,gott,bgott,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abg,Abgo,Abgot,K,KC,KCC,KCCK,KCCKC,acc,7,8,3,2,1,light,light,c,c,KC,CKC,,C,C,C,K,K,2,4,1,1,0,1,1,1,VC,CVC,1,2,N,N,T,1,Abgott,paenultima
grund,ø,d,nd,und,rund,grund,C,CC,KCC,CKCC,CCKCC,ø,Ab,ø,A,Ab,Abg,Abgr,Abgru,K,KC,KCC,KCCC,KCCCK,acc,7,17,3,3,5,light,heavy,c,c,KC,CCKCC,,CC,C,CC,K,K,2,5,1,2,0,2,1,1,VC,CCVCC,1,4,N,N,T,1,Abgrund,paenultima
gu$,ø,s,ss,uss,guss,bguss,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abg,Abgu,Abgus,K,KC,KCC,KCCK,KCCKC,acc,7,10,3,3,2,light,light,c,c,KC,CKC,,C,C,C,K,K,2,3,1,1,0,1,1,1,VC,CVC,1,2,N,V,T,1,Abguss,paenultima
hang,ø,g,ng,ang,hang,bhang,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abh,Abha,Abhan,K,KC,KCC,KCCK,KCCKC,acc,7,10,3,3,2,light,light,c,c,KC,CKC,,C,C,C,K,K,2,4,1,1,0,1,1,1,VC,CVC,1,2,N,N,T,1,Abhang,paenultima
hold,ø,d,ld,old,hold,bhold,C,CC,KCC,CKCC,CCKCC,ø,ab,ab,a,ab,abh,abho,abhol,K,KC,KCC,KCCK,KCCKC,acc,7,12,3,3,3,light,heavy,c,c,KC,CKCC,,C,C,CC,K,K,2,4,1,2,0,1,1,1,VC,CVCC,1,3,A,A,F,1,abhold,paenultima
