syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
glatt,ø,t,tt,att,latt,glatt,C,KC,CKC,CCKC,CCCKC,aal,ø,a,aa,aal,aalg,aalgl,L,LC,LCC,LCCC,LCCCK,14,12,7,3,-1,light,light,c,c,LC,CCKC,,CC,C,C,L,K,3,5,1,1,0,2,2,1,VVC,CCVC,0,3,A,NA,F,2,aalglatt,paenultima
wahl,ø,l,hl,ahl,wahl,twahl,C,LC,CLC,CCLC,CCCLC,Abt,ø,A,Ab,Abt,Abtw,Abtwa,K,KC,KCC,KCCC,KCCCL,8,15,2,5,4,heavy,light,c,c,KCC,CLC,,C,CC,C,K,L,3,4,2,1,0,1,1,2,VCC,CVVC,2,1,N,NN,T,2,Abtwahl,paenultima
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,Achs,ø,A,Ac,Ach,Achs,Achsd,K,KC,KCC,KCCC,KCCCC,8,14,2,3,3,heavy,light,c,c,KCC,CCKC,,CC,CC,C,K,K,4,5,2,1,0,2,1,1,VCC,CCVC,2,3,N,NN,T,2,Achsdruck,paenultima
recht,ø,t,ht,cht,echt,recht,C,CC,KCC,CKCC,CCKCC,achs,ø,a,ac,ach,achs,achsr,K,KC,KCC,KCCC,KCCCK,8,12,2,3,2,heavy,heavy,c,c,KCC,CKCC,,C,CC,CC,K,K,4,5,2,2,0,1,1,1,VCC,CVCC,2,3,A,NA,F,2,achsrecht,paenultima
eck,ø,k,ck,eck,teck,hteck,C,KC,CKC,CCKC,KCCKC,Acht,ø,A,Ac,Ach,Acht,Achte,K,KC,KCC,KCCK,KCCKC,8,7,2,3,0,heavy,light,c,c,KCC,KC,,,CC,C,K,K,4,3,2,1,0,0,1,1,VCC,VC,2,1,N,ø,T,2,Achteck,paenultima
kampf,ø,f,pf,mpf,ampf,kampf,A,CA,KCA,CKCA,CCKCA,Acht,ø,A,Ac,Ach,Acht,Achtk,K,KC,KCC,KCCC,KCCCK,8,11,2,2,2,heavy,heavy,c,c,KCC,CKCA,,C,CC,CA,K,K,4,5,2,2,0,1,1,1,VCC,CVCC,2,3,N,ø,T,2,Achtkampf,paenultima
mal,ø,l,al,mal,tmal,htmal,C,LC,CLC,CCLC,CCCLC,acht,ø,a,ac,ach,acht,achtm,K,KC,KCC,KCCC,KCCCL,8,17,2,5,5,heavy,light,c,c,KCC,CLC,,C,CC,C,K,L,4,3,2,1,0,1,1,2,VCC,CVVC,2,1,ADV,ø,F,2,achtmal,paenultima
zehn,ø,n,hn,ehn,zehn,tzehn,C,LC,ALC,CALC,CCALC,acht,ø,a,ac,ach,acht,achtz,K,KC,KCC,KCCA,KCCAL,8,10,2,3,1,heavy,light,c,c,KCC,ALC,,A,CC,C,K,L,4,4,2,1,0,1,1,2,VCC,CVVC,2,1,X,ø,F,2,achtzehn,paenultima
frau,ø,u,au,rau,frau,nfrau,D,CD,CCD,CCCD,LCCCD,Ahn,ø,A,Ah,Ahn,Ahnf,Ahnfr,L,LC,LCC,LCCC,LCCCD,13,15,6,5,1,light,light,c,o,LC,CCD,,CC,C,,L,D,3,4,1,0,0,2,2,2,VVC,CCVV,0,1,N,NN,T,2,Ahnfrau,paenultima
herr,ø,r,rr,err,herr,nherr,C,KC,CKC,CCKC,LCCKC,Ahn,ø,A,Ah,Ahn,Ahnh,Ahnhe,L,LC,LCC,LCCK,LCCKC,13,11,6,3,-1,light,light,c,c,LC,CKC,,C,C,C,L,K,3,4,1,1,0,1,2,1,VVC,CVC,0,2,N,NN,T,2,Ahnherr,paenultima
