syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
zeit,ø,t,it,eit,zeit,lzeit,C,DC,ADC,CADC,KCADC,ø,all,ø,a,al,all,allz,allze,K,KC,KCA,KCAD,KCADC,ø,10,12,5,4,1,light,light,c,c,KC,ADC,,A,C,C,K,D,3,4,1,1,0,1,1,2,VC,CVVC,1,1,ADV,ø,F,2,allzeit,multa
bam,ø,m,am,bam,mbam,imbam,C,KC,CKC,CCKC,KCCKC,ø,Bim,ø,B,Bi,Bim,Bimb,Bimba,C,CK,CKC,CKCC,CKCCK,ø,12,10,4,3,-1,light,light,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,N,ø,T,0,Bimbam,multa
arm,ø,m,rm,arm,tarm,utarm,C,CC,KCC,CKCC,LCKCC,ø,blut,ø,b,bl,blu,blut,bluta,C,CC,CCL,CCLC,CCLCK,ø,14,13,3,4,0,light,heavy,c,c,CCLC,KCC,CC,,C,CC,L,K,4,3,1,2,2,0,2,1,CCVVC,VCC,1,2,A,NA,F,2,blutarm,multa
jung,ø,g,ng,ung,jung,tjung,C,KC,CKC,CCKC,LCCKC,ø,blut,ø,b,bl,blu,blut,blutj,C,CC,CCL,CCLC,CCLCC,ø,14,17,3,5,2,light,light,c,c,CCLC,CKC,CC,C,C,C,L,K,4,4,1,1,2,1,2,1,CCVVC,CVC,1,2,A,NA,F,2,blutjung,multa
nach,ø,h,ch,ach,nach,mnach,C,LC,CLC,CCLC,LCCLC,ø,dem,ø,d,de,dem,demn,demna,C,CL,CLC,CLCC,CLCCL,ø,10,14,3,4,2,light,light,c,c,CLC,CLC,C,C,C,C,L,L,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,ADV,ø,F,2,demnach,multa
n1chst,ø,t,st,hst,chst,echst,C,CC,CCC,LCCC,CLCCC,ø,dem,ø,d,de,dem,demn,demna,C,CL,CLC,CLCC,CLCCL,ø,10,12,3,2,1,light,heavy,c,c,CLC,CLCCC,C,C,C,CCC,L,L,3,6,1,3,1,1,2,2,CVVC,CVVCCC,1,2,ADV,ø,F,2,demnaechst,multa
art,ø,t,rt,art,rart,erart,C,CC,LCC,CLCC,LCLCC,ø,der,ø,d,de,der,dera,derar,C,CL,CLC,CLCL,CLCLC,ø,11,15,3,5,2,light,heavy,c,c,CLC,LCC,C,,C,CC,L,L,3,3,1,2,1,0,2,2,CVVC,VVCC,1,1,ADV,ø,F,2,derart,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,LCCD,CLCCD,ø,der,ø,d,de,der,derl,derle,C,CL,CLC,CLCC,CLCCD,ø,11,14,3,7,2,light,light,c,o,CLC,CD,C,C,C,,L,D,3,3,1,0,1,1,2,2,CVVC,CVV,1,0,X,F,F,1,derlei,multa
zeit,ø,t,it,eit,zeit,rzeit,C,DC,ADC,CADC,LCADC,ø,der,ø,d,de,der,derz,derze,C,CL,CLC,CLCA,CLCAD,ø,11,12,3,4,1,light,light,c,c,CLC,ADC,C,A,C,C,L,D,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,ADV,ø,F,2,derzeit,multa
halb,ø,b,lb,alb,halb,shalb,C,CC,KCC,CKCC,CCKCC,ø,des,ø,d,de,des,desh,desha,C,CK,CKC,CKCC,CKCCK,ø,8,12,2,3,2,light,heavy,c,c,CKC,CKCC,C,C,C,CC,K,K,3,4,1,2,1,1,1,1,CVC,CVCC,2,3,ADV,F,F,1,deshalb,multa
