syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
er,er,r,er,ier,eier,geier,C,KC,DKC,CDKC,CCDKC,Aas,ø,A,Aa,Aas,Aasg,Aasge,L,LC,LCC,LCCD,LCCDK,11,11,10,5,5,5,-1,light,light,schwa,c,o,c,LC,CD,KC,,C,,C,,C,L,D,K,3,3,2,1,0,1,0,1,0,2,2,1,VVC,CVV,VC,0,0,1,N,NN,T,2,Aasgeier,antepaenultima
feld,ø,d,ld,eld,feld,ufeld,C,CC,KCC,CKCC,DCKCC,Ab,ø,A,Ab,Abb,Abba,Abbau,K,KC,KCC,KCCD,KCCDC,7,11,12,3,5,3,2,light,light,heavy,c,o,c,KC,CD,CKCC,,C,C,C,,CC,K,D,K,2,3,4,1,0,2,0,1,1,1,2,1,VC,CVV,CVCC,1,0,3,N,VN,T,2,Abbaufeld,antepaenultima
recht,ø,t,ht,cht,echt,recht,C,CC,KCC,CKCC,DCKCC,Ab,ø,A,Ab,Abb,Abba,Abbau,K,KC,KCC,KCCD,KCCDC,7,11,12,3,5,3,2,light,light,heavy,c,o,c,KC,CD,CKCC,,C,C,C,,CC,K,D,K,2,3,5,1,0,2,0,1,1,1,2,1,VC,CVV,CVCC,1,0,3,N,VN,T,2,Abbaurecht,antepaenultima
$en,ø,n,en,sen,ssen,issen,C,KC,CKC,DCKC,CDCKC,ab,ab,a,ab,abb,abbe,abbei,K,KC,KCC,KCCD,KCCDC,7,11,10,3,5,3,1,light,light,schwa,c,o,c,KC,CD,CKC,,C,C,C,,C,K,D,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,PV,F,2,abbeissen,antepaenultima
licht,ø,t,ht,cht,icht,licht,C,CC,KCC,CKCC,CCKCC,Ab,ø,A,Ab,Abb,Abbl,Abble,K,KC,KCC,KCCC,KCCCK,7,15,14,3,3,3,3,light,heavy,heavy,c,c,c,KC,CCKCC,CKCC,,CC,C,C,CC,CC,K,K,K,2,5,5,1,2,2,0,2,1,1,1,1,VC,CCVCC,CVCC,1,4,3,N,VN,T,2,Abblendlicht,antepaenultima
brot,ø,t,ot,rot,brot,dbrot,C,LC,CLC,CCLC,CCCLC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,12,10,2,3,1,light,schwa,light,o,c,c,L,CKCC,CCLC,,C,CC,,CC,C,L,K,L,1,4,4,0,2,1,0,1,2,2,1,2,VV,CVCC,CCVVC,0,3,1,N,NN,T,2,Abendbrot,antepaenultima
kleid,ø,d,id,eid,leid,kleid,C,DC,CDC,CCDC,CCCDC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,16,10,2,4,3,light,schwa,light,o,c,c,L,CKCC,CCDC,,C,CC,,CC,C,L,K,D,1,4,5,0,2,1,0,1,2,2,1,2,VV,CVCC,CCVVC,0,3,1,N,NN,T,2,Abendkleid,antepaenultima
kurs,ø,s,rs,urs,kurs,dkurs,C,CC,KCC,CKCC,CCKCC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,14,10,2,3,2,light,schwa,heavy,o,c,c,L,CKCC,CKCC,,C,C,,CC,CC,L,K,K,1,4,4,0,2,2,0,1,1,2,1,1,VV,CVCC,CVCC,0,3,3,N,NN,T,2,Abendkurs,antepaenultima
land,ø,d,nd,and,land,dland,C,CC,KCC,CKCC,CCKCC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,14,10,2,3,2,light,schwa,heavy,o,c,c,L,CKCC,CKCC,,C,C,,CC,CC,L,K,K,1,4,4,0,2,2,0,1,1,2,1,1,VV,CVCC,CVCC,0,3,3,N,NN,T,2,Abendland,antepaenultima
mahl,ø,l,hl,ahl,mahl,dmahl,C,LC,CLC,CCLC,CCCLC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,17,10,2,5,3,light,schwa,light,o,c,c,L,CKCC,CLC,,C,C,,CC,C,L,K,L,1,4,4,0,2,1,0,1,1,2,1,2,VV,CVCC,CVVC,0,3,1,N,NN,T,2,Abendmahl,antepaenultima
rot,ø,t,ot,rot,drot,ndrot,C,LC,CLC,CCLC,CCCLC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,11,10,2,3,0,light,schwa,light,o,c,c,L,CKCC,CLC,,C,C,,CC,C,L,K,L,1,4,3,0,2,1,0,1,1,2,1,2,VV,CVCC,CVVC,0,3,1,N,NN,T,2,Abendrot,antepaenultima
zeit,ø,t,it,eit,zeit,szeit,C,DC,ADC,AADC,CAADC,Ab,ø,A,Ab,Abf,Abfa,Abfah,K,KC,KCC,KCCL,KCCLC,7,16,12,3,4,4,2,light,heavy,light,c,c,c,KC,CLCA,ADC,,C,A,C,CA,C,K,L,D,2,6,4,1,2,1,0,1,1,1,2,2,VC,CVVCC,CVVC,1,1,1,N,NN,T,2,Abfahrtszeit,antepaenultima
hahn,ø,n,hn,ahn,hahn,shahn,C,LC,CLC,CCLC,KCCLC,Ab,ø,A,Ab,Abf,Abfl,Abflu,K,KC,KCC,KCCC,KCCCK,7,14,14,3,3,4,3,light,light,light,c,c,c,KC,CCKC,CLC,,CC,C,C,C,C,K,K,L,2,4,4,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,N,NN,T,2,Abflusshahn,antepaenultima
tief,ø,f,ef,ief,tief,dtief,C,LC,CLC,CCLC,CCCLC,ab,ab,a,ab,abg,abgr,abgru,K,KC,KCC,KCCC,KCCCK,7,17,10,3,3,3,1,light,heavy,light,c,c,c,KC,CCKCC,CLC,,CC,C,C,CC,C,K,K,L,2,5,4,1,2,1,0,2,1,1,1,2,VC,CCVCC,CVVC,1,4,1,A,NA,F,2,abgrundtief,antepaenultima
dig,ø,g,ig,dig,ndig,andig,C,KC,CKC,CCKC,KCCKC,ab,ab,a,ab,abl,abla,ablan,K,KC,KCC,KCCK,KCCKC,7,13,10,3,4,3,1,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,A,PN,F,2,ablandig,antepaenultima
