syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
halb,ø,b,lb,alb,halb,nhalb,C,CC,KCC,CKCC,CCKCC,ø,acht,ø,a,ac,ach,acht,achte,K,KC,KCC,KCCD,KCCDC,ø,8,13,12,2,6,3,2,heavy,light,heavy,c,c,c,KCC,DC,CKCC,,,C,CC,C,CC,K,D,K,4,3,4,2,1,2,0,0,1,1,2,1,VCC,VVC,CVCC,2,0,3,X,ø,F,2,achteinhalb,multa
mal,ø,l,al,mal,emal,lemal,C,LC,CLC,KCLC,CKCLC,ø,al,ø,a,al,all,alle,allem,K,KC,KCK,KCKC,KCKCL,ø,6,10,17,6,5,5,5,light,schwa,light,c,o,c,K,CK,CLC,,C,C,,,C,K,K,L,2,2,3,1,0,1,0,1,1,1,1,2,VC,CV,CVVC,1,1,1,ADV,ø,F,2,allemal,multa
falls,ø,s,ls,lls,alls,falls,C,CC,KCC,CKCC,CCKCC,ø,al,ø,a,al,all,alle,allen,K,KC,KCK,KCKC,KCKCC,ø,6,13,12,6,4,3,3,light,schwa,heavy,c,c,c,K,CKC,CKCC,,C,C,,C,CC,K,K,K,2,3,5,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,ADV,ø,F,2,allenfalls,multa
art,ø,t,rt,art,rart,erart,C,CC,LCC,CLCC,KCLCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCL,ø,6,14,15,6,4,5,4,light,schwa,heavy,c,c,c,K,CKC,LCC,,C,,,C,CC,K,K,L,2,3,3,1,1,2,0,1,0,1,1,2,VC,CVC,VVCC,1,2,1,X,ø,F,2,allerart,multa
best,ø,t,st,est,best,rbest,C,CC,KCC,CKCC,CCKCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,9,6,4,2,1,light,schwa,heavy,c,c,c,K,CKC,CKCC,,C,C,,C,CC,K,K,K,2,3,4,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,A,A,F,1,allerbest,multa
dings,ø,s,gs,ngs,ings,dings,C,CC,KCC,CKCC,CCKCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,13,6,4,3,3,light,schwa,heavy,c,c,c,K,CKC,CKCC,,C,C,,C,CC,K,K,K,2,3,5,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,ADV,ø,F,2,allerdings,multa
erst,ø,t,st,rst,erst,rerst,C,CC,CCC,LCCC,CLCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCL,ø,6,14,12,6,4,3,3,light,schwa,heavy,c,c,c,K,CKC,LCCC,,C,,,C,CCC,K,K,L,2,3,4,1,1,3,0,1,0,1,1,2,VC,CVC,VVCCC,1,2,1,A,B,F,1,allererst,multa
hand,ø,d,nd,and,hand,rhand,C,CC,KCC,CKCC,CCKCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,11,6,4,2,2,light,schwa,heavy,c,c,c,K,CKC,CKCC,,C,C,,C,CC,K,K,K,2,3,4,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,X,ø,F,2,allerhand,multa
h3chst,ø,t,st,hst,chst,echst,C,CC,CCC,LCCC,CLCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,10,6,4,2,2,light,schwa,heavy,c,c,c,K,CKC,CLCCC,,C,C,,C,CCC,K,K,L,2,3,6,1,1,3,0,1,1,1,1,2,VC,CVC,CVVCCC,1,2,2,A,B,F,1,allerhoechst,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,KCCD,CKCCD,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,14,6,4,7,4,light,schwa,light,c,c,o,K,CKC,CD,,C,C,,C,,K,K,D,2,3,3,1,1,0,0,1,1,1,1,2,VC,CVC,CVV,1,2,0,X,ø,F,1,allerlei,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,KCCD,CKCCD,ø,Al,ø,A,Al,All,Alle,Aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,14,6,4,7,4,light,schwa,light,c,c,o,K,CKC,CD,,C,C,,C,,K,K,D,2,3,3,1,1,0,0,1,1,1,1,2,VC,CVC,CVV,1,2,0,N,ø,T,1,Allerlei,multa
letzt,ø,t,zt,tzt,etzt,letzt,C,AC,KAC,CKAC,CCKAC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,12,6,4,3,3,light,schwa,heavy,c,c,c,K,CKC,CKAC,,C,C,,C,AC,K,K,K,2,3,5,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,A,A,F,1,allerletzt,multa
liebst,ø,t,st,bst,ebst,iebst,C,CC,CCC,LCCC,CLCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,15,6,4,3,4,light,schwa,heavy,c,c,c,K,CKC,CLCCC,,C,C,,C,CCC,K,K,L,2,3,6,1,1,3,0,1,1,1,1,2,VC,CVC,CVVCCC,1,2,2,A,F,F,1,allerliebst,multa
meist,ø,t,st,ist,eist,meist,C,CC,DCC,CDCC,CCDCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,15,6,4,3,4,light,schwa,heavy,c,c,c,K,CKC,CDCC,,C,C,,C,CC,K,K,D,2,3,5,1,1,2,0,1,1,1,1,2,VC,CVC,CVVCC,1,2,1,ADV,B,F,1,allermeist,multa
n1chst,ø,t,st,hst,chst,echst,C,CC,CCC,LCCC,CLCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,12,6,4,2,3,light,schwa,heavy,c,c,c,K,CKC,CLCCC,,C,C,,C,CCC,K,K,L,2,3,6,1,1,3,0,1,1,1,1,2,VC,CVC,CVVCCC,1,2,2,A,ø,F,1,allernaechst,multa
orts,ø,s,ts,rts,orts,rorts,A,CA,KCA,CKCA,KCKCA,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCK,ø,6,14,11,6,4,3,2,light,schwa,heavy,c,c,c,K,CKC,KCA,,C,,,C,CA,K,K,K,2,3,4,1,1,2,0,1,0,1,1,1,VC,CVC,VCC,1,2,2,ADV,ø,F,2,allerorts,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,12,6,4,4,3,light,schwa,light,c,c,c,K,CKC,CDA,,C,C,,C,A,K,K,D,2,3,5,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,ADV,B,F,1,allerseits,multa
w1rts,ø,s,ts,rts,erts,aerts,A,CA,KCA,CKCA,CCKCA,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,12,6,4,3,3,light,schwa,heavy,c,c,c,K,CKC,CKCA,,C,C,,C,CA,K,K,K,2,3,5,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,ADV,ø,F,1,allerwaerts,multa
wegs,ø,s,gs,egs,wegs,rwegs,C,CC,LCC,CLCC,CCLCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,9,6,4,2,1,light,schwa,heavy,c,c,c,K,CKC,CLCC,,C,C,,C,CC,K,K,L,2,3,4,1,1,2,0,1,1,1,1,2,VC,CVC,CVVCC,1,2,1,ADV,F,F,1,allerwegs,multa
weil,ø,l,il,eil,weil,rweil,C,DC,CDC,CCDC,KCCDC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,15,6,4,5,4,light,schwa,light,c,c,c,K,CKC,CDC,,C,C,,C,C,K,K,D,2,3,4,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,ADV,ø,F,1,allerweil,multa
samt,ø,t,mt,amt,samt,esamt,C,CC,KCC,CKCC,KCKCC,ø,al,ø,a,al,all,alle,alles,K,KC,KCK,KCKC,KCKCK,ø,6,10,11,6,5,2,2,light,schwa,heavy,c,o,c,K,CK,CKCC,,C,C,,,CC,K,K,K,2,2,4,1,0,2,0,1,1,1,1,1,VC,CV,CVCC,1,1,3,X,ø,F,2,allesamt,multa
weil,ø,l,il,eil,weil,eweil,C,DC,CDC,KCDC,CKCDC,ø,al,ø,a,al,all,alle,allew,K,KC,KCK,KCKC,KCKCD,ø,6,10,15,6,5,5,4,light,schwa,light,c,o,c,K,CK,CDC,,C,C,,,C,K,K,D,2,2,4,1,0,1,0,1,1,1,1,2,VC,CV,CVVC,1,1,1,ADV,ø,F,2,alleweil,multa
zeit,ø,t,it,eit,zeit,ezeit,C,DC,ADC,KADC,CKADC,ø,al,ø,a,al,all,alle,allez,K,KC,KCK,KCKA,KCKAD,ø,6,10,12,6,5,4,3,light,schwa,light,c,o,c,K,CK,ADC,,C,A,,,C,K,K,D,2,2,4,1,0,1,0,1,1,1,1,2,VC,CV,CVVC,1,1,1,ADV,ø,F,2,allezeit,multa
mach,ø,h,ch,ach,mach,emach,C,LC,CLC,KCLC,CKCLC,ø,all,ø,a,al,all,allg,allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,14,5,3,4,2,light,schwa,light,c,o,c,KC,CK,CLC,,C,C,C,,C,K,K,L,3,2,4,1,0,1,0,1,1,1,1,2,VC,CV,CVVC,1,1,1,ADV,ø,F,2,allgemach,multa
mein,ø,n,in,ein,mein,emein,C,DC,CDC,KCDC,CKCDC,ø,all,ø,a,al,all,allg,allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,5,3,5,3,light,schwa,light,c,o,c,KC,CK,CDC,,C,C,C,,C,K,K,D,3,2,4,1,0,1,0,1,1,1,1,2,VC,CV,CVVC,1,1,1,A,A,F,1,allgemein,multa
lich,ø,h,ch,ich,lich,rlich,C,KC,CKC,CCKC,LCCKC,noacc,all,ø,a,al,all,allj,allja,K,KC,KCC,KCCL,KCCLC,ø,10,16,13,5,5,4,1,light,light,light,c,c,c,KC,CLC,CKC,,C,C,C,C,C,K,L,K,3,4,4,1,1,1,0,1,1,1,2,1,VC,CVVC,CVC,1,1,2,A,ø,F,2,alljaehrlich,multa
lich,ø,h,ch,ich,lich,tlich,C,KC,CKC,CCKC,CCCKC,noacc,all,ø,a,al,all,alln,allna,K,KC,KCC,KCCK,KCCKC,ø,10,11,13,5,2,4,1,light,heavy,light,c,c,c,KC,CKCC,CKC,,C,C,C,CC,C,K,K,K,3,5,4,1,2,1,0,1,1,1,1,1,VC,CVCC,CVC,1,3,2,A,ø,F,2,allnaechtlich,multa
man,ø,n,an,man,dman,ndman,C,KC,CKC,CCKC,CCCKC,ø,All,ø,A,Al,All,Allr,Allro,L,LC,LCC,LCCD,LCCDC,ø,10,18,16,5,4,5,3,light,heavy,light,c,c,c,LC,CDCC,CKC,,C,C,C,CC,C,L,D,K,3,5,3,1,2,1,0,1,1,2,2,1,VVC,CVVCC,CVC,0,1,2,N,ø,T,0,Allroundman,multa
send,ø,d,nd,end,send,ssend,C,CC,KCC,CKCC,KCKCC,ø,all,ø,a,al,all,allw,allwi,K,KC,KCC,KCCK,KCCKC,ø,10,9,11,5,4,2,0,light,light,schwa,c,c,c,KC,CK,CKCC,,C,C,C,,CC,K,K,K,3,3,4,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,A,ø,F,2,allwissend,multa
mal,ø,l,al,mal,umal,zumal,C,LC,CLC,LCLC,ALCLC,ø,all,ø,a,al,all,allz,allzu,K,KC,KCA,KCAL,KCALC,ø,10,9,17,5,4,5,3,light,light,light,c,o,c,KC,AL,CLC,,A,C,C,,C,K,L,L,3,2,3,1,0,1,0,1,1,1,2,2,VC,CVV,CVVC,1,0,1,ADV,ø,F,2,allzumal,multa
oft,ø,t,ft,oft,uoft,zuoft,C,CC,KCC,LKCC,ALKCC,ø,all,ø,a,al,all,allz,allzu,K,KC,KCA,KCAL,KCALK,ø,10,9,8,5,4,2,-1,light,light,heavy,c,o,c,KC,AL,KCC,,A,,C,,CC,K,L,K,3,2,3,1,0,2,0,1,0,1,2,1,VC,CVV,VCC,1,0,2,ADV,ø,F,2,allzuoft,multa
viel,ø,l,el,iel,viel,uviel,C,LC,CLC,LCLC,ALCLC,ø,all,ø,a,al,all,allz,allzu,K,KC,KCA,KCAL,KCALC,ø,10,9,13,5,4,4,1,light,light,light,c,o,c,KC,AL,CLC,,A,C,C,,C,K,L,L,3,2,4,1,0,1,0,1,1,1,2,2,VC,CVV,CVVC,1,0,1,ADV,ø,F,2,allzuviel,multa
kannt,ø,t,nt,nnt,annt,kannt,C,CC,KCC,CKCC,KCKCC,ø,alt,ø,a,al,alt,altb,altbe,L,LC,LCK,LCKC,LCKCK,ø,6,7,11,6,3,2,2,heavy,schwa,heavy,c,o,c,L,CK,CKCC,,C,C,,,CC,L,K,K,3,2,5,2,0,2,0,1,1,1,1,1,VCC,CV,CVCC,2,1,3,A,AA,F,2,altbekannt,multa
w1hrt,ø,t,rt,hrt,ehrt,aehrt,C,CC,LCC,CLCC,KCLCC,ø,alt,ø,a,al,alt,altb,altbe,L,LC,LCK,LCKC,LCKCL,ø,6,7,12,6,3,3,3,heavy,schwa,heavy,c,o,c,L,CK,CLCC,,C,C,,,CC,L,K,L,3,2,5,2,0,2,0,1,1,1,1,2,VCC,CV,CVVCC,2,1,1,A,ø,F,2,altbewaehrt,multa
lisch,ø,h,ch,sch,isch,lisch,C,KC,CKC,CCKC,KCCKC,ø,alt,ø,a,al,alt,alte,alten,L,LK,LKC,LKCC,LKCCK,ø,6,9,13,6,4,4,3,heavy,light,light,c,c,c,L,KC,CKC,,,C,,C,C,L,K,K,3,3,5,2,1,1,0,0,1,1,1,1,VCC,VC,CVC,2,1,2,A,AA,F,2,altenglisch,multa
probt,ø,t,bt,obt,robt,probt,C,CC,LCC,CLCC,CCLCC,ø,alt,ø,a,al,alt,alte,alter,L,LK,LKC,LKCC,LKCCC,ø,6,10,13,6,5,2,3,heavy,light,heavy,c,c,c,L,KC,CCLCC,,,CC,,C,CC,L,K,L,3,2,5,2,1,2,0,0,2,1,1,2,VCC,VC,CCVVCC,2,1,2,A,AA,F,2,alterprobt,multa
dient,ø,t,nt,ent,ient,dient,C,CC,LCC,CLCC,KCLCC,ø,alt,ø,a,al,alt,altg,altge,L,LC,LCK,LCKC,LCKCL,ø,6,7,13,6,3,3,3,heavy,schwa,heavy,c,o,c,L,CK,CLCC,,C,C,,,CC,L,K,L,3,2,5,2,0,2,0,1,1,1,1,2,VCC,CV,CVVCC,2,1,1,A,ø,F,2,altgedient,multa
wohnt,ø,t,nt,hnt,ohnt,wohnt,C,CC,LCC,CLCC,KCLCC,ø,alt,ø,a,al,alt,altg,altge,L,LC,LCK,LCKC,LCKCL,ø,6,7,11,6,3,2,2,heavy,schwa,heavy,c,o,c,L,CK,CLCC,,C,C,,,CC,L,K,L,3,2,5,2,0,2,0,1,1,1,1,2,VCC,CV,CVVCC,2,1,1,A,ø,F,2,altgewohnt,multa
mal,ø,l,al,mal,rmal,ermal,C,LC,CLC,CCLC,KCCLC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,17,4,3,5,4,light,schwa,light,c,c,c,KC,CKC,CLC,,C,C,C,C,C,K,K,L,2,3,3,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,ADV,ø,F,2,andermal,multa
falls,ø,s,ls,lls,alls,falls,C,CC,KCC,CKCC,CCKCC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,14,12,4,3,3,1,light,schwa,heavy,c,c,c,KC,CKCC,CKCC,,C,C,C,CC,CC,K,K,K,2,4,5,1,2,2,0,1,1,1,1,1,VC,CVCC,CVCC,1,3,3,ADV,ø,F,2,andernfalls,multa
