syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
lich,ø,h,ch,ich,lich,rlich,C,KC,CKC,CCKC,KCCKC,noacc,ab,ab,a,ab,aba,abae,abaen,K,KC,KCK,KCKC,KCKCC,acc,7,9,11,13,3,4,3,4,2,light,light,schwa,light,c,c,c,c,KC,KC,CKC,CKC,,,C,C,C,C,C,C,K,K,K,K,2,2,3,4,1,1,1,1,0,0,1,1,1,1,1,1,VC,VC,CVC,CVC,1,1,2,2,A,V,F,1,abaenderlich,prima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,Aba,Abae,Abaen,K,KC,KCK,KCKC,KCKCC,acc,7,9,7,15,3,4,3,5,2,light,light,schwa,light,c,c,o,c,KC,KC,CK,CKC,,,C,C,C,C,,C,K,K,K,K,2,2,2,4,1,1,0,1,0,0,1,1,1,1,1,1,VC,VC,CV,CVC,1,1,1,2,N,V,T,1,Abaenderung,prima
ten,ø,n,en,ten,iten,eiten,C,KC,CKC,DCKC,CDCKC,ø,ab,ab,a,ab,aba,abar,abarb,K,KC,KCK,KCKC,KCKCC,acc,7,10,11,10,3,5,5,3,1,light,light,light,schwa,c,c,o,c,KC,KC,CD,CKC,,,C,C,C,C,,C,K,K,D,K,2,2,3,3,1,1,0,1,0,0,1,1,1,1,2,1,VC,VC,CVV,CVC,1,1,0,2,V,V,F,1,abarbeiten,prima
dig,ø,g,ig,dig,rdig,erdig,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,abb,abba,abbau,K,KC,KCC,KCCD,KCCDC,acc,7,11,13,10,3,5,4,3,1,light,light,light,light,c,o,c,c,KC,CD,CKC,CKC,,C,C,C,C,,C,C,K,D,K,K,2,3,3,3,1,0,1,1,0,1,1,1,1,2,1,1,VC,CVV,CVC,CVC,1,0,2,2,A,N,F,1,abbauwuerdig,prima
men,ø,n,en,men,mmen,ommen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbe,abbek,K,KC,KCC,KCCK,KCCKC,acc,7,7,7,12,3,3,3,4,1,light,schwa,light,schwa,c,o,c,c,KC,CK,CK,CKC,,C,C,C,C,,,C,K,K,K,K,2,2,3,3,1,0,1,1,0,1,1,1,1,1,1,1,VC,CV,CVC,CVC,1,1,2,2,V,V,F,1,abbekommen,prima
fen,ø,n,en,fen,ufen,rufen,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abb,abbe,abber,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,10,3,3,6,3,1,light,schwa,light,schwa,c,o,o,c,KC,CK,CL,CKC,,C,C,C,C,,,C,K,K,L,K,2,2,2,3,1,0,0,1,0,1,1,1,1,1,2,1,VC,CV,CVV,CVC,1,1,0,2,V,V,F,1,abberufen,prima
fung,ø,g,ng,ung,fung,ufung,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,Abb,Abbe,Abber,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,12,3,3,6,4,2,light,schwa,light,light,c,o,o,c,KC,CK,CL,CKC,,C,C,C,C,,,C,K,K,L,K,2,2,2,4,1,0,0,1,0,1,1,1,1,1,2,1,VC,CV,CVV,CVC,1,1,0,2,N,V,T,1,Abberufung,prima
len,ø,n,en,len,llen,ellen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbe,abbes,K,KC,KCC,KCCK,KCCKC,acc,7,7,8,13,3,3,2,4,2,light,schwa,light,schwa,c,o,c,c,KC,CK,CCK,CKC,,C,CC,C,C,,,C,K,K,K,K,2,2,4,3,1,0,1,1,0,1,2,1,1,1,1,1,VC,CV,CCVC,CVC,1,1,3,2,V,V,F,1,abbestellen,prima
lung,ø,g,ng,ung,lung,llung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,Abb,Abbe,Abbes,K,KC,KCC,KCCK,KCCKC,acc,7,7,8,15,3,3,2,5,2,light,schwa,light,light,c,o,c,c,KC,CK,CCK,CKC,,C,CC,C,C,,,C,K,K,K,K,2,2,4,4,1,0,1,1,0,1,2,1,1,1,1,1,VC,CV,CCVC,CVC,1,1,3,2,N,V,T,1,Abbestellung,prima
len,ø,n,en,len,hlen,ahlen,C,KC,CKC,LCKC,ALCKC,ø,ab,ab,a,ab,abb,abbe,abbez,K,KC,KCC,KCCK,KCCKA,acc,7,7,11,13,3,3,5,4,2,light,schwa,light,schwa,c,o,o,c,KC,CK,AL,CKC,,C,A,C,C,,,C,K,K,L,K,2,2,3,3,1,0,0,1,0,1,1,1,1,1,2,1,VC,CV,CVV,CVC,1,1,0,2,V,V,F,1,abbezahlen,prima
lung,ø,g,ng,ung,lung,elung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,Abb,Abbr,Abbro,K,KC,KCC,KCCC,KCCCK,acc,7,11,7,15,3,3,3,5,2,light,light,schwa,light,c,c,o,c,KC,CCK,CK,CKC,,CC,C,C,C,,,C,K,K,K,K,2,3,3,4,1,1,0,1,0,2,1,1,1,1,1,1,VC,CCVC,CV,CVC,1,3,1,2,N,V,T,1,Abbroeckelung,prima
beit,ø,t,it,eit,beit,rbeit,C,DC,CDC,CCDC,KCCDC,ø,Ab,ø,A,Ab,Abb,Abbr,Abbru,K,KC,KCC,KCCC,KCCCK,acc,7,14,10,12,3,3,5,4,1,light,light,light,light,c,c,c,c,KC,CCKC,KC,CDC,,CC,,C,C,C,C,C,K,K,K,D,2,5,2,4,1,1,1,1,0,2,0,1,1,1,1,2,VC,CCVC,VC,CVVC,1,3,1,1,N,NN,T,2,Abbrucharbeit,prima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abc,abch,abcha,K,KC,KCC,KCCN,KCCNC,acc,7,9,9,13,3,4,4,4,1,light,light,light,schwa,c,o,o,c,KC,CN,CL,CKC,,C,C,C,C,,,C,K,N,L,K,2,4,3,3,1,0,0,1,0,1,1,1,1,2,2,1,VC,CVV,CVV,CVC,1,0,0,2,V,V,F,1,abchangieren,prima
me,ø,e,me,rme,erme,aerme,K,CK,CCK,KCCK,CKCCK,ø,Ab,ø,A,Ab,Abd,Abda,Abdam,K,KC,KCC,KCCK,KCCKC,acc,7,11,11,9,3,2,3,4,0,light,heavy,light,schwa,c,c,c,o,KC,CKCA,CKC,CK,,C,C,C,C,CA,C,,K,K,K,K,2,5,3,2,1,2,1,0,0,1,1,1,1,1,1,1,VC,CVCC,CVC,CV,1,3,2,1,N,VN,T,2,Abdampfwaerme,prima
rei,ø,i,ei,rei,erei,kerei,D,CD,KCD,CKCD,KCKCD,ø,Ab,ø,A,Ab,Abd,Abde,Abdec,K,KC,KCC,KCCK,KCCKC,acc,7,7,7,14,3,3,3,7,2,light,light,schwa,light,c,c,o,o,KC,CK,CK,CD,,C,C,C,C,,,,K,K,K,D,2,2,3,3,1,1,0,0,0,1,1,1,1,1,1,2,VC,CVC,CV,CVV,1,2,1,0,N,V,T,1,Abdeckerei,ultima
tisch,ø,h,ch,sch,isch,tisch,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abd,abde,abder,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,10,3,3,6,3,1,light,light,light,light,c,o,o,c,KC,CL,CL,CKC,,C,C,C,C,,,C,K,L,L,K,2,2,2,5,1,0,0,1,0,1,1,1,1,2,2,1,VC,CVV,CVV,CVC,1,0,0,2,A,N,F,1,abderitisch,antepaenultima
nal,ø,l,al,nal,inal,minal,C,LC,CLC,LCLC,CLCLC,ø,ab,ab,a,ab,abd,abdo,abdom,K,KC,KCC,KCCL,KCCLC,ø,7,7,11,17,3,3,5,5,3,light,light,light,light,c,o,o,c,KC,CL,CL,CLC,,C,C,C,C,,,C,K,L,L,L,2,2,2,3,1,0,0,1,0,1,1,1,1,2,2,2,VC,CVV,CVV,CVVC,1,0,0,1,A,N,F,1,abdominal,ultima
on,ø,n,on,ion,tion,ktion,C,LC,LLC,ALLC,CALLC,ø,Ab,ø,A,Ab,Abd,Abdu,Abduk,K,KC,KCC,KCCK,KCCKC,ø,7,10,9,9,3,3,4,4,0,light,light,light,light,c,c,o,c,KC,CKC,AL,LC,,C,A,,C,C,,C,K,K,L,L,2,3,2,2,1,1,0,1,0,1,1,0,1,1,2,2,VC,CVC,CVV,VVC,1,2,0,0,N,R,T,1,Abduktion,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,ALCKC,ø,ab,ab,a,ab,abd,abdu,abduz,K,KC,KCC,KCCL,KCCLA,ø,7,9,9,13,3,4,4,4,1,light,light,light,schwa,c,o,o,c,KC,CL,AL,CKC,,C,A,C,C,,,C,K,L,L,K,2,2,3,3,1,0,0,1,0,1,1,1,1,2,2,1,VC,CVV,CVV,CVC,1,0,0,2,V,R,F,1,abduzieren,paenultima
zug,ø,g,ug,zug,nzug,anzug,C,LC,ALC,CALC,KCALC,ø,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,ø,10,11,9,10,10,2,4,3,-1,light,schwa,light,light,o,c,c,c,L,CKCC,KC,ALC,,C,,A,,CC,C,C,L,K,K,L,1,4,2,3,0,2,1,1,0,1,0,1,2,1,1,2,VV,CVCC,VC,CVVC,0,3,1,1,N,NN,T,2,Abendanzug,prima
lang,ø,g,ng,ang,lang,elang,C,KC,CKC,KCKC,CKCKC,ø,a,ø,a,ab,abe,aben,abend,L,LC,LCK,LCKC,LCKCC,ø,10,10,7,13,10,3,3,4,0,light,schwa,schwa,light,o,c,o,c,L,CKC,CK,CKC,,C,C,C,,C,,C,L,K,K,K,1,3,2,4,0,1,0,1,0,1,1,1,2,1,1,1,VV,CVC,CV,CVC,0,2,1,2,A,NA,F,2,abendelang,prima
