syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
lich,ø,h,ch,ich,lich,rlich,C,KC,CKC,CCKC,KCCKC,noacc,ab,ab,a,ab,ø,ø,ø,K,KC,KCK,KCKC,KCKCC,acc,7,9,11,13,3,4,3,4,2,light,light,schwa,light,c,c,c,c,KC,KC,CKC,CKC,,,C,C,C,C,C,C,K,K,K,K,2,2,3,4,1,1,1,1,0,0,1,1,1,1,1,1,VC,VC,CVC,CVC,1,1,2,2,A,V,F,1,abaenderlich,prima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCK,KCKC,KCKCC,acc,7,9,7,15,3,4,3,5,2,light,light,schwa,light,c,c,o,c,KC,KC,CK,CKC,,,C,C,C,C,,C,K,K,K,K,2,2,2,4,1,1,0,1,0,0,1,1,1,1,1,1,VC,VC,CV,CVC,1,1,1,2,N,V,T,1,Abaenderung,prima
ten,ø,n,en,ten,ø,ø,C,KC,CKC,DCKC,CDCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCK,KCKC,KCKCC,acc,7,10,11,10,3,5,5,3,1,light,light,light,schwa,c,c,o,c,KC,KC,CD,CKC,,,C,C,C,C,,C,K,K,D,K,2,2,3,3,1,1,0,1,0,0,1,1,1,1,2,1,VC,VC,CVV,CVC,1,1,0,2,V,V,F,1,abarbeiten,prima
ø,ø,g,ig,ø,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCD,KCCDC,acc,7,11,13,10,3,5,4,3,1,light,light,light,light,c,o,c,c,KC,CD,CKC,CKC,,C,C,C,C,,C,C,K,D,K,K,2,3,3,3,1,0,1,1,0,1,1,1,1,2,1,1,VC,CVV,CVC,CVC,1,0,2,2,A,N,F,1,abbauwuerdig,prima
ø,ø,n,en,ø,ø,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,7,12,3,3,3,4,1,light,schwa,light,schwa,c,o,c,c,KC,CK,CK,CKC,,C,C,C,C,,,C,K,K,K,K,2,2,3,3,1,0,1,1,0,1,1,1,1,1,1,1,VC,CV,CVC,CVC,1,1,2,2,V,V,F,1,abbekommen,prima
ø,ø,n,en,ø,ø,ø,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,10,3,3,6,3,1,light,schwa,light,schwa,c,o,o,c,KC,CK,CL,CKC,,C,C,C,C,,,C,K,K,L,K,2,2,2,3,1,0,0,1,0,1,1,1,1,1,2,1,VC,CV,CVV,CVC,1,1,0,2,V,V,F,1,abberufen,prima
ø,ø,g,ng,ung,ø,ø,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,12,3,3,6,4,2,light,schwa,light,light,c,o,o,c,KC,CK,CL,CKC,,C,C,C,C,,,C,K,K,L,K,2,2,2,4,1,0,0,1,0,1,1,1,1,1,2,1,VC,CV,CVV,CVC,1,1,0,2,N,V,T,1,Abberufung,prima
ø,ø,n,en,ø,ø,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,8,13,3,3,2,4,2,light,schwa,light,schwa,c,o,c,c,KC,CK,CCK,CKC,,C,CC,C,C,,,C,K,K,K,K,2,2,4,3,1,0,1,1,0,1,2,1,1,1,1,1,VC,CV,CCVC,CVC,1,1,3,2,V,V,F,1,abbestellen,prima
lung,ø,g,ng,ung,lung,ø,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,8,15,3,3,2,5,2,light,schwa,light,light,c,o,c,c,KC,CK,CCK,CKC,,C,CC,C,C,,,C,K,K,K,K,2,2,4,4,1,0,1,1,0,1,2,1,1,1,1,1,VC,CV,CCVC,CVC,1,1,3,2,N,V,T,1,Abbestellung,prima
ø,ø,n,en,ø,ø,ø,C,KC,CKC,LCKC,ALCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,ø,acc,7,7,11,13,3,3,5,4,2,light,schwa,light,schwa,c,o,o,c,KC,CK,AL,CKC,,C,A,C,C,,,C,K,K,L,K,2,2,3,3,1,0,0,1,0,1,1,1,1,1,2,1,VC,CV,CVV,CVC,1,1,0,2,V,V,F,1,abbezahlen,prima
