syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
beit,ø,t,it,eit,beit,rbeit,C,DC,CDC,CCDC,KCCDC,Ab,ø,A,Ab,Abb,Abbr,Abbru,K,KC,KCC,KCCC,KCCCK,7,14,10,12,3,3,5,4,1,light,light,light,light,c,c,c,c,KC,CCKC,KC,CDC,,CC,,C,C,C,C,C,K,K,K,D,2,5,2,4,1,1,1,1,0,2,0,1,1,1,1,2,VC,CCVC,VC,CVVC,1,3,1,1,N,NN,T,2,Abbrucharbeit,prima
me,ø,e,me,rme,erme,aerme,K,CK,CCK,KCCK,CKCCK,Ab,ø,A,Ab,Abd,Abda,Abdam,K,KC,KCC,KCCK,KCCKC,7,11,11,9,3,2,3,4,0,light,heavy,light,schwa,c,c,c,o,KC,CKCA,CKC,CK,,C,C,C,C,CA,C,,K,K,K,K,2,5,3,2,1,2,1,0,0,1,1,1,1,1,1,1,VC,CVCC,CVC,CV,1,3,2,1,N,VN,T,2,Abdampfwaerme,prima
zug,ø,g,ug,zug,nzug,anzug,C,LC,ALC,CALC,KCALC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,9,10,10,2,4,3,-1,light,schwa,light,light,o,c,c,c,L,CKCC,KC,ALC,,C,,A,,CC,C,C,L,K,K,L,1,4,2,3,0,2,1,1,0,1,0,1,2,1,1,2,VV,CVCC,VC,CVVC,0,3,1,1,N,NN,T,2,Abendanzug,prima
lang,ø,g,ng,ang,lang,elang,C,KC,CKC,KCKC,CKCKC,a,ø,a,ab,abe,aben,abend,L,LC,LCK,LCKC,LCKCC,10,10,7,13,10,3,3,4,0,light,schwa,schwa,light,o,c,o,c,L,CKC,CK,CKC,,C,C,C,,C,,C,L,K,K,K,1,3,2,4,0,1,0,1,0,1,1,1,2,1,1,1,VV,CVC,CV,CVC,0,2,1,2,A,NA,F,2,abendelang,prima
sen,ø,n,en,sen,ssen,essen,C,KC,CKC,KCKC,CKCKC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,6,10,10,2,6,3,-1,light,schwa,light,schwa,o,c,c,c,L,CKCC,K,CKC,,C,,C,,CC,,C,L,K,K,K,1,4,2,3,0,2,1,1,0,1,0,1,2,1,1,1,VV,CVCC,VC,CVC,0,3,1,2,N,NN,T,2,Abendessen,prima
lend,ø,d,nd,end,lend,llend,C,CC,KCC,CKCC,KCKCC,a,ø,a,ab,abe,aben,abend,L,LC,LCK,LCKC,LCKCC,10,11,9,14,10,2,4,3,1,light,schwa,light,schwa,o,c,c,c,L,CKCC,CK,CKCC,,C,C,C,,CC,,CC,L,K,K,K,1,4,3,4,0,2,1,2,0,1,1,1,2,1,1,1,VV,CVCC,CVC,CVCC,0,3,2,3,A,NF,F,2,abendfuellend,prima
sus,ø,s,us,sus,rsus,ursus,C,KC,CKC,CCKC,KCCKC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,13,10,10,2,4,3,0,light,schwa,light,light,o,c,c,c,L,CKCC,CKC,CKC,,C,C,C,,CC,C,C,L,K,K,K,1,4,3,3,0,2,1,1,0,1,1,1,2,1,1,1,VV,CVCC,CVC,CVC,0,3,2,2,N,NN,T,2,Abendkursus,prima
gramm,ø,m,mm,amm,ramm,gramm,C,KC,CKC,CCKC,LCCKC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,11,14,10,2,3,3,1,light,schwa,light,light,o,c,o,c,L,CKCC,CCL,CCKC,,C,CC,CC,,CC,,C,L,K,L,K,1,4,3,5,0,2,0,1,0,1,2,2,2,1,2,1,VV,CVCC,CCVV,CCVC,0,3,1,3,N,NN,T,2,Abendprogramm,prima
te,ø,e,te,ete,oete,roete,K,CK,LCK,CLCK,CCLCK,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,10,7,10,2,5,3,-1,light,schwa,light,schwa,o,c,o,o,L,CKCC,CL,CK,,C,C,C,,CC,,,L,K,L,K,1,4,2,2,0,2,0,0,0,1,1,1,2,1,2,1,VV,CVCC,CVV,CV,0,3,0,1,N,NN,T,2,Abendroete,prima
mer,ø,r,er,mer,imer,eimer,C,KC,CKC,DCKC,CDCKC,Ab,ø,A,Ab,Abf,Abfa,Abfal,K,KC,KCC,KCCK,KCCKC,7,11,10,13,3,3,10,4,1,light,light,light,schwa,c,c,o,c,KC,CKC,D,CKC,,C,,C,C,C,,C,K,K,D,K,2,4,2,3,1,1,0,1,0,1,0,1,1,1,2,1,VC,CVC,VV,CVC,1,2,0,2,N,NN,T,2,Abfalleimer,prima
