syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
send,ø,d,nd,end,send,usend,C,CC,KCC,CKCC,DCKCC,ø,a,ø,a,ab,abe,aber,abert,L,LC,LCK,LCKC,LCKCC,ø,10,11,11,11,10,3,5,2,0,light,schwa,light,schwa,o,c,o,c,L,CKC,CD,CKCC,,C,C,C,,C,,CC,L,K,D,K,1,3,3,4,0,1,0,2,0,1,1,1,2,1,2,1,VV,CVC,CVV,CVCC,0,2,0,3,X,ø,F,1,abertausend,multa
dig,ø,g,ig,dig,ndig,endig,C,KC,CKC,CCKC,KCCKC,noacc,all,ø,a,al,all,alle,alleb,K,KC,KCC,KCCL,KCCLC,ø,10,10,10,10,5,5,3,3,0,light,light,light,light,c,o,c,c,KC,CL,CKC,CKC,,C,C,C,C,,C,C,K,L,K,K,3,2,3,3,1,0,1,1,0,1,1,1,1,2,1,1,VC,CVV,CVC,CVC,1,0,2,2,A,ø,F,2,allebendig,multa
ben,ø,n,en,ben,lben,alben,C,KC,CKC,CCKC,KCCKC,ø,al,ø,a,al,all,alle,allen,K,KC,KCK,KCKC,KCKCC,ø,6,14,11,10,6,3,3,3,1,light,schwa,light,schwa,c,c,c,c,K,CKCC,CKC,CKC,,C,C,C,,CC,C,C,K,K,K,K,2,4,3,3,1,2,1,1,0,1,1,1,1,1,1,1,VC,CVCC,CVC,CVC,1,3,2,2,ADV,B,F,1,allenthalben,multa
mer,ø,r,er,mer,rmer,armer,C,KC,CKC,CCKC,KCCKC,ø,Al,ø,A,Al,All,Alle,Aller,K,KC,KCK,KCKC,KCKCC,ø,10,10,11,13,5,5,3,4,1,light,light,light,schwa,c,c,c,c,KC,KC,CKC,CKC,,,C,C,C,C,C,C,K,K,K,K,2,3,3,3,1,1,1,1,0,0,1,1,1,1,1,1,VC,VC,CVC,CVC,1,1,2,2,N,ø,T,2,Allerbarmer,multa
lichst,ø,t,st,hst,chst,ichst,C,CC,CCC,KCCC,CKCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,15,15,6,4,3,3,2,light,schwa,heavy,heavy,c,c,c,c,K,CKC,CCKCC,CKCCC,,C,CC,C,,C,CC,CCC,K,K,K,K,2,3,6,6,1,1,2,3,0,1,2,1,1,1,1,1,VC,CVC,CCVCC,CVCCC,1,2,4,4,A,F,F,1,allerchristlichst,multa
den,ø,n,en,den,nden,enden,C,KC,CKC,CCKC,KCCKC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCK,ø,6,14,9,10,6,4,4,3,0,light,schwa,light,schwa,c,c,c,c,K,CKC,KC,CKC,,C,,C,,C,C,C,K,K,K,K,2,3,2,3,1,1,1,1,0,1,0,1,1,1,1,1,VC,CVC,VC,CVC,1,2,1,2,ADV,ø,F,2,allerenden,multa
ligst,ø,t,st,gst,igst,ligst,C,CC,CCC,KCCC,CKCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,11,15,6,4,5,3,2,light,schwa,light,heavy,c,c,o,c,K,CKC,CD,CKCCC,,C,C,C,,C,,CCC,K,K,D,K,2,3,3,5,1,1,0,3,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVCCC,1,2,0,4,A,F,F,1,allerheiligst,multa
stens,ø,s,ns,ens,tens,stens,C,CC,KCC,CKCC,CCKCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,8,12,6,4,2,2,1,light,schwa,light,schwa,c,c,c,c,K,CKC,CLC,CCKCC,,C,C,CC,,C,C,CC,K,K,L,K,2,3,4,5,1,1,1,2,0,1,1,2,1,1,2,1,VC,CVC,CVVC,CCVCC,1,2,1,4,ADV,ø,F,2,allerhoechstens,multa
ste,ø,e,te,ste,iste,eiste,K,CK,CCK,DCCK,CDCCK,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,14,7,6,4,4,3,0,light,schwa,light,schwa,c,c,c,o,K,CKC,CDC,CK,,C,C,C,,C,C,,K,K,D,K,2,3,3,3,1,1,1,0,0,1,1,1,1,1,2,1,VC,CVC,CVVC,CV,1,2,1,1,X,F,F,1,allermeiste,multa
ten,ø,n,en,ten,rten,orten,C,KC,CKC,CCKC,KCCKC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCK,ø,6,14,10,10,6,4,5,3,0,light,schwa,light,schwa,c,c,c,c,K,CKC,KC,CKC,,C,,C,,C,C,C,K,K,K,K,2,3,2,3,1,1,1,1,0,1,0,1,1,1,1,1,VC,CVC,VC,CVC,1,2,1,2,ADV,ø,F,2,allerorten,multa
