syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,pos,comp_struct,nomen,comp_len,Word,stress_class
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,ø,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,ø,10,11,7,9,15,10,2,3,4,5,0,light,schwa,light,schwa,light,o,c,c,o,c,L,CKCC,CK,CK,CKC,,C,C,C,C,,CC,,,C,L,K,K,K,K,1,4,3,2,4,0,2,1,0,1,0,1,1,1,1,2,1,1,1,1,VV,CVCC,CVC,CV,CVC,0,3,2,1,2,N,NN,T,2,Abenddaemmerung,prima
lust,ø,t,st,ust,lust,rlust,C,CC,KCC,CKCC,CCKCC,ø,A,ø,A,Ab,Abe,Aben,Abent,L,LC,LCK,LCKC,LCKCC,ø,10,10,11,10,14,10,3,5,5,3,0,light,schwa,light,schwa,heavy,o,c,o,c,c,L,CKC,CD,KC,CKCC,,C,C,,C,,C,,C,CC,L,K,D,K,K,1,3,3,2,4,0,1,0,1,2,0,1,1,0,1,2,1,2,1,1,VV,CVC,CVV,VC,CVCC,0,2,0,1,3,N,VN,T,2,Abenteuerlust,prima
me,ø,e,me,mme,umme,summe,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,Abf,Abfi,Abfin,K,KC,KCC,KCCK,KCCKC,acc,7,12,13,9,9,3,4,3,4,4,0,light,light,heavy,light,schwa,c,c,c,c,o,KC,CKC,CKCC,CK,CK,,C,C,C,C,C,C,CC,,,K,K,K,K,K,2,3,5,3,2,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,VC,CVC,CVCC,CVC,CV,1,2,3,2,1,N,NN,T,2,Abfindungssumme,prima
tig,ø,g,ig,tig,htig,chtig,C,KC,CKC,CCKC,KCCKC,noacc,ab,ab,a,ab,abg,abga,abgab,K,KC,KCC,KCCL,KCCLC,acc,7,11,10,14,10,3,5,3,3,3,0,light,light,schwa,light,light,c,o,c,c,c,KC,CL,CKC,ACKC,CKC,,C,C,AC,C,C,,C,C,C,K,L,K,K,K,2,2,3,6,3,1,0,1,1,1,0,1,1,2,1,1,2,1,1,1,VC,CVV,CVC,CCVC,CVC,1,0,2,3,2,A,NN,F,2,abgabenpflichtig,prima
che,ø,e,he,che,ache,rache,K,CK,LCK,CLCK,CCLCK,ø,Ab,ø,A,Ab,Abk,Abku,Abkue,K,KC,KCC,KCCK,KCCKC,acc,7,13,13,16,7,3,4,3,4,3,0,light,light,heavy,light,schwa,c,c,c,o,o,KC,CKC,AKCC,CCCL,CK,,C,A,CCC,C,C,C,CC,,,K,K,K,L,K,2,3,5,4,3,1,1,2,0,0,0,1,1,3,1,1,1,1,2,1,VC,CVC,CVCC,CCCVV,CV,1,2,3,1,1,N,NN,T,2,Abkuerzungssprache,prima
chen,chen,n,en,hen,chen,ichen,C,KC,CKC,DCKC,ADCKC,ø,Ab,ø,A,Ab,Abk,Abku,Abkue,K,KC,KCC,KCCK,KCCKC,acc,7,13,13,11,10,3,4,3,5,3,0,light,light,heavy,light,schwa,c,c,c,o,c,KC,CKC,AKCC,AD,CKC,,C,A,A,C,C,C,CC,,C,K,K,K,D,K,2,3,5,3,4,1,1,2,0,1,0,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVV,CVC,1,2,3,0,2,N,NN,T,2,Abkuerzungszeichen,prima
be,ø,e,be,lbe,ilbe,silbe,K,CK,CCK,KCCK,CKCCK,ø,Ab,ø,A,Ab,Abl,Able,Ablei,K,KC,KCC,KCCD,KCCDC,acc,7,14,13,13,7,3,7,3,4,3,-1,light,light,heavy,light,schwa,c,o,c,c,o,KC,CD,CKCC,CKC,CK,,C,C,C,C,C,,CC,C,,K,D,K,K,K,2,3,5,3,2,1,0,2,1,0,0,1,1,1,1,1,2,1,1,1,VC,CVV,CVCC,CVC,CV,1,0,3,2,1,N,NN,T,2,Ableitungssilbe,prima
soll,ø,l,ll,oll,soll,ssoll,C,KC,CKC,CCKC,CCCKC,ø,Ab,ø,A,Ab,Abl,Abli,Ablie,K,KC,KCC,KCCL,KCCLC,acc,7,12,7,16,11,3,6,3,4,3,1,light,light,schwa,heavy,light,c,o,o,c,c,KC,CL,CK,CKCC,CKC,,C,C,C,C,C,,,CC,C,K,L,K,K,K,2,3,2,5,4,1,0,0,2,1,0,1,1,1,1,1,2,1,1,1,VC,CVV,CV,CVCC,CVC,1,0,1,3,2,N,NN,T,2,Ablieferungssoll,prima
der,ø,r,er,der,nder,ender,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abr,Abre,Abrei,K,KC,KCC,KCCD,KCCDC,acc,7,15,7,13,11,3,5,3,4,3,0,light,light,light,light,schwa,c,c,c,c,c,KC,CDC,CK,CKC,CKC,,C,C,C,C,C,C,,C,C,K,D,K,K,K,2,4,2,3,3,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,VC,CVVC,CVC,CVC,CVC,1,1,2,2,2,N,VN,T,2,Abreisskalender,prima
gend,ø,d,nd,end,gend,egend,C,CC,KCC,CKCC,LCKCC,ø,ab,ab,a,ab,abs,absc,absch,K,KC,KCC,KCCD,KCCDK,acc,7,11,10,10,11,3,5,5,5,2,0,light,light,light,light,schwa,c,o,c,o,c,KC,CD,KC,CL,CKCC,,C,,C,C,C,,C,,CC,K,D,K,L,K,2,5,2,2,4,1,0,1,0,2,0,1,0,1,1,1,2,1,2,1,VC,CVV,VC,CVV,CVCC,1,0,1,0,3,A,NF,F,2,abscheuerregend,prima
