syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,Ab,ø,A,Ab,Abb,Abba,Abbau,K,KC,KCC,KCCD,KCCDC,7,11,7,11,10,12,3,5,3,3,3,4,0,light,light,schwa,light,light,light,c,o,o,c,c,c,KC,CD,CK,CKC,CKC,CDC,,C,C,C,C,C,C,,,C,C,C,K,D,K,K,K,D,2,3,2,4,3,4,1,0,0,1,1,1,0,1,1,1,1,1,1,2,1,1,1,2,VC,CVV,CV,CVC,CVC,CVVC,1,0,1,2,2,1,N,VN,T,2,Abbaugerechtigkeit,prima
um,um,m,um,ium,sium,asium,C,KC,LKC,CLKC,LCLKC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,12,13,9,11,10,2,4,6,4,5,0,light,schwa,light,light,light,light,o,c,c,o,o,c,L,CKCC,CKC,CL,CL,KC,,C,C,C,C,,,CC,C,,,C,L,K,K,L,L,K,1,4,3,2,2,2,0,2,1,0,0,1,0,1,1,1,1,0,2,1,1,2,2,1,VV,CVCC,CVC,CVV,CVV,VC,0,3,2,0,0,1,N,NN,T,2,Abendgymnasium,prima
haus,ø,s,us,aus,haus,nhaus,C,DC,CDC,CCDC,KCCDC,Ab,ø,A,Ab,Abg,Abge,Abgeo,K,KC,KCC,KCCK,KCCKK,7,7,10,10,10,12,3,3,5,3,3,4,0,light,schwa,light,schwa,schwa,light,c,o,c,o,c,c,KC,CK,KC,CCK,CKC,CDC,,C,,CC,C,C,C,,C,,C,C,K,K,K,K,K,D,2,2,3,2,3,4,1,0,1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,2,VC,CV,VC,CCV,CVC,CVVC,1,1,1,2,2,1,N,NN,T,2,Abgeordnetenhaus,prima
nis,nis,s,is,nis,hnis,chnis,C,KC,CKC,CCKC,DCCKC,Ab,ø,A,Ab,Abk,Abku,Abkue,K,KC,KCC,KCCK,KCCKC,7,13,13,11,12,12,3,4,3,3,4,4,0,light,light,heavy,light,light,light,c,c,c,c,c,c,KC,CKC,AKCC,CKC,ADC,CKC,,C,A,C,A,C,C,C,CC,C,C,C,K,K,K,K,D,K,2,3,5,3,5,3,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVC,CVVC,CVC,1,2,3,2,1,2,N,NN,T,2,Abkuerzungsverzeichnis,prima
ver,ø,r,er,ver,ever,oever,C,KC,CKC,LCKC,CLCKC,Ab,ø,A,Ab,Abl,Able,Ablen,K,KC,KCC,KCCK,KCCKC,7,13,13,9,9,11,3,4,3,4,4,3,0,light,light,heavy,light,light,schwa,c,c,c,c,o,c,KC,CKC,CKCC,CK,CL,CKC,,C,C,C,C,C,C,C,CC,,,C,K,K,K,K,L,K,2,3,5,2,2,3,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVC,CVV,CVC,1,2,3,2,0,2,N,NN,T,2,Ablenkungsmanoever,multa
te,ø,e,te,rte,arte,karte,K,CK,CCK,KCCK,CKCCK,A,ø,A,Ab,Abo,Abon,Abonn,K,KC,KCK,KCKC,KCKCK,6,7,9,12,11,7,6,3,4,4,3,3,0,light,light,schwa,light,light,schwa,c,c,o,c,c,o,K,CK,CK,CNC,CKC,CK,,C,C,C,C,C,,,,C,C,,K,K,K,N,K,K,1,3,2,5,3,2,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,VC,CVC,CV,CVVC,CVC,CV,1,2,1,1,2,1,N,NN,T,2,Abonnementskarte,antepaenultima
renz,ø,z,nz,enz,renz,erenz,A,CA,KCA,CKCA,LCKCA,Ab,ø,A,Ab,Abr,Abru,Abrue,K,KC,KCC,KCCK,KCCKC,7,13,13,10,7,14,3,4,3,3,3,3,0,light,light,heavy,light,light,heavy,c,c,c,c,o,c,KC,CKC,CKCC,CKC,CL,CKCA,,C,C,C,C,C,C,C,CC,C,,CA,K,K,K,K,L,K,2,2,6,3,2,4,1,1,2,1,0,2,0,1,1,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVC,CVV,CVCC,1,2,3,2,0,3,N,NN,T,2,Abruestungskonferenz,prima
nis,nis,s,is,nis,bnis,ebnis,C,KC,CKC,CCKC,LCCKC,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCK,7,10,15,10,8,12,3,3,3,5,2,4,0,light,light,heavy,light,light,light,c,c,c,c,c,c,KC,CCK,CKCC,KC,CLC,CKC,,CC,C,,C,C,C,,CC,C,C,C,K,K,K,K,L,K,2,4,5,2,3,3,1,1,2,1,1,1,0,2,1,0,1,1,1,1,1,1,2,1,VC,CCVC,CVCC,VC,CVVC,CVC,1,3,3,1,1,2,N,NN,T,2,Abstimmungsergebnis,prima
mal,ø,l,al,mal,nmal,enmal,C,LC,CLC,CCLC,KCCLC,acht,ø,a,ac,ach,acht,achtm,K,KC,KCC,KCCC,KCCCL,8,11,12,6,12,17,2,5,6,6,4,5,1,heavy,light,light,light,schwa,light,c,o,o,o,c,c,KCC,CL,CL,L,CKC,CLC,,C,C,,C,C,CC,,,,C,C,K,L,L,L,K,L,4,3,2,1,3,3,2,0,0,0,1,1,0,1,1,0,1,1,1,2,2,2,1,2,VCC,CVV,CVV,VV,CVC,CVVC,2,0,0,0,2,1,ADV,ø,F,2,achtmillionenmal,sekunda
tor,ø,r,or,tor,otor,motor,C,KC,CKC,LCKC,CLCKC,Acht,ø,A,Ac,Ach,Acht,Achtz,K,KC,KCC,KCCA,KCCAL,8,9,15,11,9,11,2,4,5,3,4,3,0,heavy,light,light,schwa,light,light,c,o,c,c,o,c,KCC,AL,CKC,CKC,CL,CKC,,A,C,C,C,C,CC,,C,C,,C,K,L,K,K,L,K,4,2,3,3,2,3,2,0,1,1,0,1,0,1,1,1,1,1,1,2,1,1,2,1,VCC,CVV,CVC,CVC,CVV,CVC,2,0,2,2,0,2,N,NN,T,2,Achtzylindermotor,prima
