syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
ver,ø,r,er,ver,ever,oever,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,Abl,Able,Ablen,K,KC,KCC,KCCK,KCCKC,acc,7,13,13,9,9,11,3,4,3,4,4,3,0,light,light,heavy,light,light,schwa,c,c,c,c,o,c,KC,CKC,CKCC,CK,CL,CKC,,C,C,C,C,C,C,C,CC,,,C,K,K,K,K,L,K,2,3,5,2,2,3,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVC,CVV,CVC,1,2,3,2,0,2,N,NN,T,2,Ablenkungsmanoever,multa
ne,ø,e,ne,ine,hine,chine,K,CK,LCK,CLCK,KCLCK,ø,A,ø,A,Ad,Adr,Adre,Adres,K,KC,KCC,KCCK,KCCKC,ø,6,11,13,9,9,9,6,3,4,4,4,4,0,light,light,light,light,light,schwa,c,c,c,c,o,o,K,CCK,CLC,CK,CL,CK,,CC,C,C,C,C,,,C,,,,K,K,L,K,L,K,1,4,4,2,4,2,1,1,1,1,0,0,0,2,1,1,1,1,1,1,2,1,2,1,VC,CCVC,CVVC,CVC,CVV,CV,1,3,1,2,0,1,N,VN,T,2,Adressiermaschine,undef
rin,ø,n,in,rin,erin,kerin,C,KC,CKC,KCKC,CKCKC,ø,A,ø,A,Ak,Aka,Akad,Akade,K,KC,KCK,KCKC,KCKCL,ø,6,7,7,11,7,15,6,3,3,5,3,5,1,light,light,light,light,schwa,light,c,c,o,o,o,c,K,CK,CL,CL,CK,CKC,,C,C,C,C,C,,,,,,C,K,K,L,L,K,K,1,2,2,2,2,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,2,2,1,1,VC,CVC,CVV,CVV,CV,CVC,1,2,0,0,1,2,N,N,T,1,Akademikerin,undef
us,us,s,us,ius,dius,adius,C,KC,LKC,CLKC,LCLKC,ø,Ak,ø,A,Ak,Akt,Akti,Aktio,K,KC,KCA,KCAL,KCALL,ø,7,9,10,14,9,9,3,4,3,7,4,4,0,light,light,heavy,light,light,light,c,o,c,o,o,c,KC,AL,LCC,CL,CL,KC,,A,,C,C,,C,,CC,,,C,K,L,L,L,L,K,2,2,3,2,2,2,1,0,2,0,0,1,0,1,0,1,1,0,1,2,2,2,2,1,VC,CVV,VVCC,CVV,CVV,VC,1,0,1,0,0,1,N,NN,T,2,Aktionsradius,undef
rin,ø,n,in,rin,erin,kerin,C,KC,CKC,KCKC,CKCKC,ø,Al,ø,A,Al,Alk,Alko,Alkoh,K,KC,KCC,KCCL,KCCLC,ø,10,7,7,12,7,15,5,3,3,6,3,5,0,light,light,light,light,schwa,light,c,o,o,o,o,c,KC,CL,CL,CL,CK,CKC,,C,C,C,C,C,C,,,,,C,K,L,L,L,K,K,2,2,2,2,2,3,1,0,0,0,0,1,0,1,1,1,1,1,1,2,2,2,1,1,VC,CVV,CVV,CVV,CV,CVC,1,0,0,0,1,2,N,N,T,1,Alkoholikerin,undef
chend,ø,d,nd,end,hend,chend,C,CC,KCC,CKCC,KCKCC,ø,al,ø,a,al,all,alle,allei,K,KC,KCD,KCDC,KCDCC,ø,6,17,7,13,9,11,6,5,3,4,4,2,0,light,light,light,light,light,schwa,c,c,o,c,c,c,K,CDC,CL,CKC,CK,CKCC,,C,C,C,C,C,,C,,C,,CC,K,D,L,K,K,K,2,4,2,3,2,5,1,1,0,1,1,2,0,1,1,1,1,1,1,2,2,1,1,1,VC,CVVC,CVV,CVC,CVC,CVCC,1,1,0,2,2,3,A,AA,F,2,alleinseligmachend,multa
ser,ø,r,er,ser,sser,isser,C,KC,CKC,KCKC,CKCKC,ø,Al,ø,A,Al,All,Alle,Alles,K,KC,KCK,KCKC,KCKCC,ø,6,11,7,11,9,11,6,3,3,3,4,3,0,light,schwa,light,schwa,light,schwa,c,c,c,c,c,c,K,CKC,CK,CKC,CK,CKC,,C,C,C,C,C,,C,,C,,C,K,K,K,K,K,K,2,3,3,3,3,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,VC,CVC,CVC,CVC,CVC,CVC,1,2,2,2,2,2,N,ø,T,2,Allesbesserwisser,multa
den,ø,n,en,den,nden,inden,C,KC,CKC,CCKC,KCCKC,ø,All,ø,A,Al,All,Allg,Allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,7,12,10,5,3,5,3,4,3,0,light,schwa,light,schwa,light,schwa,c,o,c,o,c,c,KC,CK,CDC,CK,CKC,CKC,,C,C,C,C,C,C,,C,,C,C,K,K,D,K,K,K,3,2,4,2,3,3,1,0,1,0,1,1,0,1,1,1,1,1,1,1,2,1,1,1,VC,CV,CVVC,CV,CVC,CVC,1,1,1,1,2,2,N,AN,T,2,Allgemeinbefinden,multa
lich,ø,h,ch,ich,lich,dlich,C,KC,CKC,CCKC,CCCKC,noacc,all,ø,a,al,all,allg,allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,11,12,13,5,3,5,3,2,4,0,light,schwa,light,light,heavy,light,c,o,c,c,c,c,KC,CK,CDC,CKC,CCKCC,CKC,,C,C,C,CC,C,C,,C,C,CC,C,K,K,D,K,K,K,3,2,4,3,5,4,1,0,1,1,2,1,0,1,1,1,2,1,1,1,2,1,1,1,VC,CV,CVVC,CVC,CCVCC,CVC,1,1,1,2,4,2,A,AA,F,2,allgemeinverstaendlich,multa
dent,ø,t,nt,ent,dent,ident,C,CC,KCC,CKCC,LCKCC,ø,Alt,ø,A,Al,Alt,Altb,Altbu,L,LC,LCK,LCKC,LCKCC,ø,6,12,8,11,9,11,6,4,2,3,4,2,0,heavy,light,schwa,light,light,heavy,c,c,c,c,o,c,L,CKC,CKC,CCK,CL,CKCC,,C,C,CC,C,C,,C,C,,,CC,L,K,K,K,L,K,3,3,3,3,2,4,2,1,1,1,0,2,0,1,1,2,1,1,1,1,1,1,2,1,VCC,CVC,CVC,CCVC,CVV,CVCC,2,2,2,3,0,3,N,AN,T,2,Altbundespraesident,multa
mus,ø,s,us,mus,smus,ismus,C,KC,CKC,CCKC,KCCKC,ø,Alt,ø,A,Al,Alt,Altk,Altka,L,LC,LCK,LCKC,LCKCL,ø,6,7,7,12,10,12,6,3,3,6,3,4,1,heavy,light,light,light,light,light,c,c,o,o,c,c,L,CK,CL,CL,AKC,CKC,,C,C,C,A,C,,,,,C,C,L,K,L,L,K,K,3,2,3,2,3,3,2,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,1,1,VCC,CVC,CVV,CVV,CVC,CVC,2,2,0,0,2,2,N,AN,T,2,Altkatholizismus,multa
risch,ø,h,ch,sch,isch,risch,C,KC,CKC,LCKC,CLCKC,ø,alt,ø,a,al,alt,altt,altte,L,LC,LCK,LCKC,LCKCC,ø,6,8,7,12,11,13,6,2,3,4,5,4,1,heavy,light,light,light,light,light,c,c,c,c,o,c,L,CKC,CK,CKC,CL,CKC,,C,C,C,C,C,,C,,C,,C,L,K,K,K,L,K,3,2,3,3,2,5,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,VCC,CVC,CVC,CVC,CVV,CVC,2,2,2,2,0,2,A,AN,F,2,alttestamentarisch,multa
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,ø,A,ø,A,Al,Alu,Alum,Alumi,K,KC,KCL,KCLC,KCLCL,ø,6,12,11,11,11,14,6,6,5,5,5,3,1,light,light,light,light,light,light,c,o,o,o,c,c,K,CL,CL,CL,KC,CCKC,,C,C,C,,CC,,,,,C,C,K,L,L,L,K,K,1,2,2,2,2,5,1,0,0,0,1,1,0,1,1,1,0,2,1,2,2,2,1,1,VC,CVV,CVV,CVV,VC,CCVC,1,0,0,0,1,3,N,NN,T,2,Aluminiumdruck,undef
gen,ø,n,en,gen,egen,uegen,C,KC,CKC,LCKC,CLCKC,ø,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,acc,9,13,9,11,9,10,4,6,4,3,4,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,o,c,KC,DC,KC,CKC,CL,CKC,,,,C,C,C,C,C,C,C,,C,K,D,K,K,L,K,2,3,2,3,2,3,1,1,1,1,0,1,0,0,0,1,1,1,1,2,1,1,2,1,VC,VVC,VC,CVC,CVV,CVC,1,0,1,2,0,2,V,BV,F,2,aneinanderfuegen,undef
zen,ø,n,en,zen,nzen,enzen,C,KC,AKC,CAKC,KCAKC,ø,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,acc,9,13,9,11,14,10,4,6,4,3,3,3,0,light,light,light,schwa,light,schwa,c,c,c,c,c,c,KC,DC,KC,CKC,CCKC,AKC,,,,C,CC,A,C,C,C,C,C,C,K,D,K,K,K,K,2,3,2,3,4,3,1,1,1,1,1,1,0,0,0,1,2,1,1,2,1,1,1,1,VC,VVC,VC,CVC,CCVC,CVC,1,0,1,2,3,2,V,BV,F,2,aneinandergrenzen,undef
gen,ø,n,en,gen,egen,legen,C,KC,CKC,LCKC,CLCKC,ø,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,acc,9,13,9,11,10,10,4,6,4,3,5,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,o,c,KC,DC,KC,CKC,CL,CKC,,,,C,C,C,C,C,C,C,,C,K,D,K,K,L,K,2,3,2,3,2,3,1,1,1,1,0,1,0,0,0,1,1,1,1,2,1,1,2,1,VC,VVC,VC,CVC,CVV,CVC,1,0,1,2,0,2,V,BV,F,2,aneinanderlegen,undef
hen,ø,n,en,hen,ihen,eihen,C,KC,DKC,CDKC,CCDKC,ø,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,acc,9,13,9,11,14,9,4,6,4,3,7,4,0,light,light,light,schwa,light,schwa,c,c,c,c,o,c,KC,DC,KC,CKC,CD,KC,,,,C,C,,C,C,C,C,,C,K,D,K,K,D,K,2,3,2,3,3,3,1,1,1,1,0,1,0,0,0,1,1,0,1,2,1,1,2,1,VC,VVC,VC,CVC,CVV,VC,1,0,1,2,0,1,V,BV,F,2,aneinanderreihen,undef
