syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,pos,comp_struct,nomen,comp_len,Word,stress_class
nisch,ø,h,ch,sch,isch,nisch,C,KC,CKC,LCKC,CLCKC,ø,a,ø,a,af,afr,afro,afroa,L,LC,LCC,LCCL,LCCLK,ø,10,11,6,9,12,11,12,10,3,6,4,6,5,4,0,light,light,light,light,light,light,light,o,o,c,o,o,o,c,L,CCL,K,CL,CL,CL,CKC,,CC,,C,C,C,C,,,,,,,C,L,L,K,L,L,L,K,1,3,1,2,2,2,5,0,0,1,0,0,0,1,0,2,0,1,1,1,1,2,2,1,2,2,2,1,VV,CCVV,VC,CVV,CVV,CVV,CVC,0,1,1,0,0,0,2,A,A,F,1,afroamerikanisch,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,Ak,ø,A,Ak,Akk,Akkl,Akkli,K,KC,KCC,KCCL,KCCLC,ø,6,13,9,9,7,9,9,6,4,4,4,3,4,4,-1,light,light,light,light,light,light,light,c,o,c,o,c,o,c,K,CCL,CK,CL,CK,AL,LC,,CC,C,C,C,A,,,,,,,,C,K,L,K,L,K,L,L,2,3,2,2,2,2,2,1,0,1,0,1,0,1,0,2,1,1,1,1,0,1,2,1,2,1,2,2,VC,CCVV,CVC,CVV,CVC,CVV,VVC,1,1,2,0,2,0,0,N,R,T,1,Akklimatisation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,A,ø,A,Am,Ame,Amel,Ameli,K,KC,KCL,KCLC,KCLCL,ø,6,9,12,6,10,9,9,6,4,6,6,5,4,4,0,light,light,light,light,light,light,light,c,o,o,o,c,o,c,K,CL,CL,L,CK,AL,LC,,C,C,,C,A,,,,,,,,C,K,L,L,L,K,L,L,1,2,2,1,2,2,2,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,2,2,2,1,2,2,VC,CVV,CVV,VV,CVC,CVV,VVC,1,0,0,0,2,0,0,N,R,T,1,Amelioration,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,a,ø,a,am,ame,amer,ameri,K,KC,KCL,KCLC,KCLCL,ø,6,9,12,7,11,9,13,6,4,6,3,5,4,4,0,light,light,light,light,light,light,schwa,c,o,o,c,o,o,c,K,CL,CL,CK,CL,CL,CKC,,C,C,C,C,C,C,,,,,,,C,K,L,L,K,L,L,K,1,2,2,2,2,3,3,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,2,2,1,2,2,1,VC,CVV,CVV,CVC,CVV,CVV,CVC,1,0,0,2,0,0,2,V,R,F,1,amerikanisieren,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,A,ø,A,Am,Ame,Amer,Ameri,K,KC,KCL,KCLC,KCLCL,ø,6,9,12,7,11,9,15,6,4,6,3,5,4,5,0,light,light,light,light,light,light,light,c,o,o,c,o,o,c,K,CL,CL,CK,CL,CL,CKC,,C,C,C,C,C,C,,,,,,,C,K,L,L,K,L,L,K,1,2,2,2,2,3,4,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,2,2,1,2,2,1,VC,CVV,CVV,CVC,CVV,CVV,CVC,1,0,0,2,0,0,2,N,V,T,1,Amerikanisierung,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,a,ø,a,an,ana,anat,anath,K,KC,KCK,KCKC,KCKCL,ø,6,9,7,9,9,9,13,6,4,3,4,4,4,4,0,light,light,light,light,light,light,schwa,c,c,o,c,o,o,c,K,CK,CL,CK,CL,CL,CKC,,C,C,C,C,C,C,,,,,,,C,K,K,L,K,L,L,K,1,2,3,2,2,3,3,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1,2,2,1,VC,CVC,CVV,CVC,CVV,CVV,CVC,1,2,0,2,0,0,2,V,N,F,1,anathematisieren,paenultima
ner,ø,r,er,ner,aner,kaner,C,KC,CKC,LCKC,CLCKC,ø,An,ø,A,An,Ang,Angl,Anglo,K,KC,KCC,KCCC,KCCCL,ø,9,11,6,9,12,11,13,4,3,6,4,6,5,4,0,light,light,light,light,light,light,schwa,c,o,c,o,o,o,c,KC,CCL,K,CL,CL,CL,CKC,,CC,,C,C,C,C,C,,,,,,C,K,L,K,L,L,L,K,2,3,1,2,2,2,3,1,0,1,0,0,0,1,0,2,0,1,1,1,1,1,2,1,2,2,2,1,VC,CCVV,VC,CVV,CVV,CVV,CVC,1,1,1,0,0,0,2,N,ø,T,0,Angloamerikaner,paenultima
nisch,ø,h,ch,sch,isch,nisch,C,KC,CKC,LCKC,LLCKC,ø,an,an,a,an,ant,ante,anted,K,KC,KCC,KCCL,KCCLC,ø,9,7,9,12,9,10,12,4,3,4,6,4,10,4,0,light,light,light,light,light,light,light,c,o,o,o,o,o,c,KC,CL,CL,CL,CL,L,CKC,,C,C,C,C,,C,C,,,,,,C,K,L,L,L,L,L,K,2,2,2,2,2,1,5,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,2,2,2,2,2,1,VC,CVV,CVV,CVV,CVV,VV,CVC,1,0,0,0,0,0,2,A,ø,F,0,antediluvianisch,paenultima
ker,ø,r,er,ker,iker,liker,C,KC,CKC,LCKC,CLCKC,ø,An,ø,A,An,Ant,Anti,Antia,K,KC,KCC,KCCL,KCCLK,ø,9,9,10,7,7,12,11,4,4,5,3,3,6,3,0,light,light,light,light,light,light,schwa,c,o,c,o,o,o,c,KC,CL,KC,CL,CL,CL,CKC,,C,,C,C,C,C,C,,C,,,,C,K,L,K,L,L,L,K,2,2,2,2,2,2,3,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,2,1,2,2,2,1,VC,CVV,VC,CVV,CVV,CVV,CVC,1,0,1,0,0,0,2,N,N,T,1,Antialkoholiker,antepaenultima
nell,ø,l,ll,ell,nell,onell,C,KC,CKC,LCKC,LLCKC,ø,an,an,a,an,ant,anti,antik,K,KC,KCC,KCCL,KCCLC,ø,9,9,10,8,9,6,13,4,4,3,2,4,6,4,0,light,light,light,light,light,light,light,c,o,c,c,o,o,c,KC,CL,CKC,AKC,AL,L,CKC,,C,C,A,A,,C,C,,C,C,,,C,K,L,K,K,L,L,K,2,2,3,3,2,1,4,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,2,1,1,2,2,1,VC,CVV,CVC,CVC,CVV,VV,CVC,1,0,2,2,0,0,2,A,A,F,1,antikonzeptionell,ultima
mus,ø,s,us,mus,smus,ismus,C,KC,CKC,CCKC,KCCKC,noacc,An,ø,A,An,Ant,Anti,Antim,K,KC,KCC,KCCL,KCCLC,ø,9,9,11,12,7,13,12,4,4,5,6,3,4,4,0,light,light,light,light,light,light,light,c,o,o,o,c,c,c,KC,CL,CL,CL,CK,CKC,CKC,,C,C,C,C,C,C,C,,,,,C,C,K,L,L,L,K,K,K,2,2,2,2,2,3,3,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,VC,CVV,CVV,CVV,CVC,CVC,CVC,1,0,0,0,2,2,2,N,N,T,1,Antimilitarismus,paenultima
