syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,pos,comp_struct,nomen,comp_len,Word,stress_class
ø,ø,n,ø,ø,ø,ation,C,ø,ø,ø,ø,ø,ø,ø,S,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,7,9,6,12,7,9,9,3,4,6,6,3,4,4,0,light,light,light,light,light,light,light,o,o,c,o,c,o,c,ø,ø,ø,CL,CK,AL,LC,C,A,?,C,C,A,?,?,?,?,?,?,?,C,L,L,K,L,K,L,L,2,2,1,2,2,2,2,0,0,1,0,1,0,1,1,1,0,1,1,1,0,2,2,1,2,1,2,2,ø,CVV,ø,CVV,CVC,CVV,VVC,0,0,1,0,2,0,0,N,ø,T,1,Sozialisation,ultima
ø,ø,g,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,ø,N,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,9,9,6,13,12,9,15,4,4,6,6,6,4,5,0,light,light,light,light,light,light,light,c,o,o,o,o,o,c,ø,ø,ø,CL,CL,CL,CKC,C,A,?,C,C,C,C,?,?,?,?,?,?,C,K,L,L,L,L,L,K,2,2,1,2,2,3,4,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,2,2,2,2,2,1,ø,CVV,ø,CVV,CVV,CVV,CVC,2,0,0,0,0,0,2,N,ø,T,1,Nationalisierung,paenultima
ø,ø,s,ø,ø,ø,ø,C,KC,CKC,ø,ø,noacc,ø,ø,P,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,11,7,9,6,9,13,12,3,3,4,6,4,4,4,0,light,light,light,light,light,light,light,o,c,o,o,c,c,c,ø,ø,CL,ø,CK,ø,CKC,CC,C,C,?,C,C,C,?,?,?,?,?,C,C,L,K,L,L,K,K,K,3,3,2,1,2,3,3,0,1,0,0,1,1,1,2,1,1,0,1,1,1,2,1,2,2,1,1,1,ø,CVC,CVV,ø,CVC,ø,CVC,1,2,0,0,2,2,2,N,ø,T,1,Professionalismus,paenultima
ø,ø,h,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,ø,p,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,9,9,6,7,10,11,10,4,4,6,3,5,5,3,0,light,light,light,light,light,light,light,o,o,o,o,c,o,c,ø,CL,ø,CL,CK,ø,CKC,C,C,?,C,C,C,C,?,?,?,?,?,?,C,L,L,L,L,K,D,K,3,2,1,3,2,3,5,0,0,0,0,1,0,1,1,1,0,1,1,1,1,2,2,2,2,1,2,1,ø,CVV,ø,CVV,CVC,CVV,CVC,0,0,0,0,2,0,2,A,ø,F,1,physiotherapeutisch,paenultima
ø,ø,g,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,ø,R,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,10,11,12,11,12,9,15,5,5,6,5,6,4,5,0,light,light,light,light,light,light,light,o,o,o,o,o,o,c,ø,CL,CL,CL,CL,CL,CKC,C,C,C,C,C,C,C,?,?,?,?,?,?,C,L,L,L,L,L,L,K,2,2,2,2,2,3,4,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,ø,CVV,CVV,CVV,CVV,CVV,CVC,0,0,0,0,0,0,2,N,ø,T,1,Remilitarisierung,paenultima
ø,ø,t,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,K,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,7,12,9,10,9,12,8,3,4,4,5,4,6,2,0,light,light,light,light,light,light,light,c,c,o,c,o,o,c,ø,ø,CL,ø,CL,CL,ø,C,C,C,C,C,C,C,?,C,?,?,?,?,C,K,K,L,K,L,L,L,3,3,2,2,2,2,3,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,ø,CVC,CVV,ø,CVV,CVV,CVVC,2,2,0,2,0,0,1,N,ø,T,1,Kommensurabilitaet,ultima
ø,ø,i,ø,ø,ø,ø,D,ø,ø,ø,ø,acc,ø,ø,P,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,16,9,9,9,14,7,14,4,4,4,4,7,3,7,-1,light,light,light,schwa,light,schwa,light,c,o,o,c,o,o,o,ø,ø,CL,ø,ø,ø,ø,CC,A,C,?,C,C,C,C,?,?,C,?,?,?,K,L,L,K,D,K,D,4,2,2,2,3,2,3,1,0,0,1,0,0,0,2,1,1,0,1,1,1,1,2,2,1,2,1,2,ø,CVV,CVV,ø,CVV,ø,ø,3,0,0,1,0,1,0,N,ø,T,1,Prinzipienreiterei,sekunda
ø,ø,s,ø,ø,ø,ø,C,KC,CKC,ø,ø,noacc,ø,ø,I,ø,ø,ø,ø,K,KC,KCC,ø,ø,ø,12,10,9,6,13,13,12,6,5,4,6,6,4,4,0,light,light,light,light,light,light,light,c,c,o,o,o,c,c,ø,ø,ø,ø,CL,ø,CKC,?,C,A,?,C,C,C,C,?,?,?,?,C,C,K,K,L,L,L,K,K,2,2,2,1,2,3,3,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,2,2,2,1,1,VC,CVC,CVV,ø,CVV,ø,CVC,1,2,0,0,0,2,2,N,ø,T,1,Irrationalismus,paenultima
ø,ø,n,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,aus,a,ø,ø,ø,ø,D,ø,ø,ø,ø,ø,11,7,12,7,13,13,10,5,3,3,3,4,6,3,0,light,schwa,light,schwa,schwa,light,schwa,c,o,c,o,c,o,c,ø,ø,ø,ø,ø,CL,CKC,?,C,CCC,C,C,C,C,C,?,?,?,C,?,C,D,K,K,K,K,L,K,3,2,4,3,3,2,3,1,0,1,0,1,0,1,0,1,3,1,1,1,1,2,1,1,1,1,2,1,ø,ø,ø,ø,CVC,CVV,CVC,0,1,4,1,2,0,2,ADV,ø,F,1,ausgesprochenermassen,prima
ø,ø,n,ø,ø,ø,ation,C,ø,ø,ø,ø,ø,ø,ø,N,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,9,9,10,12,7,9,9,4,4,5,6,3,4,4,-1,light,light,light,light,light,light,light,c,o,c,o,c,o,c,ø,CL,ø,CL,CK,AL,LC,C,C,C,C,C,A,?,?,?,?,?,?,?,C,K,L,K,L,K,L,L,2,2,2,2,2,2,2,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,2,1,2,1,2,2,ø,CVV,ø,CVV,CVC,CVV,VVC,2,0,2,0,2,0,0,N,ø,T,1,Naturalisation,ultima
