syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority8,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_ratio8,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_weight8,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_open8,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,syl_phoncat8,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,onset_phoncat8,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,koda_phoncat8,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,nucleus_phoncat8,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,syl_len8,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,koda_len8,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,onset_len8,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,nucleus_len8,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,syl_cv8,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,cv_ratio8,pos,comp_struct,nomen,comp_len,Word,stress_class
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,Ab,ø,A,Ab,Abs,Abst,Abstr,K,KC,KCC,KCCC,KCCCC,7,13,9,10,7,9,12,0,0,3,2,4,3,3,4,4,0,0,0,light,light,light,heavy,light,light,light,ø,ø,c,c,o,c,o,c,c,ø,ø,KC,CCCKC,AL,LCC,CL,KC,CDC,ø,ø,,CCC,A,,C,,C,ø,ø,C,C,,CC,,C,C,ø,ø,K,K,L,L,L,K,D,ø,ø,2,5,2,3,2,3,4,0,0,1,1,0,2,0,1,1,0,0,0,3,1,0,1,0,1,0,0,1,1,2,2,2,1,2,0,0,VC,CCCVC,CVV,VVCC,CVV,VC,CVVC,ø,ø,1,4,0,1,0,1,1,0,0,N,NN,T,2,Abstraktionsfaehigkeit,undef
ne,ø,e,ne,ine,hine,chine,K,CK,LCK,CLCK,KCLCK,A,ø,A,Ad,Adr,Adre,Adres,K,KC,KCC,KCCK,KCCKC,6,11,13,9,9,9,0,0,0,6,3,4,4,4,4,0,0,0,0,light,light,light,light,light,schwa,ø,ø,ø,c,c,c,c,o,o,ø,ø,ø,K,CCK,CLC,CK,CL,CK,ø,ø,ø,,CC,C,C,C,C,ø,ø,ø,,,C,,,,ø,ø,ø,K,K,L,K,L,K,ø,ø,ø,1,4,4,2,4,2,0,0,0,1,1,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,1,1,2,1,2,1,0,0,0,VC,CCVC,CVVC,CVC,CVV,CV,ø,ø,ø,1,3,1,2,0,1,0,0,0,N,VN,T,2,Adressiermaschine,undef
mung,ø,g,ng,ung,mung,mmung,C,KC,CKC,KCKC,CKCKC,Ad,ø,A,Ad,Adv,Adve,Adver,K,KC,KCC,KCCK,KCCKC,7,11,9,14,7,10,14,0,0,3,3,4,7,3,3,4,0,0,0,light,light,light,light,schwa,light,light,ø,ø,c,c,o,c,o,c,c,ø,ø,KC,CKC,CL,LC,CK,CCK,CKC,ø,ø,,C,C,,C,CC,C,ø,ø,C,C,,C,,,C,ø,ø,K,K,L,L,K,K,K,ø,ø,2,3,2,2,2,4,4,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,2,1,0,0,1,1,2,2,1,1,1,0,0,VC,CVC,CVV,VVC,CV,CCVC,CVC,ø,ø,1,2,0,0,1,3,2,0,0,N,AN,T,2,Adverbialbestimmung,undef
rin,ø,n,in,rin,erin,kerin,C,KC,CKC,KCKC,CKCKC,A,ø,A,Ak,Aka,Akad,Akade,K,KC,KCK,KCKC,KCKCL,6,7,7,11,7,15,0,0,0,6,3,3,5,3,5,0,0,0,1,light,light,light,light,schwa,light,ø,ø,ø,c,c,o,o,o,c,ø,ø,ø,K,CK,CL,CL,CK,CKC,ø,ø,ø,,C,C,C,C,C,ø,ø,ø,,,,,,C,ø,ø,ø,K,K,L,L,K,K,ø,ø,ø,1,2,2,2,2,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2,2,1,1,0,0,0,VC,CVC,CVV,CVV,CV,CVC,ø,ø,ø,1,2,0,0,1,2,0,0,0,N,N,T,1,Akademikerin,undef
lung,ø,g,ng,ung,lung,mlung,C,KC,CKC,CCKC,KCCKC,Ak,ø,A,Ak,Akt,Akti,Aktio,K,KC,KCA,KCAL,KCALL,7,9,6,14,11,7,18,0,0,3,4,6,3,3,3,4,0,0,1,light,light,light,heavy,light,light,light,ø,ø,c,o,o,c,c,c,c,ø,ø,KC,AL,L,CLCC,CKC,CK,CCKC,ø,ø,,A,,C,C,C,CC,ø,ø,C,,,CC,C,,C,ø,ø,K,L,L,L,K,K,K,ø,ø,2,2,1,4,3,4,4,0,0,1,0,0,2,1,1,1,0,0,0,1,0,1,1,1,2,0,0,1,2,2,2,1,1,1,0,0,VC,CVV,VV,CVVCC,CVC,CVC,CCVC,ø,ø,1,0,0,1,2,2,3,0,0,N,NV,T,2,Aktionaersversammlung,undef
us,us,s,us,ius,dius,adius,C,KC,LKC,CLKC,LCLKC,Ak,ø,A,Ak,Akt,Akti,Aktio,K,KC,KCA,KCAL,KCALL,7,9,10,14,9,9,0,0,0,3,4,3,7,4,4,0,0,0,0,light,light,heavy,light,light,light,ø,ø,ø,c,o,c,o,o,c,ø,ø,ø,KC,AL,LCC,CL,CL,KC,ø,ø,ø,,A,,C,C,,ø,ø,ø,C,,CC,,,C,ø,ø,ø,K,L,L,L,L,K,ø,ø,ø,2,2,3,2,2,2,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2,2,2,2,1,0,0,0,VC,CVV,VVCC,CVV,CVV,VC,ø,ø,ø,1,0,1,0,0,1,0,0,0,N,NN,T,2,Aktionsradius,undef
gung,ø,g,ng,ung,gung,egung,C,KC,CKC,LCKC,CLCKC,Ak,ø,A,Ak,Akt,Akti,Aktiv,K,KC,KCC,KCCL,KCCLC,7,9,10,10,7,7,12,0,0,3,4,3,3,3,3,4,0,0,0,light,light,light,schwa,schwa,light,light,ø,ø,c,o,c,c,o,o,c,ø,ø,KC,CL,CKC,CKC,CK,CL,CKC,ø,ø,,C,C,C,C,C,C,ø,ø,C,,C,C,,,C,ø,ø,K,L,K,K,K,L,K,ø,ø,2,2,2,4,2,2,4,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,2,1,1,1,2,1,0,0,VC,CVV,CVC,CVC,CV,CVV,CVC,ø,ø,1,0,2,2,1,0,2,0,0,N,NN,T,2,Aktivistenbewegung,undef
rin,ø,n,in,rin,erin,kerin,C,KC,CKC,KCKC,CKCKC,Al,ø,A,Al,Alk,Alko,Alkoh,K,KC,KCC,KCCL,KCCLC,10,7,7,12,7,15,0,0,0,5,3,3,6,3,5,0,0,0,0,light,light,light,light,schwa,light,ø,ø,ø,c,o,o,o,o,c,ø,ø,ø,KC,CL,CL,CL,CK,CKC,ø,ø,ø,,C,C,C,C,C,ø,ø,ø,C,,,,,C,ø,ø,ø,K,L,L,L,K,K,ø,ø,ø,2,2,2,2,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,2,2,2,1,1,0,0,0,VC,CVV,CVV,CVV,CV,CVC,ø,ø,ø,1,0,0,0,1,2,0,0,0,N,N,T,1,Alkoholikerin,undef
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,A,ø,A,Al,Alu,Alum,Alumi,K,KC,KCL,KCLC,KCLCL,6,12,11,11,11,14,0,0,0,6,6,5,5,5,3,0,0,0,1,light,light,light,light,light,light,ø,ø,ø,c,o,o,o,c,c,ø,ø,ø,K,CL,CL,CL,KC,CCKC,ø,ø,ø,,C,C,C,,CC,ø,ø,ø,,,,,C,C,ø,ø,ø,K,L,L,L,K,K,ø,ø,ø,1,2,2,2,2,5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,2,0,0,0,1,2,2,2,1,1,0,0,0,VC,CVV,CVV,CVV,VC,CCVC,ø,ø,ø,1,0,0,0,1,3,0,0,0,N,NN,T,2,Aluminiumdruck,undef
e,ø,e,ie,lie,olie,folie,K,LK,CLK,LCLK,CLCLK,A,ø,A,Al,Alu,Alum,Alumi,K,KC,KCL,KCLC,KCLCL,6,12,11,11,11,7,12,6,0,6,6,5,5,5,3,6,6,0,-1,light,light,light,light,light,light,light,schwa,ø,c,o,o,o,c,o,o,o,ø,K,CL,CL,CL,KC,CL,CL,K,ø,,C,C,C,,C,C,,ø,,,,,C,,,,ø,K,L,L,L,K,L,L,K,ø,1,2,2,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,2,2,2,1,2,2,1,0,VC,CVV,CVV,CVV,VC,CVV,CVV,V,ø,1,0,0,0,1,0,0,0,0,N,NN,T,2,Aluminiumfolie,undef
