syl_len0,syl_len1,syl_len2,syl0,syl1,syl2,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,cv_ratio0,cv_ratio1,cv_ratio2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,comp_len,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_class0,syl_class1,syl_class2,onset_class0,onset_class1,onset_class2,koda_class0,koda_class1,koda_class2,nucleus_class0,nucleus_class1,nucleus_class2,syl_weight0,syl_weight1,syl_weight2,nomen,sylcnt,stress_class
3,3,2,Aas,gei,er,er,ø,N,NN,SS,ø,L,LC,LCC,LCCD,LCCDK,C,KC,DKC,CDKC,CCDKC,ø,VVC,CVV,VC,0,0,1,1,0,1,0,1,0,2,2,1,2,101,101,11,3,3,3,-1,LC,CD,KC,,C,,C,,C,L,D,K,1,1,0,T,3,antepaenultima
1,2,3,A,ba,kus,us,ø,N,ø,ø,ø,L,LC,LCK,LCKC,LCKCK,C,KC,CKC,KCKC,CKCKC,ø,VV,CVC,CVC,0,2,2,0,1,1,0,1,1,2,1,1,0,1,101,201,6,2,2,1,L,CK,CKC,,C,C,,,C,L,K,K,1,1,1,T,3,antepaenultima
2,2,4,ab,1n,dern,ern,ab,V,V,AS,acc,K,KC,KCK,KCKC,KCKCC,C,CC,KCC,CKCC,CCKCC,ø,VC,VC,CVCC,1,1,3,1,1,2,0,0,1,1,1,1,1,101,1001,1111,2,3,2,1,KC,KC,CKCC,,,C,C,C,CC,K,K,K,1,1,0,F,3,antepaenultima
1,3,3,A,ban,don,on,ø,N,ø,ø,ø,K,KC,KCN,KCNC,KCNCN,N,CN,NCN,CNCN,KCNCN,ø,VC,CVV,CVV,1,0,0,1,0,0,0,1,1,1,2,2,0,1,101,101,4,3,3,1,K,CN,CN,,C,C,,,,K,N,N,1,1,1,T,3,ultima
2,2,3,ab,ar,ten,en,ab,V,V,AS,acc,K,KC,KCL,KCLC,KCLCC,C,KC,CKC,CCKC,LCCKC,ø,VC,VVC,CVC,1,0,2,1,1,1,0,0,1,1,2,1,1,101,11,1101,2,4,2,1,KC,LC,CKC,,,C,C,C,C,K,L,K,1,1,0,F,3,antepaenultima
2,2,3,ab,ar,tig,ig,ab,A,N,SA,acc,K,KC,KCL,KCLC,KCLCC,C,KC,CKC,CCKC,LCCKC,noacc,VC,VVC,CVC,1,0,2,1,1,1,0,0,1,1,2,1,1,101,11,201,2,4,2,1,KC,LC,CKC,,,C,C,C,C,K,L,K,1,1,1,F,3,antepaenultima
2,2,4,Ab,ar,tung,ung,ab,N,V,SA,acc,K,KC,KCL,KCLC,KCLCC,C,KC,CKC,CCKC,LCCKC,ø,VC,VVC,CVC,1,0,2,1,1,1,0,0,1,1,2,1,1,101,11,1101,2,4,2,1,KC,LC,CKC,,,C,C,C,C,K,L,K,1,1,1,T,3,antepaenultima
1,2,3,A,ba,sie,ie,ø,N,ø,ø,ø,K,KC,KCK,KCKC,KCKCL,L,CL,KCL,CKCL,KCKCL,ø,VC,CVC,CVV,1,2,0,1,1,0,0,1,1,1,1,2,0,1,101,101,4,2,3,1,K,CK,CL,,C,C,,,,K,K,L,1,1,1,T,3,ultima
2,1,4,ab,1,sten,en,ab,V,V,AS,acc,K,KC,KCK,KCKC,KCKCC,C,KC,CKC,CCKC,KCCKC,ø,VC,VC,CVC,1,1,2,1,1,1,0,0,1,1,1,1,1,101,101,1101,2,2,2,1,KC,KC,CKC,,,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
2,3,2,ab,ba2,en,en,ab,V,V,AS,acc,K,KC,KCC,KCCD,KCCDK,C,KC,DKC,CDKC,CCDKC,ø,VC,CVV,VC,1,0,1,1,0,1,0,1,0,1,2,1,1,101,101,1001,2,3,3,1,KC,CD,KC,,C,,C,,C,K,D,K,1,1,0,F,3,antepaenultima
