syl_len0,syl_len1,syl_len2,syl_len3,syl0,syl1,syl2,syl3,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,comp_len,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,onset_class0,onset_class1,onset_class2,onset_class3,koda_class0,koda_class1,koda_class2,koda_class3,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,syl_weight0,syl_weight1,syl_weight2,syl_weight3,nomen,sylcnt,stress_class
3,2,3,5,sym,pa,the,tisch,isch,ø,A,R,SA,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVV,CVC,2,2,0,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1101,101,101,201,2,2,2,2,-1,CKC,CK,CL,CKC,C,C,C,C,C,?,?,C,K,K,L,K,1,1,1,1,F,4,paenultima
2,2,3,2,Ro,si,nan,te,e,ø,N,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,K,CK,CCK,KCCK,CKCCK,ø,CVV,CVV,CVC,CV,0,0,2,1,0,0,1,0,1,1,1,1,2,2,1,1,0,11,101,2001,101,3,3,2,2,1,CL,CL,CKC,CK,C,C,C,C,?,?,C,?,L,L,K,K,1,1,1,0,T,4,paenultima
1,3,3,2,A,qua,tin,ta,a,ø,N,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,L,CL,CCL,KCCL,CKCCL,ø,VC,CCVC,CVC,CVV,1,3,2,0,1,1,1,0,0,2,1,1,1,1,1,2,0,1,201,1101,101,4,2,2,3,1,K,CCK,CKC,CL,?,CC,C,C,?,?,C,?,K,K,K,L,1,1,1,1,T,4,paenultima
2,4,3,3,zu,r2ck,neh,men,en,ø,V,BV,SS,ø,A,AL,ALC,ALCK,ALCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,CVC,0,2,0,2,0,1,0,1,1,1,1,1,2,1,2,1,2,101,111,1001,2001,3,3,3,2,1,AL,CKC,CL,CKC,A,C,C,C,?,C,?,C,L,K,L,K,1,1,1,0,F,4,antepaenultima
5,2,3,2,Kreuz,ab,nah,me,e,ø,N,NN,SS,ø,C,CC,CCD,CCDA,CCDAK,K,CK,LCK,CLCK,CCLCK,ø,CCVVC,VC,CVV,CV,1,1,0,1,1,1,0,0,2,0,1,1,2,1,2,1,2,211,101,1001,1001,2,2,4,3,1,CCDA,KC,CL,CK,CC,?,C,C,A,C,?,?,D,K,L,K,1,1,1,0,T,4,prima
1,2,2,2,a,se,xu,al,al,ø,A,A,AS,ø,K,KC,KCK,KCKC,KCKCC,C,LC,LLC,CLLC,CCLLC,ø,VC,CVC,CCVV,VVC,1,2,1,0,1,1,0,1,0,1,2,0,1,1,2,2,1,1,101,201,11,4,2,2,4,1,K,CK,CCL,LC,?,C,CC,?,?,?,?,C,K,K,L,L,1,1,1,1,F,4,antepaenultima
3,3,2,2,Kol,lek,ti,on,on,ø,N,N,SA,ø,C,CK,CKC,CKCK,CKCKC,C,LC,LLC,ALLC,CALLC,ø,CVC,CVC,CVV,VVC,2,2,0,0,1,1,0,1,1,1,1,0,1,1,2,2,1,101,111,101,1001,2,2,3,3,1,CK,CKC,AL,LC,C,C,A,?,?,C,?,C,K,K,L,L,1,1,1,1,T,4,ultima
2,2,2,5,ab,de,ri,tisch,isch,ø,A,N,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVC,1,0,0,2,1,0,0,1,0,1,1,1,1,2,2,1,1,101,101,11,201,2,2,4,2,1,KC,CL,CL,CKC,?,C,C,C,C,?,?,C,K,L,L,K,1,1,1,1,F,4,antepaenultima
3,3,2,4,Feu,dal,sy,stem,em,ø,N,AN,SS,ø,C,CD,CDC,CDCL,CDCLC,C,LC,CLC,CCLC,KCCLC,ø,CVV,CVVC,CVC,CVVC,0,1,2,1,0,1,1,1,1,1,1,1,2,2,1,2,2,101,111,201,1101,3,3,2,2,1,CD,CLC,CKC,CLC,C,C,C,C,?,C,C,C,D,L,K,L,1,1,1,1,T,4,antepaenultima
2,2,3,5,hu,ge,not,tisch,isch,ø,A,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,KCKC,CKCKC,ø,CVV,CV,CVC,CVC,0,1,2,2,0,0,1,1,1,1,1,1,2,1,1,1,0,101,101,1001,201,3,2,3,2,1,CL,CK,CK,CKC,C,C,C,C,?,?,?,C,L,K,K,K,1,0,1,1,F,4,paenultima
2,2,2,3,al,li,ie,ren,en,ø,V,R,SA,ø,K,KC,KCL,KCLL,KCLLC,C,KC,CKC,LCKC,LLCKC,ø,VC,CVV,VV,CVC,1,0,0,2,1,0,0,1,0,1,0,1,1,2,2,1,1,1,11,1,1011,4,4,5,3,1,K,CL,L,CKC,?,C,?,C,?,?,?,C,K,L,L,K,1,1,1,0,F,4,paenultima
2,3,2,3,Ab,g3t,te,rei,ei,ab,N,N,SA,acc,K,KC,KCC,KCCK,KCCKC,D,CD,KCD,CKCD,KCKCD,ø,VC,CVC,CV,CVV,1,2,1,0,1,1,0,0,0,1,1,1,1,1,1,2,1,101,101,101,11,2,2,2,4,-1,KC,CK,CK,CD,?,C,C,C,C,?,?,?,K,K,K,D,1,1,0,1,T,4,ultima
3,3,2,5,alt,wie,ne,risch,isch,ø,A,ø,SS,ø,L,LC,LCL,LCLC,LCLCK,C,KC,CKC,KCKC,CKCKC,ø,VCC,CVV,CV,CVC,2,0,1,2,2,0,0,1,0,1,1,1,1,2,1,1,2,1,101,1001,111,4,3,3,3,1,L,CL,CK,CKC,?,C,C,C,?,?,?,C,L,L,K,K,2,1,0,1,F,4,antepaenultima
2,3,3,2,Na,tur,leh,re,e,ø,N,NN,SS,ø,C,CK,CKC,CKCL,CKCLC,K,CK,LCK,CLCK,CCLCK,ø,CVC,CVVC,CVV,CV,2,1,0,1,1,1,0,0,1,1,1,1,1,2,2,1,2,1001,111,11,11,3,3,3,3,-1,CK,CLC,CL,CK,C,C,C,C,?,C,?,?,K,L,L,K,1,1,1,0,T,4,antepaenultima
2,2,3,3,ex,hi,bie,ren,en,ø,V,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,LCKC,CLCKC,ø,VCC,CVV,CVV,CVC,2,0,0,2,2,0,0,1,0,1,1,1,1,2,2,1,0,201,101,101,1011,2,3,3,3,1,KCC,CL,CL,CKC,?,C,C,C,CC,?,?,C,K,L,L,K,2,1,1,0,F,4,paenultima
2,4,3,4,Ge,rech,tig,keit,eit,ø,N,A,SAA,ø,C,CK,CKC,CKCK,CKCKC,C,DC,CDC,CCDC,KCCDC,ø,CV,CVC,CVC,CVVC,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,2,1,101,111,201,201,2,2,2,2,1,CK,CKC,CKC,CDC,C,C,C,C,?,C,C,C,K,K,K,D,0,1,1,1,T,4,antepaenultima
1,4,2,5,a,stro,lo,gisch,isch,ø,A,N,SA,ø,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVV,CVV,CVC,1,1,0,2,1,0,0,1,0,2,1,1,1,2,2,1,1,101,111,11,201,2,2,3,2,1,KC,CCL,CL,CKC,?,CC,C,C,C,?,?,C,K,L,L,K,1,1,1,1,F,4,paenultima
3,3,4,3,hin,ein,stop,fen,en,hin,V,BV,SS,acc,C,CL,CLC,CLCD,CLCDC,C,KC,AKC,KAKC,CKAKC,ø,CVV,CVVC,CCVC,CVC,0,1,3,2,0,1,1,1,1,1,2,1,2,2,1,1,2,101,2001,201,1101,3,3,2,2,1,CL,CDC,CCK,AKC,C,C,CC,A,?,C,?,C,L,D,K,K,1,1,1,0,F,4,antepaenultima
3,2,2,2,Kre,ma,ti,on,on,ø,N,R,SA,ø,C,CC,CCL,CCLC,CCLCK,C,LC,LLC,ALLC,KALLC,ø,CCVV,CVC,CVV,VVC,1,2,0,0,0,1,0,1,2,1,1,0,2,1,2,2,1,111,1001,101,1001,2,3,3,3,1,CCL,CK,AL,LC,CC,C,A,?,?,?,?,C,L,K,L,L,1,1,1,1,T,4,ultima
2,3,2,4,Of,fen,le,gung,ung,ø,N,V,SA,ø,K,KC,KCK,KCKC,KCKCC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVV,CVC,1,2,0,2,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1101,11,1101,4,2,3,2,1,K,CKC,CL,CKC,?,C,C,C,?,C,?,C,K,K,L,K,1,0,1,1,T,4,prima
2,3,3,4,Ge,las,sen,heit,eit,ø,N,A,SA,ø,C,CK,CKC,CKCK,CKCKC,C,DC,CDC,CCDC,KCCDC,ø,CV,CVC,CVC,CVVC,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,2,1,101,11,1101,201,2,3,2,2,1,CK,CK,CKC,CDC,C,C,C,C,?,?,C,C,K,K,K,D,0,1,0,1,T,4,antepaenultima
3,3,3,3,kon,ser,vie,ren,en,ø,V,R,SA,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVV,CVC,2,2,0,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1101,111,101,1011,2,2,3,3,-1,CKC,CKC,CL,CKC,C,C,C,C,C,C,?,C,K,K,L,K,1,1,1,0,F,4,paenultima
1,2,2,2,I,ro,ke,se,e,ø,N,ø,ø,ø,L,LC,LCL,LCLC,LCLCL,K,CK,LCK,CLCK,LCLCK,ø,VV,CVV,CVV,CV,0,0,0,1,0,0,0,0,0,1,1,1,2,2,2,1,0,1,11,101,101,5,3,2,2,1,L,CL,CL,CK,?,C,C,C,?,?,?,?,L,L,L,K,1,1,1,0,T,4,paenultima
2,3,3,3,be,f2r,sor,gen,en,be,V,N,AS,noacc,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,CCKC,KCCKC,ø,CV,CVVC,CVC,CVC,1,1,2,2,0,1,1,1,1,1,1,1,1,2,1,1,1,101,111,111,1101,2,3,2,2,1,CK,CLC,CKC,CKC,C,C,C,C,?,C,C,C,K,L,K,K,0,1,1,0,F,4,antepaenultima
3,2,4,3,Her,um,trei,ber,er,ø,N,V,SA,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,DCKC,CDCKC,ø,CVC,CVC,CCVV,CVC,2,2,1,2,1,1,0,1,1,1,2,1,1,1,2,1,1,101,1011,111,111,2,3,3,2,-1,CK,CKC,CCD,CKC,C,C,CC,C,?,C,?,C,K,K,D,K,1,1,1,0,T,4,antepaenultima
3,2,2,6,ter,ro,ri,stisch,isch,ø,A,N,SA,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVV,CVC,CVC,2,0,2,2,1,0,1,1,1,1,1,1,1,2,1,1,1,101,11,111,201,2,3,3,2,1,CK,CL,CKC,CKC,C,C,C,C,?,?,C,C,K,L,K,K,1,1,1,1,F,4,paenultima
3,2,2,3,Neu,ro,ti,ker,er,ø,N,R,SA,ø,C,CD,CDC,CDCL,CDCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CVV,CVC,0,0,0,2,0,0,0,1,1,1,1,1,2,2,2,1,1,1001,11,101,111,4,3,3,2,-1,CD,CL,CL,CKC,C,C,C,C,?,?,?,C,D,L,L,K,1,1,1,0,T,4,antepaenultima
1,3,4,4,8,ber,sied,lung,ung,ueber,N,V,SA,acc,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,CCKC,LCCKC,ø,VV,CVC,CVV,CCVC,0,2,0,3,0,1,0,1,0,1,1,2,2,1,2,1,1,1,111,101,1111,5,2,3,2,1,L,CKC,CL,CCKC,?,C,C,CC,?,C,?,C,L,K,L,K,1,0,1,1,T,4,prima
2,3,2,3,un,ter,ma,len,en,unter,V,PV,SS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVV,CVC,1,2,0,2,1,1,0,1,0,1,1,1,1,1,2,1,2,1001,111,1001,1011,3,2,4,3,1,KC,CKC,CL,CKC,?,C,C,C,C,C,?,C,K,K,L,K,1,0,1,0,F,4,paenultima
4,3,3,4,Gro$,her,zig,keit,eit,ø,N,A,SA,ø,C,CC,CCL,CCLC,CCLCC,C,DC,CDC,CCDC,KCCDC,ø,CCVVC,CVC,CVC,CVVC,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,211,111,201,201,2,2,2,2,1,CCLC,CKC,AKC,CDC,CC,C,A,C,C,C,C,C,L,K,K,D,1,1,1,1,T,4,prima
3,3,2,3,Wie,der,se,hen,en,ø,N,F,S,ø,C,CL,CLC,CLCK,CLCKC,C,KC,LKC,CLKC,CCLKC,ø,CVV,CVC,CVV,VC,0,2,0,1,0,1,0,1,1,1,1,0,2,1,2,1,1,101,111,101,1001,3,2,2,3,1,CL,CKC,CL,KC,C,C,C,?,?,C,?,C,L,K,L,K,1,0,1,0,T,4,prima
2,3,2,3,Ap,fel,ge,lee,ee,ø,N,NN,SS,ø,K,KA,KAK,KAKC,KAKCC,L,CL,KCL,CKCL,CCKCL,ø,VC,CVC,CV,CVV,1,2,1,0,1,1,0,0,0,1,1,1,1,1,1,2,2,1,111,101,11,4,2,2,3,1,K,AKC,CK,CL,?,A,C,C,?,C,?,?,K,K,K,L,1,0,0,1,T,4,prima
3,3,2,3,Feu,dal,we,sen,en,ø,N,AN,SS,ø,C,CD,CDC,CDCL,CDCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVVC,CVV,CVC,0,1,0,2,0,1,0,1,1,1,1,1,2,2,2,1,2,101,111,101,1101,3,3,2,2,1,CD,CLC,CL,CKC,C,C,C,C,?,C,?,C,D,L,L,K,1,1,1,0,T,4,antepaenultima
2,2,2,2,Sy,ro,lo,ge,e,ø,N,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,K,CK,LCK,CLCK,LCLCK,ø,CVV,CVV,CVV,CV,0,0,0,1,0,0,0,0,1,1,1,1,2,2,2,1,0,101,11,11,101,3,3,3,2,0,CL,CL,CL,CK,C,C,C,C,?,?,?,?,L,L,L,K,1,1,1,0,T,4,paenultima
2,3,2,6,Ta,fel,ge,schirr,irr,ø,N,NN,SS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,KCKC,CKCKC,ø,CVV,CVC,CV,CVC,0,2,1,2,0,1,0,1,1,1,1,1,2,1,1,1,2,101,111,101,111,3,2,2,3,1,CL,CKC,CK,CKC,C,C,C,C,?,C,?,C,L,K,K,K,1,0,0,1,T,4,prima
3,3,3,4,Hin,ter,las,sung,ung,hinter,N,V,SA,acc,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,CVC,CVC,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1101,111,11,1101,2,2,3,2,-1,CKC,CKC,CK,CKC,C,C,C,C,C,C,?,C,K,K,K,K,1,0,1,1,T,4,paenultima
2,3,3,3,re,mit,tie,ren,en,ø,V,R,SA,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVC,CVV,CVC,0,2,0,2,0,1,0,1,1,1,1,1,2,1,2,1,1,11,1001,101,1011,3,3,3,3,1,CL,CK,CL,CKC,C,C,C,C,?,?,?,C,L,K,L,K,1,1,1,0,F,4,paenultima
1,3,6,4,8,ber,spannt,heit,eit,ø,N,A,SA,ø,L,LC,LCK,LCKC,LCKCC,C,DC,CDC,CCDC,CCCDC,ø,VV,CVC,CCVCC,CVVC,0,2,4,1,0,1,2,1,0,1,2,1,2,1,1,2,1,1,111,1301,201,5,2,1,2,1,L,CKC,CCKCC,CDC,?,C,CC,C,?,C,CC,C,L,K,K,D,1,0,2,1,T,4,paenultima
3,2,3,3,aus,ta,rie,ren,en,aus,V,V,AS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,LCKC,CLCKC,ø,VVC,CVC,CVV,CVC,0,2,0,2,1,1,0,1,0,1,1,1,2,1,2,1,1,101,101,11,1011,3,2,4,3,1,DC,CK,CL,CKC,?,C,C,C,C,?,?,C,D,K,L,K,1,1,1,0,F,4,prima
1,4,2,5,a,rith,me,tisch,isch,ø,A,R,SA,ø,K,KC,KCK,KCKC,KCKCC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVV,CVC,1,2,0,2,1,1,0,1,0,1,1,1,1,1,2,1,1,1,111,1001,201,4,3,3,2,1,K,CKC,CL,CKC,?,C,C,C,?,C,?,C,K,K,L,K,1,1,1,1,F,4,paenultima
2,3,3,3,Ra,dau,bru,der,er,ø,N,NN,SS,ø,C,CK,CKC,CKCD,CKCDC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CCVV,CVC,2,0,1,2,1,0,0,1,1,1,2,1,1,2,2,1,2,11,101,111,111,3,3,3,2,1,CK,CD,CCL,CKC,C,C,CC,C,?,?,?,C,K,D,L,K,1,1,1,0,T,4,antepaenultima
2,4,2,4,Er,dros,se,lung,ung,er,N,V,SA,noacc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CV,CVC,1,3,1,2,1,1,0,1,0,2,1,1,1,1,1,1,1,11,111,101,1011,3,2,2,3,1,KC,CCK,CK,CKC,?,CC,C,C,C,?,?,C,K,K,K,K,1,1,0,1,T,4,antepaenultima
2,2,3,3,ma,tu,rie,ren,en,ø,V,N,SA,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVV,CVC,2,0,0,2,1,0,0,1,1,1,1,1,1,2,2,1,1,1001,101,11,1011,3,3,4,3,-1,CK,CL,CL,CKC,C,C,C,C,?,?,?,C,K,L,L,K,1,1,1,0,F,4,paenultima
