syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl0,syl1,syl2,syl3,syl4,syl5,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,nomen,sylcnt,stress_class
2,3,2,4,3,4,Ab,bau,ge,rech,tig,keit,eit,ab,N,VN,ø,acc,K,KC,KCC,KCCD,KCCDC,C,DC,CDC,CCDC,KCCDC,ø,VC,CVV,CV,CVC,CVC,CVVC,1,0,1,2,2,1,1,0,0,1,1,1,0,1,1,1,1,1,1,2,1,1,1,2,2,101,101,101,111,201,201,2,3,2,2,2,2,1,KC,CD,CK,CKC,CKC,CDC,,C,C,C,C,C,C,,,C,C,C,K,D,K,K,K,D,1,1,0,1,1,1,T,6,prima
2,3,2,1,2,2,Ab,bre,vi,a,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CCVV,CVV,VC,CVV,VVC,1,1,0,1,0,0,1,0,0,1,0,1,0,2,1,0,1,0,1,2,2,1,2,2,1,1,111,101,1,101,1001,4,2,3,4,3,3,1,K,CCL,CL,K,AL,LC,,CC,C,,A,,,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
1,4,3,2,2,2,A,bend,gym,na,si,um,um,ø,N,NN,SS,ø,L,LC,LCK,LCKC,LCKCC,C,KC,LKC,CLKC,LCLKC,ø,VV,CVCC,CVC,CVV,CVV,VC,0,3,2,0,0,1,0,2,1,0,0,1,0,1,1,1,1,0,2,1,1,2,2,1,2,1,1201,1101,1001,101,1001,6,2,2,4,3,3,1,L,CKCC,CKC,CL,CL,KC,,C,C,C,C,,,CC,C,,,C,L,K,K,L,L,K,1,0,1,1,1,1,T,6,prima
2,2,2,3,3,3,ab,fo,to,gra,fie,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CCVC,CVV,CVC,1,0,0,3,0,2,1,0,0,1,0,1,0,1,1,2,1,1,1,2,2,1,2,1,1,101,101,101,111,101,1011,2,2,2,2,3,3,1,KC,CL,CL,CCK,CL,CKC,,C,C,CC,C,C,C,,,,,C,K,L,L,K,L,K,1,1,1,1,1,0,F,6,prima
2,2,3,2,3,4,Ab,ge,ord,ne,ten,haus,aus,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKK,C,DC,CDC,CCDC,KCCDC,ø,VC,CV,VC,CCV,CVC,CVVC,1,1,1,2,2,1,1,0,1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,2,2,101,101,11,1101,1101,201,2,2,3,2,2,2,1,KC,CK,KC,CCK,CKC,CDC,,C,,CC,C,C,C,,C,,C,C,K,K,K,K,K,D,1,0,1,0,0,1,T,6,prima
1,2,1,2,2,2,A,bi,o,ge,ne,se,e,ø,N,ø,ø,ø,K,KC,KCL,KCLL,KCLLC,K,CK,LCK,CLCK,LCLCK,ø,VC,CVV,VV,CVV,CVV,CV,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,2,2,2,2,1,0,1,101,1,101,1001,101,4,3,4,2,3,2,1,K,CL,L,CL,CL,CK,,C,,C,C,C,,,,,,,K,L,L,L,L,K,1,1,1,1,1,0,T,6,paenultima
2,1,2,2,2,3,Ab,i,tu,ri,en,tin,in,ø,N,N,SA,ø,K,KC,KCL,KCLC,KCLCL,C,KC,CKC,CCKC,KCCKC,ø,VC,CVV,CVV,CVV,VC,CVC,1,0,0,0,1,2,1,0,0,0,1,1,0,1,1,1,0,1,1,2,2,2,1,1,1,1,101,101,11,1001,1101,4,3,3,4,3,2,1,K,CL,CL,CL,KC,CKC,,C,C,C,,C,,,,,C,C,K,L,L,L,K,K,1,1,1,1,1,1,T,6,paenultima
2,2,2,2,2,2,Ab,ju,di,ka,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,KALLC,ø,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,1,101,2,101,101,101,1001,2,4,3,2,3,3,1,KC,CL,CL,CK,AL,LC,,C,C,C,A,,C,,,,,C,K,L,L,K,L,L,1,1,1,1,1,1,T,6,ultima
2,3,5,3,5,3,Ab,k2r,zungs,ver,zeich,nis,is,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,DCCKC,noacc,VC,CVC,CVCC,CVC,CVVC,CVC,1,2,3,2,1,2,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,101,111,1201,111,201,1101,2,3,2,2,2,2,1,KC,CKC,AKCC,CKC,ADC,CKC,,C,A,C,A,C,C,C,CC,C,C,C,K,K,K,K,D,K,1,1,2,1,1,1,T,6,prima
2,3,5,2,2,3,Ab,len,kungs,ma,n3,ver,er,ab,N,NN,SAS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVCC,CVC,CVV,CVC,1,2,3,2,0,2,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,101,1011,1201,1001,1001,111,2,3,2,3,3,2,-1,KC,CKC,CKCC,CK,CL,CKC,,C,C,C,C,C,C,C,CC,,,C,K,K,K,K,L,K,1,1,2,1,1,0,T,6,multa
