syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,pos,comp_struct,nomen,comp_len,Word,stress_class
letzt,ø,t,zt,tzt,etzt,letzt,C,AC,KAC,CKAC,CCKAC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCK,ø,6,14,6,14,12,6,4,6,4,3,1,light,schwa,light,schwa,heavy,c,c,c,c,c,K,CKC,K,CKC,CKAC,,C,,C,C,,C,,C,AC,K,K,K,K,K,2,3,2,3,5,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,VC,CVC,VC,CVC,CVCC,1,2,1,2,3,A,A,F,1,allerallerletzt,multa
tigst,ø,t,st,gst,igst,tigst,C,CC,CCC,KCCC,CKCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,14,15,12,6,4,3,5,2,1,light,schwa,heavy,light,heavy,c,c,c,c,c,K,CKC,CKCC,CDC,CKCCC,,C,C,C,C,,C,CC,C,CCC,K,K,K,D,K,2,3,5,5,5,1,1,2,1,3,0,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVVC,CVCCC,1,2,3,1,4,A,F,F,1,allerdurchlauchtigst,multa
stens,ø,s,ns,ens,tens,stens,C,CC,KCC,CKCC,CCKCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,13,7,11,6,4,4,3,2,0,light,schwa,light,schwa,schwa,c,c,o,c,c,K,CKC,CCL,KC,CKCC,,C,CC,,C,,C,,C,CC,K,K,L,K,K,2,3,3,2,5,1,1,0,1,2,0,1,2,0,1,1,1,2,1,1,VC,CVC,CCVV,VC,CVCC,1,2,1,1,3,ADV,ø,F,2,allerfruehestens,multa
gen,ø,n,en,gen,igen,ligen,C,KC,CKC,KCKC,CKCKC,ø,Al,ø,A,Al,All,Alle,Aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,11,12,10,6,4,5,6,3,0,light,schwa,light,light,schwa,c,c,o,c,c,K,CKC,CD,CK,CKC,,C,C,C,C,,C,,,C,K,K,D,K,K,2,3,3,2,3,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,VC,CVC,CVV,CVC,CVC,1,2,0,2,2,N,N,T,1,Allerheiligen,multa
stens,ø,s,ns,ens,tens,stens,C,CC,KCC,CKCC,CCKCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,8,8,11,6,4,2,2,2,0,light,schwa,light,schwa,schwa,c,c,o,c,c,K,CKC,CCL,CKC,CKCC,,C,CC,C,C,,C,,C,CC,K,K,L,K,K,2,3,3,2,5,1,1,0,1,2,0,1,2,1,1,1,1,2,1,1,VC,CVC,CCVV,CVC,CVCC,1,2,1,2,3,ADV,ø,F,2,allerspaetestens,multa
tig,ø,g,ig,tig,rtig,ertig,C,KC,CKC,CCKC,KCCKC,noacc,all,ø,a,al,all,allg,allge,K,KC,KCC,KCCL,KCCLC,ø,10,7,10,11,10,5,3,3,3,3,0,light,light,schwa,light,light,c,o,c,c,c,KC,CL,CKC,CKC,CKC,,C,C,C,C,C,,C,C,C,K,L,K,K,K,3,2,3,3,3,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,VC,CVV,CVC,CVC,CVC,1,0,2,2,2,A,ø,F,2,allgegenwaertig,multa
dend,ø,d,nd,end,dend,ldend,C,CC,KCC,CKCC,CCKCC,ø,all,ø,a,al,all,allg,allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,13,11,5,3,5,4,2,0,light,schwa,light,light,schwa,c,o,c,c,c,KC,CK,CDC,CKC,CKCC,,C,C,C,C,C,,C,C,CC,K,K,D,K,K,3,2,4,3,4,1,0,1,1,2,0,1,1,1,1,1,1,2,1,1,VC,CV,CVVC,CVC,CVCC,1,1,1,2,3,A,ø,F,2,allgemeinbildend,multa
dung,ø,g,ng,ung,dung,ldung,C,KC,CKC,CCKC,KCCKC,ø,All,ø,A,Al,All,Allg,Allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,13,12,5,3,5,4,4,1,light,schwa,light,light,light,c,o,c,c,c,KC,CK,CDC,CKC,CKC,,C,C,C,C,C,,C,C,C,K,K,D,K,K,3,2,4,3,4,1,0,1,1,1,0,1,1,1,1,1,1,2,1,1,VC,CV,CVVC,CVC,CVC,1,1,1,2,2,N,AN,T,2,Allgemeinbildung,multa
tig,ø,g,ig,tig,ltig,eltig,C,KC,CKC,CCKC,KCCKC,noacc,all,ø,a,al,all,allg,allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,13,10,5,3,5,4,3,0,light,schwa,light,light,light,c,o,c,c,c,KC,CK,CDC,CKC,CKC,,C,C,C,C,C,,C,C,C,K,K,D,K,K,3,2,4,3,3,1,0,1,1,1,0,1,1,1,1,1,1,2,1,1,VC,CV,CVVC,CVC,CVC,1,1,1,2,2,A,AA,F,2,allgemeingueltig,multa
sen,ø,n,en,sen,ssen,essen,C,KC,CKC,KCKC,CKCKC,ø,alt,ø,a,al,alt,alte,altei,L,LD,LDC,LDCC,LDCCK,ø,6,13,7,7,10,6,6,3,3,3,0,heavy,light,schwa,light,schwa,c,c,o,c,c,L,DC,CK,CK,CKC,,,C,C,C,,C,,,C,L,D,K,K,K,3,3,2,3,3,2,1,0,1,1,0,0,1,1,1,1,2,1,1,1,VCC,VVC,CV,CVC,CVC,2,0,1,2,2,A,AA,F,2,alteingesessen,multa
che,ø,e,he,che,ache,fache,K,CK,KCK,CKCK,CCKCK,ø,An,ø,A,An,And,Ande,Ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,12,7,7,4,3,3,3,3,-1,light,schwa,heavy,light,schwa,c,c,c,c,o,KC,CKCC,CKCC,CK,CK,,C,C,C,C,C,CC,CC,,,K,K,K,K,K,2,4,4,2,3,1,2,2,1,0,0,1,1,1,1,1,1,1,1,1,VC,CVCC,CVCC,CVC,CV,1,3,3,2,1,N,ø,T,1,Anderthalbfache,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,be,be,b,be,beh,beho,behoe,C,CK,CKC,CKCL,CKCLC,ø,7,12,12,11,12,3,3,6,3,4,0,schwa,heavy,light,schwa,light,o,c,c,c,c,CK,CLCC,CK,CKC,CDA,C,C,C,C,C,,CC,,C,A,K,L,K,K,D,2,4,2,4,5,0,2,1,1,1,1,1,1,1,1,1,2,1,1,2,CV,CVVCC,CVC,CVC,CVVC,1,1,2,2,1,ADV,AN,F,2,behoerdlicherseits,multa
$en,ø,n,en,sen,ssen,assen,C,KC,CKC,LCKC,CLCKC,ø,be,be,b,be,bet,beto,beton,C,CK,CKC,CKCL,CKCLC,ø,7,10,11,13,10,3,3,3,6,3,0,schwa,light,schwa,light,schwa,o,c,c,o,c,CK,CLC,CKC,CL,CKC,C,C,C,C,C,,C,C,,C,K,L,K,L,K,2,3,3,2,3,0,1,1,0,1,1,1,1,1,1,1,2,1,2,1,CV,CVVC,CVC,CVV,CVC,1,1,2,0,2,ADV,A,F,1,betontermassen,multa
aus,ø,s,us,aus,naus,inaus,C,DC,CDC,KCDC,CKCDC,ø,dar,ø,d,da,dar,daru,darue,C,CL,CLC,CLCL,CLCLC,ø,11,12,11,9,14,5,6,3,4,4,0,light,light,schwa,light,light,o,o,c,c,c,CL,CL,CKC,CK,CDC,C,C,C,C,C,,,C,,C,L,L,K,K,D,3,1,3,3,3,0,0,1,1,1,1,1,1,1,1,2,2,1,1,2,CVV,CVV,CVC,CVC,CVVC,0,0,2,2,1,ADV,ø,F,2,darueberhinaus,multa
tet,ø,t,et,tet,htet,chtet,C,KC,CKC,CCKC,KCCKC,ø,dem,ø,d,de,dem,demu,demun,C,CL,CLC,CLCK,CLCKC,ø,10,11,10,7,8,3,5,5,3,2,-1,light,light,light,light,schwa,c,c,c,c,c,CLC,KC,KC,KC,CKC,C,,,,C,C,C,C,C,C,L,K,K,K,K,3,2,2,3,3,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,CVVC,VC,VC,VC,CVC,1,1,1,1,2,ADV,ø,F,2,demunerachtet,multa
tet,ø,t,et,tet,htet,chtet,C,KC,CKC,CCKC,KCCKC,ø,dem,ø,d,de,dem,demu,demun,C,CL,CLC,CLCK,CLCKC,ø,10,11,7,7,8,3,5,3,3,2,-1,light,light,schwa,light,schwa,c,c,o,c,c,CLC,KC,CK,KC,CKC,C,,C,,C,C,C,,C,C,L,K,K,K,K,3,2,2,3,3,1,1,0,1,1,1,0,1,0,1,2,1,1,1,1,CVVC,VC,CV,VC,CVC,1,1,1,1,2,ADV,ø,F,2,demungeachtet,multa
tet,ø,t,et,tet,htet,chtet,C,KC,CKC,CCKC,KCCKC,ø,des,ø,d,de,des,desu,desun,C,CK,CKC,CKCK,CKCKC,ø,8,11,7,7,8,2,5,3,3,2,-1,light,light,schwa,light,schwa,c,c,o,c,c,CKC,KC,CK,KC,CKC,C,,C,,C,C,C,,C,C,K,K,K,K,K,3,2,2,3,3,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,CVC,VC,CV,VC,CVC,2,1,1,1,2,ADV,ø,F,2,desungeachtet,multa
gen,ø,n,en,gen,egen,wegen,C,KC,CKC,LCKC,CLCKC,ø,e,ø,e,eb,ebe,eben,ebend,L,LC,LCK,LCKC,LCKCC,ø,6,10,8,7,10,6,3,2,3,3,0,light,schwa,light,light,schwa,o,c,c,o,c,L,CKC,CKC,CL,CKC,,C,C,C,C,,C,C,,C,L,K,K,L,K,1,3,3,2,3,0,1,1,0,1,0,1,1,1,1,2,1,1,2,1,VV,CVC,CVC,CVV,CVC,0,2,2,0,2,X,ø,F,2,ebendeswegen,multa
$en,ø,n,en,sen,ssen,assen,C,KC,CKC,LCKC,CLCKC,ø,ei,ø,e,ei,ein,eini,einig,D,DC,DCK,DCKC,DCKCK,acc,13,8,11,13,10,6,8,3,6,3,-1,light,light,schwa,light,schwa,c,c,c,o,c,DC,K,CKC,CL,CKC,,,C,C,C,C,,C,,C,D,K,K,L,K,2,2,3,2,3,1,1,1,0,1,0,0,1,1,1,2,1,1,2,1,VVC,VC,CVC,CVV,CVC,0,1,2,0,2,ADV,A,F,1,einigermassen,multa
