syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,m,ø,ø,ø,ø,C,CK,CKC,CKCL,CKCLC,ø,9,11,8,9,12,13,4,5,2,4,6,4,0,light,light,light,light,light,schwa,c,o,c,o,o,c,CK,CL,CKC,CL,CL,CKC,C,C,C,C,C,C,?,?,C,?,?,C,K,L,K,L,L,K,2,2,3,2,3,3,1,0,1,0,0,1,1,1,1,1,1,1,1,2,1,2,2,1,CVC,CVV,CVC,CVV,CVV,CVC,2,0,2,0,0,2,V,N,F,1,manufakturieren,paenultima
ø,ø,e,ø,ø,ø,ø,K,CK,LCK,CLCK,ø,ø,ø,ø,U,ø,ø,ø,ø,L,LC,LCK,LCKC,LCKCC,ø,8,11,14,7,9,9,8,3,3,3,4,4,-1,light,schwa,light,light,light,schwa,o,c,c,c,o,o,L,CKC,ø,CK,CL,CK,?,C,CC,C,C,C,?,C,C,?,?,?,L,K,K,K,L,K,1,3,5,2,2,2,0,1,1,1,0,0,0,1,2,1,1,1,2,1,1,1,2,1,VV,CVC,ø,CVC,CVV,CV,0,2,3,2,0,1,N,NN,T,2,Ueberdruckkabine,prima
ø,ø,h,ch,sch,isch,ø,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,p,ø,ø,ø,ø,C,CK,CKC,CKCK,CKCKC,ø,7,10,10,7,10,10,3,5,3,3,5,3,0,light,light,light,light,light,light,c,c,o,o,o,c,CK,CK,CCL,CL,CL,CKC,C,C,CC,C,C,C,?,?,?,?,?,C,K,K,L,L,L,K,2,2,3,3,2,5,1,1,0,0,0,1,1,1,2,1,1,1,1,1,2,2,2,1,CVC,CVC,CCVV,CVV,CVV,CVC,2,2,1,0,0,2,A,N,F,1,parapsychologisch,paenultima
ø,ø,n,en,ø,ø,ø,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,T,ø,ø,ø,ø,C,CC,CCK,CCKC,ø,ø,15,11,9,10,12,12,3,5,4,3,6,4,-1,heavy,light,light,heavy,light,schwa,c,c,o,c,o,c,ø,CK,CL,LCC,CL,CKC,CC,C,C,?,C,C,CC,?,?,CC,?,C,K,K,L,L,L,K,5,3,2,3,3,3,2,1,0,2,0,1,2,1,1,0,1,1,1,1,2,2,2,1,ø,CVC,CVV,VVCC,CVV,CVC,4,2,0,1,0,2,N,NN,T,2,Transmissionsriemen,antepaenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,g,ø,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,9,10,12,9,13,3,4,5,6,4,4,0,light,schwa,light,light,light,schwa,o,o,c,o,o,c,CL,CK,CK,CL,CL,CKC,C,C,C,C,C,C,?,?,?,?,?,C,L,K,K,L,L,K,2,2,2,2,3,3,0,0,1,0,0,1,1,1,1,1,1,1,2,1,1,2,2,1,CVV,CV,CVC,CVV,CVV,CVC,0,1,2,0,0,2,V,R,F,1,generalisieren,paenultima
ø,ø,h,ch,sch,isch,tisch,C,KC,CKC,CCKC,KCCKC,ø,ø,ø,i,ø,ø,ø,ø,K,KC,KCC,KCCC,ø,ø,11,11,9,6,12,10,5,3,4,6,4,3,-1,light,light,light,light,light,light,c,c,o,o,c,c,KC,ø,CL,L,CKC,CKC,?,CC,C,?,C,C,C,?,?,?,C,C,K,K,L,L,K,K,2,4,2,1,2,6,1,1,0,0,1,1,0,2,1,0,1,1,1,1,2,2,1,1,VC,CCVC,CVV,VV,CVC,CVC,1,3,0,0,2,2,A,N,F,1,impressionistisch,paenultima
ø,ø,g,ng,ung,ø,ø,C,KC,CKC,KCKC,CKCKC,ø,ø,ø,S,ø,ø,ø,ø,C,CL,CLC,CLCL,ø,ø,7,12,9,11,9,12,3,6,4,3,4,4,0,light,light,schwa,light,light,light,o,o,c,c,c,c,CL,CL,KC,CKC,CK,CKC,C,C,?,C,C,C,?,?,C,C,?,C,L,L,K,K,K,K,2,2,2,3,2,4,0,0,1,1,1,1,1,1,0,1,1,1,2,2,1,1,1,1,CVV,CVV,VC,CVC,CVC,CVC,0,0,1,2,2,2,N,NV,T,2,Serienfertigung,prima
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,ø,ø,ø,E,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,noacc,10,11,12,7,9,12,5,3,4,3,4,4,0,light,light,light,light,light,light,c,c,c,o,c,c,KC,CLC,CKC,CL,ø,CDC,?,C,C,C,?,C,C,C,C,?,C,C,K,L,K,L,K,D,2,3,3,2,3,4,1,1,1,0,1,1,0,1,1,1,0,1,1,2,1,2,1,2,VC,CVVC,CVC,CVV,VC,CVVC,1,1,2,0,1,1,N,NN,T,2,Erlebnisfaehigkeit,sekunda
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,i,ø,ø,ø,ø,K,KC,ø,ø,ø,ø,8,10,12,9,12,13,8,3,6,4,6,4,0,light,light,light,light,light,schwa,c,c,o,o,o,c,K,CKC,CL,CL,CL,CKC,?,C,C,C,C,C,?,C,?,?,?,C,K,K,L,L,L,K,2,2,3,2,3,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,2,2,2,1,VC,CVC,CVV,CVV,CVV,CVC,1,2,0,0,0,2,V,R,F,1,immatrikulieren,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,s,ø,ø,ø,ø,C,CK,CKC,CKCC,CKCCL,ø,10,7,9,9,9,13,3,3,4,4,4,4,0,light,light,light,light,light,schwa,c,o,c,o,o,c,CKC,CL,CK,CL,CL,CKC,C,C,C,C,C,C,C,?,?,?,?,C,K,L,K,L,L,K,2,3,2,2,3,3,1,0,1,0,0,1,1,1,1,1,1,1,1,2,1,2,2,1,CVC,CVV,CVC,CVV,CVV,CVC,2,0,2,0,0,2,V,ø,F,0,systematisieren,paenultima
