syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,pos,comp_struct,nomen,comp_len,Word,stress_class
e,ø,e,ie,lie,olie,folie,K,LK,CLK,LCLK,CLCLK,ø,A,ø,A,Al,Alu,Alum,Alumi,K,KC,KCL,KCLC,KCLCL,ø,6,12,11,11,11,7,12,6,6,6,5,5,5,3,6,6,-1,light,light,light,light,light,light,light,schwa,c,o,o,o,c,o,o,o,K,CL,CL,CL,KC,CL,CL,K,,C,C,C,,C,C,,,,,,C,,,,K,L,L,L,K,L,L,K,1,2,2,2,2,2,2,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,2,2,2,1,2,2,1,VC,CVV,CVV,CVV,VC,CVV,CVV,V,1,0,0,0,1,0,0,0,N,NN,T,2,Aluminiumfolie,undef
ter,ø,r,er,ter,eter,meter,C,KC,CKC,LCKC,CLCKC,ø,A,ø,A,An,Ane,Aner,Anero,K,KC,KCL,KCLC,KCLCL,ø,6,9,10,9,7,10,9,11,6,4,5,4,3,5,4,3,0,light,light,light,light,light,light,light,schwa,c,o,o,c,c,o,o,c,K,CL,CL,LC,CK,CL,CL,CKC,,C,C,,C,C,C,C,,,,C,,,,C,K,L,L,L,K,L,L,K,1,2,2,2,2,2,2,3,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,2,2,1,2,2,1,VC,CVV,CVV,VVC,CVC,CVV,CVV,CVC,1,0,0,0,2,0,0,2,N,NN,T,2,Aneroidbarometer,multa
de,ø,e,de,ade,lade,elade,K,CK,LCK,CLCK,KCLCK,ø,A,ø,A,Ap,Apr,Apri,Aprik,K,KC,KCC,KCCL,KCCLC,ø,6,13,7,10,13,9,14,7,6,4,3,3,4,4,7,3,0,light,light,light,schwa,light,schwa,light,schwa,c,o,o,c,c,o,o,o,K,CCL,CL,CKC,CKC,CK,CL,CK,,CC,C,C,C,C,C,C,,,,C,C,,,,K,L,L,K,K,K,L,K,1,3,2,3,3,2,2,2,1,0,0,1,1,0,0,0,0,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,VC,CCVV,CVV,CVC,CVC,CV,CVV,CV,1,1,0,2,2,1,0,1,N,NN,T,2,Aprikosenmarmelade,undef
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,aus,aus,a,au,aus,ause,ausei,D,DC,DCD,DCDC,DCDCK,acc,11,13,9,11,9,9,9,13,5,6,4,3,4,4,4,4,-1,light,light,light,schwa,light,light,light,schwa,c,c,c,c,o,o,o,c,DC,DC,KC,CKC,CL,CL,CL,CKC,,,,C,C,C,C,C,C,C,C,C,,,,C,D,D,K,K,L,L,L,K,3,3,2,3,2,2,3,3,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,1,VVC,VVC,VC,CVC,CVV,CVV,CVV,CVC,0,0,1,2,0,0,0,2,V,BV,F,2,auseinanderdividieren,undef
rie,ø,e,ie,rie,orie,eorie,L,CL,LCL,LLCL,CLLCL,ø,E,ø,E,Ev,Evo,Evol,Evolu,L,LC,LCL,LCLC,LCLCL,ø,6,7,12,9,10,7,6,12,6,3,6,4,3,3,6,6,0,light,light,light,light,heavy,light,light,light,o,o,o,o,c,o,o,o,L,CL,CL,AL,LCC,CL,L,CL,,C,C,A,,C,,C,,,,,CC,,,,L,L,L,L,L,L,L,L,1,2,2,2,3,3,1,3,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,1,2,2,2,2,2,2,2,2,VV,CVV,CVV,CVV,VVCC,CVV,VV,CVV,0,0,0,0,1,0,0,0,N,NN,T,2,Evolutionstheorie,undef
on,ø,n,on,ion,tion,ktion,C,LC,LLC,ALLC,CALLC,ø,Ex,ø,E,Ex,Exp,Expo,Expon,K,KC,KCC,KCCC,KCCCL,ø,8,7,12,9,14,13,9,9,2,3,4,4,7,3,4,4,0,heavy,light,light,light,light,heavy,light,light,c,o,c,o,c,c,o,c,KCC,CL,CKC,AL,LC,CKCC,AL,LC,,C,C,A,,C,A,,CC,,C,,C,CC,,C,K,L,K,L,L,K,L,L,2,2,3,2,2,4,2,2,2,0,1,0,1,2,0,1,0,1,1,1,0,1,1,0,1,2,1,2,2,1,2,2,VCC,CVV,CVC,CVV,VVC,CVCC,CVV,VVC,2,0,2,0,0,3,0,0,N,AN,T,2,Exponentialfunktion,undef
men,ø,n,en,men,omen,nomen,C,KC,CKC,LCKC,CLCKC,ø,In,ø,I,In,Int,Inte,Inter,K,KC,KCC,KCCK,KCCKC,ø,11,11,10,7,10,11,9,12,5,3,5,3,3,3,4,4,0,light,light,light,light,light,light,light,schwa,c,c,o,c,c,o,o,c,KC,CKC,CL,CK,CLC,CCL,CL,CKC,,C,C,C,C,CC,C,C,C,C,,,C,,,C,K,K,L,K,L,L,L,K,2,3,2,2,3,3,2,3,1,1,0,1,1,0,0,1,0,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,VC,CVC,CVV,CVC,CVVC,CCVV,CVV,CVC,1,2,0,2,1,1,0,2,N,AN,T,2,Interrogativpronomen,undef
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,ø,In,ø,I,In,Inv,Inva,Inval,K,KC,KCC,KCCK,KCCKC,ø,11,7,12,10,11,9,7,15,5,3,6,3,3,4,3,5,0,light,light,light,schwa,light,light,schwa,light,c,c,o,c,c,c,o,c,KC,CK,CL,CKC,CKC,CK,CK,CKC,,C,C,C,C,C,C,C,C,,,C,C,,,C,K,K,L,K,K,K,K,K,2,2,2,3,3,2,3,4,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,VC,CVC,CVV,CVC,CVC,CVC,CV,CVC,1,2,0,2,2,2,1,2,N,NN,T,2,Invalidenversicherung,undef
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,Ko,ø,K,Ko,Koa,Koal,Koali,C,CL,CLK,CLKC,CLKCL,ø,7,6,12,9,10,10,9,15,3,6,6,4,3,5,4,5,0,light,light,light,light,heavy,light,light,light,o,c,o,o,c,o,o,c,CL,K,CL,AL,LCC,CL,CL,CKC,C,,C,A,,C,C,C,,,,,CC,,,C,L,K,L,L,L,L,L,K,2,1,2,2,3,2,3,4,0,1,0,0,2,0,0,1,1,0,1,1,0,1,1,1,2,1,2,2,2,2,2,1,CVV,VC,CVV,CVV,VVCC,CVV,CVV,CVC,0,1,0,0,1,0,0,2,N,NN,T,2,Koalitionsregierung,undef
isch,isch,h,ch,sch,isch,eisch,C,KC,LKC,CLKC,LCLKC,ø,kon,ø,k,ko,kon,kont,konti,C,CK,CKC,CKCC,CKCCL,ø,10,9,12,15,10,10,7,9,3,4,4,5,10,5,3,4,-1,light,light,light,light,light,light,light,light,c,o,c,c,o,o,o,c,CKC,CL,CKC,CLC,D,CL,CL,KC,C,C,C,C,,C,C,,C,,C,C,,,,C,K,L,K,L,D,L,L,K,3,2,3,3,2,2,2,4,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,2,1,2,2,2,2,1,CVC,CVV,CVC,CVVC,VV,CVV,CVV,VC,2,0,2,1,0,0,0,1,A,AA,F,2,kontinentaleuropaeisch,undef
kon,ø,n,on,kon,ikon,xikon,C,KC,CKC,LCKC,CLCKC,ø,Kon,ø,K,Ko,Kon,Konv,Konve,C,CK,CKC,CKCC,CKCCK,ø,10,11,7,9,10,10,10,10,3,3,3,4,3,5,3,3,0,light,light,light,light,heavy,light,light,light,c,c,c,o,c,c,o,c,CKC,CKC,CK,AL,LCC,CK,CCL,CKC,C,C,C,A,,C,CC,C,C,C,,,CC,,,C,K,K,K,L,L,K,L,K,3,3,2,2,3,2,2,3,1,1,1,0,2,1,0,1,1,1,1,1,0,1,2,1,1,1,1,2,2,1,2,1,CVC,CVC,CVC,CVV,VVCC,CVC,CCVV,CVC,2,2,2,0,1,2,1,2,N,NN,T,2,Konversationslexikon,undef
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,ø,Kon,ø,K,Ko,Kon,Konz,Konze,C,CK,CKC,CKCA,CKCAK,ø,10,10,11,9,10,7,9,12,3,3,3,4,3,3,4,4,-1,light,light,light,light,heavy,light,light,light,c,c,c,o,c,o,c,c,CKC,AKC,CCK,AL,LCC,CL,KC,CDC,C,A,CC,A,,C,,C,C,C,,,CC,,C,C,K,K,K,L,L,L,K,D,3,3,3,2,3,2,3,4,1,1,1,0,2,0,1,1,1,1,2,1,0,1,0,1,1,1,1,2,2,2,1,2,CVC,CVC,CCVC,CVV,VVCC,CVV,VC,CVVC,2,2,3,0,1,0,1,1,N,NN,T,2,Konzentrationsfaehigkeit,undef
de,ø,e,de,ode,iode,riode,K,CK,LCK,LLCK,CLLCK,ø,Le,ø,L,Le,Leg,Legi,Legis,C,CL,CLC,CLCK,CLCKC,ø,10,10,10,13,7,12,6,7,5,3,5,4,3,6,6,3,-1,light,light,light,light,light,light,light,schwa,o,c,c,c,o,o,o,o,CL,CKC,CK,CLC,CL,CL,L,CK,C,C,C,C,C,C,,C,,C,,C,,,,,L,K,K,L,L,L,L,K,2,3,2,3,2,2,1,2,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,2,1,1,2,2,2,2,1,CVV,CVC,CVC,CVVC,CVV,CVV,VV,CV,0,2,2,1,0,0,0,1,N,NN,T,2,Legislaturperiode,undef
