attribute,7syl,6syl,5syl,4syl,3syl,2syl,ø Anzahl,,,,,,
syl_suffix,2,5,22,65,94,54,"68,4",247,1081,4183,11390,19416,12532
signi_suffix,9,13,20,29,37,23,"29,4146041884",,,,,,
suffix1,12,18,21,21,22,23,"21,7986652746",,,,,,
suffix2,2,9,22,47,71,71,"59,4871338205",,,,,,
suffix3,2,8,21,80,116,94,"90,8605908002",,,,,,
suffix4,2,8,17,60,115,42,"72,1168703556",,,,,,
suffix5,3,8,23,71,144,28,"83,1355401339",,,,,,
suffix_phoncat1,5,5,6,6,6,6,"5,9728141825",,,,,,
suffix_phoncat2,3,6,7,9,11,11,"10,0400417613",,,,,,
suffix_phoncat3,2,7,12,19,25,21,"20,9469794673",,,,,,
suffix_phoncat4,2,9,17,24,32,30,"27,676431452",,,,,,
suffix_phoncat5,2,6,22,36,45,31,"36,2598620238",,,,,,
suff_class,3,3,3,3,3,3,3,,,,,,
syl_praefix,1,4,37,94,102,45,"77,266146697",,,,,,
signi_praefix,5,14,20,22,24,23,"22,6172286024",,,,,,
praefix1,36,45,49,50,50,50,"49,7329320969",,,,,,
praefix2,1,2,25,86,130,107,"101,3639583205",,,,,,
praefix3,1,1,11,42,86,30,"52,6409343078",,,,,,
praefix4,1,1,7,37,106,26,"58,0557841512",,,,,,
praefix5,1,1,6,18,35,10,"21,2148866916",,,,,,
praefix_phoncat1,5,5,5,6,6,6,"5,8871829515",,,,,,
praefix_phoncat2,4,7,9,12,12,12,"11,5920080247",,,,,,
praefix_phoncat3,4,8,17,28,29,24,"25,8654015435",,,,,,
praefix_phoncat4,2,13,21,40,52,42,"42,866097566",,,,,,
praefix_phoncat5,1,11,27,52,76,52,"58,233310815",,,,,,
prae_class,3,3,3,3,3,3,3,,,,,,
sonority0,1,1,1,1,1,1,1,,,,,,
sonority1,1,1,1,1,1,1,1,,,,,,
sonority2,1,1,1,1,1,,1,,,,,,
sonority3,1,1,1,1,,,1,,,,,,
sonority4,1,1,1,,,,1,,,,,,
sonority5,1,1,,,,,1,,,,,,
sonority6,1,,,,,,1,,,,,,
sonority_ratio0,1,1,1,1,1,1,1,,,,,,
sonority_ratio1,1,1,1,1,1,1,1,,,,,,
sonority_ratio2,1,1,1,1,1,,1,,,,,,
sonority_ratio3,1,1,1,1,,,1,,,,,,
sonority_ratio4,1,1,1,,,,1,,,,,,
sonority_ratio5,1,1,,,,,1,,,,,,
sonority_ratio6,1,,,,,,1,,,,,,
sonority_dir,1,1,1,1,1,1,1,,,,,,
syl_weight0,3,3,3,3,3,3,3,,,,,,
syl_weight1,3,3,3,3,3,4,"3,2565456816",,,,,,
syl_weight2,3,3,3,3,3,,3,,,,,,
syl_weight3,3,3,3,4,,,"3,6739246198",,,,,,
syl_weight4,3,3,4,,,,"3,7590273997",,,,,,
syl_weight5,3,3,,,,,3,,,,,,
syl_weight6,3,,,,,,3,,,,,,
syl_open0,2,2,2,2,2,2,2,,,,,,
syl_open1,2,2,2,2,2,3,"2,2565456816",,,,,,
syl_open2,2,2,2,2,2,,2,,,,,,
syl_open3,2,2,2,3,,,"2,6739246198",,,,,,
