Nennungen der Features in J48:,,,,,
,,,,,
n,attr,ø values,normalized occurences,,
0,syl_suffix,"68,4",0,,
223,signi_suffix,"29,4","7,59",,
156,suffix1,"21,8","7,16",,
731,suffix2,"59,5","12,29",,
1912,suffix3,"90,9","21,03",,
1172,suffix4,"72,1","16,26",,
720,suffix5,"83,1","8,66",,
24,suffix_phoncat1,6,4,,
26,suffix_phoncat2,10,"2,6",,
119,suffix_phoncat3,"20,9","5,69",,
263,suffix_phoncat4,"27,7","9,49",,
653,suffix_phoncat5,"36,3","17,99",,
35,suff_class,3,"11,67",,
94,syl_praefix,"77,3","1,22",,
69,signi_praefix,"22,6","3,05",,
244,praefix1,"49,7","4,91",,
413,praefix2,"101,4","4,07",,
244,praefix3,"52,6","4,64",,
37,praefix4,"58,1","0,64",,
36,praefix5,"21,2","1,7",,
5,praefix_phoncat1,"5,9","0,85",,
9,praefix_phoncat2,"11,6","0,78",,
98,praefix_phoncat3,"25,9","3,78",1,
186,praefix_phoncat4,"42,9","4,34",,
308,praefix_phoncat5,"58,2","5,29",,
103,prae_class,3,"34,33",,
188,sonority0,2,94,,
92,sonority1,2,46,,
92,sonority2,2,46,,
86,sonority3,2,43,,
18,sonority4,2,9,,
4,sonority5,2,2,,
0,sonority6,2,0,,
98,sonority_ratio0,2,49,,
72,sonority_ratio1,2,36,,
64,sonority_ratio2,2,32,,
46,sonority_ratio3,2,23,,
12,sonority_ratio4,2,6,,
8,sonority_ratio5,2,4,,
0,sonority_ratio6,2,0,,
146,sonority_dir,2,73,,
42,syl_weight0,3,14,,
100,syl_weight1,"3,3","30,3",,
69,syl_weight2,3,23,,
58,syl_weight3,"3,7","15,68",,
8,syl_weight4,"3,8","2,11",,
3,syl_weight5,3,1,,
6,syl_weight6,3,2,,
22,syl_open0,2,11,,
39,syl_open1,"2,3","16,96",,
40,syl_open2,2,20,,
24,syl_open3,"2,7","8,89",,
8,syl_open4,"2,8","2,86",,
0,syl_open5,2,0,,
0,syl_open6,2,0,,
672,syl_phoncat0,"34,1","19,71",,
708,syl_phoncat1,"30,5","23,21",,
366,syl_phoncat2,"28,9","12,66",,
159,syl_phoncat3,"19,6","8,11",,
28,syl_phoncat4,"12,1","2,31",,
0,syl_phoncat5,"7,4",0,,
0,syl_phoncat6,5,0,,
11,onset_phoncat0,"5,5",2,,
10,onset_phoncat1,"5,5","1,82",,
0,onset_phoncat2,"5,4",0,,
0,onset_phoncat3,"5,5",0,,
0,onset_phoncat4,"5,7",0,,
0,onset_phoncat5,3,0,,
0,onset_phoncat6,2,0,,
0,koda_phoncat0,"7,5",0,,
7,koda_phoncat1,7,1,,
14,koda_phoncat2,"6,6","2,12",,
0,koda_phoncat3,"6,7",0,,
0,koda_phoncat4,6,0,,
0,koda_phoncat5,"4,4",0,,
0,koda_phoncat6,3,0,,
36,nucleus_phoncat0,4,9,,
66,nucleus_phoncat1,"4,3","15,35",,
51,nucleus_phoncat2,4,"12,75",,
45,nucleus_phoncat3,"4,7","9,57",,
24,nucleus_phoncat4,"4,5","5,33",,
0,nucleus_phoncat5,3,0,,
24,nucleus_phoncat6,4,6,,
140,syl_len0,2,70,,
106,syl_len1,2,53,,
82,syl_len2,2,41,,
38,syl_len3,2,19,,
10,syl_len4,2,5,,
2,syl_len5,2,1,,
0,syl_len6,2,0,,
30,koda_len0,2,15,,
40,koda_len1,2,20,,
38,koda_len2,2,19,,
18,koda_len3,2,9,,
6,koda_len4,2,3,,
0,koda_len5,2,0,,
0,koda_len6,2,0,,
58,onset_len0,2,29,,
18,onset_len1,2,9,,
16,onset_len2,2,8,,
10,onset_len3,2,5,,
20,onset_len4,2,10,,
0,onset_len5,2,0,,
0,onset_len6,2,0,,
36,nucleus_len0,2,18,,
48,nucleus_len1,2,24,,
28,nucleus_len2,2,14,,
20,nucleus_len3,2,10,,
12,nucleus_len4,2,6,,
8,nucleus_len5,2,4,,
8,nucleus_len6,2,4,,
195,syl_cv0,"17,7","11,02",,
115,syl_cv1,"16,6","6,93",,
122,syl_cv2,"16,6","7,35",,
53,syl_cv3,"13,1","4,05",,
0,syl_cv4,"8,9",0,,
8,syl_cv5,"7,1","1,13",,
0,syl_cv6,7,0,,
30,cv_ratio0,2,15,,
24,cv_ratio1,2,12,,
16,cv_ratio2,2,8,,
8,cv_ratio3,2,4,,
0,cv_ratio4,2,0,,
0,cv_ratio5,2,0,,
0,cv_ratio6,2,0,,
162,pos,5,"32,4",,
172,comp_struct,"15,8","10,89",,
66,nomen,2,33,,
159,comp_len,2,"79,5",,
Nennungen der Features in JRip:,,,,,
,,,,,
182,comp_len,,,,
146,syl_weight1,,,,
136,syl_len0,,,,
134,sonority0,,,,
87,syl_len1,,,,
81,prae_class,,,,
64,sonority1,,,,
62,nucleus_phoncat2,,,,
60,sonority_ratio0,,,,
60,sonority2,,,,
57,pos,,,,
52,syl_weight2,,,,
52,suff_class,,,,
48,syl_len2,,,,
47,syl_phoncat0,,,,
46,nucleus_len2,,,,
46,nucleus_len1,,,,
45,onset_len0,,,,
44,suffix_phoncat4,,,,
44,nucleus_phoncat1,,,,
43,sonority3,,,,
35,syl_len3,,,,
34,suffix_phoncat2,,,,
34,sonority_ratio2,,,,
30,nucleus_phoncat0,,,,
29,suffix3,,,,
28,suffix2,,,,
28,sonority_ratio3,,,,
28,nucleus_phoncat3,,,,
27,syl_open2,,,,
27,suffix1,,,,
27,koda_len2,,,,
27,cv_ratio2,,,,
26,suffix4,,,,
26,sonority_ratio1,,,,
26,nucleus_len0,,,,
25,syl_weight3,,,,
25,sonority_dir,,,,
24,syl_phoncat3,,,,
23,syl_weight0,,,,
23,syl_open1,,,,
22,koda_len1,,,,
21,cv_ratio0,,,,
20,praefix_phoncat2,,,,
20,comp_struct,,,,
19,syl_phoncat2,,,,
19,suffix5,,,,
18,syl_open3,,,,
18,sonority4,,,,
17,syl_cv1,,,,
17,suffix_phoncat3,,,,
16,syl_open0,,,,
15,syl_cv2,,,,
15,suffix_phoncat5,,,,
14,syl_phoncat1,,,,
14,nucleus_len3,,,,
14,cv_ratio1,,,,
13,praefix2,,,,
13,praefix1,,,,
13,koda_phoncat2,,,,
13,koda_phoncat1,,,,
12,syl_len4,,,,
12,cv_ratio3,,,,
11,syl_weight4,,,,
11,syl_suffix,,,,
11,syl_cv3,,,,
11,syl_cv0,,,,
11,suffix_phoncat1,,,,
11,koda_len0,,,,
9,praefix_phoncat5,,,,
9,onset_phoncat0,,,,
9,nucleus_phoncat4,,,,
8,syl_phoncat4,,,,
8,signi_suffix,,,,
8,koda_len3,,,,
7,praefix_phoncat1,,,,
7,praefix3,,,,
7,nucleus_len4,,,,
7,cv_ratio4,,,,
6,syl_cv4,,,,
6,praefix_phoncat3,,,,
6,onset_len3,,,,
6,onset_len2,,,,
6,onset_len1,,,,
5,syl_phoncat5,,,,
5,syl_open4,,,,
5,sonority_ratio4,,,,
5,praefix_phoncat4,,,,
5,onset_phoncat2,,,,
5,nomen,,,,
4,signi_praefix,,,,
4,praefix4,,,,
4,nucleus_phoncat5,,,,
4,cv_ratio5,,,,
3,syl_weight5,,,,
3,sonority5,,,,
3,koda_phoncat3,,,,
2,syl_praefix,,,,
2,syl_cv5,,,,
2,praefix5,,,,
2,onset_phoncat4,,,,
2,onset_phoncat1,,,,
2,onset_len4,,,,
2,koda_len4,,,,
1,syl_open5,,,,
1,sonority_ratio5,,,,
1,onset_phoncat3,,,,
1,nucleus_len5,,,,
1,koda_phoncat4,,,,
1,koda_phoncat0,,,,
0,syl_weight6,,,,
0,syl_phoncat6,,,,
0,syl_open6,,,,
0,syl_len6,,,,
0,syl_len5,,,,
0,syl_cv6,,,,
0,sonority_ratio6,,,,
0,sonority6,,,,
0,onset_phoncat6,,,,
0,onset_phoncat5,,,,
0,onset_len6,,,,
0,onset_len5,,,,
0,nucleus_phoncat6,,,,
0,nucleus_len6,,,,
0,koda_phoncat6,,,,
0,koda_phoncat5,,,,
0,koda_len6,,,,
0,koda_len5,,,,
0,cv_ratio6,,,,
,,,,,
Wichtigste JRip-Regeln:,,,,,
,,,,,
,,,,,
634.0,0.0,1,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (sonority_ratio0 <= 3) and (syl_len0 <= 3) and (onset_len0 >= 1) and (nucleus_len0 <= 1) and (koda_len0 <= 0) => stress_class=paenultima (634.0/0.0)
596.0,54.0,0.909396,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio0 >= 2) and (sonority0 <= 11) and (syl_len0 <= 3) and (nucleus_len1 >= 2) => stress_class=paenultima (596.0/54.0)
557.0,55.0,0.901257,3syl,models-all.txt,3syl/models-all.txt:(nucleus_len2 >= 2) and (comp_len <= 1) and (signi_suffix = ø) and (suffix_phoncat2 = LC) and (syl_weight1 = light) => stress_class=ultima (557.0/55.0)
490.0,43.0,0.912245,3syl,models-numeric.txt,3syl/models-numeric.txt:(nucleus_len2 >= 2) and (comp_len <= 1) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3) => stress_class=ultima (490.0/43.0)
459.0,39.0,0.915033,4syl,models-all.txt,4syl/models-all.txt:(nucleus_phoncat3 = L) and (comp_len <= 1) and (syl_len2 <= 2) and (suffix_phoncat1 = C) => stress_class=ultima (459.0/39.0)
457.0,61.0,0.866521,3syl,models-sparse.txt,3syl/models-sparse.txt:(nucleus_len2 >= 2) and (comp_len <= 1) and (syl_len1 <= 2) and (koda_phoncat2 = C) => stress_class=ultima (457.0/61.0)
455.0,59.0,0.87033,5syl,models-all.txt,5syl/models-all.txt:(comp_len <= 1) and (suffix_phoncat4 = LCKC) => stress_class=paenultima (455.0/59.0)
452.0,36.0,0.920354,4syl,models-sparse.txt,4syl/models-sparse.txt:(nucleus_phoncat3 = L) and (comp_len <= 1) and (syl_len2 <= 2) and (koda_phoncat3 = C) => stress_class=ultima (452.0/36.0)
405.0,34.0,0.916049,4syl,models-numeric.txt,4syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio2 <= 0) and (cv_ratio1 <= 0) and (onset_len0 >= 1) => stress_class=paenultima (405.0/34.0)
398.0,22.0,0.944724,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (sonority0 <= 10) and (sonority0 >= 10) and (onset_len0 <= 0) and (nucleus_len0 <= 1) => stress_class=paenultima (398.0/22.0)
382.0,86.0,0.774869,3syl,models-sparse.txt,3syl/models-sparse.txt:(syl_weight2 = heavy) and (syl_weight1 = light) and (comp_len <= 1) => stress_class=ultima (382.0/86.0)
363.0,50.0,0.862259,5syl,models-all.txt,5syl/models-all.txt:(nucleus_phoncat4 = L) and (comp_len <= 1) => stress_class=ultima (363.0/50.0)
355.0,57.0,0.839437,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (nucleus_phoncat1 = L) and (sonority0 <= 10) and (suffix_phoncat4 = LCKC) => stress_class=paenultima (355.0/57.0)
322.0,98.0,0.695652,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (nucleus_phoncat1 = L) and (syl_len0 <= 3) and (onset_phoncat2 = C) and (onset_len0 >= 1) => stress_class=paenultima (322.0/98.0)
316.0,22.0,0.93038,5syl,models-sparse.txt,5syl/models-sparse.txt:(nucleus_phoncat4 = L) and (comp_len <= 1) and (syl_len3 <= 2) => stress_class=ultima (316.0/22.0)
311.0,70.0,0.77492,4syl,models-numeric.txt,4syl/models-numeric.txt:(syl_len0 <= 2) and (comp_len <= 1) and (sonority0 <= 8) and (sonority_ratio0 >= 6) => stress_class=paenultima (311.0/70.0)
305.0,38.0,0.87541,4syl,models-numeric.txt,4syl/models-numeric.txt:(nucleus_len3 >= 2) and (syl_len2 <= 2) and (comp_len <= 1) and (syl_len3 >= 3) => stress_class=ultima (305.0/38.0)
304.0,3.0,0.990132,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio0 >= 2) and (syl_len0 <= 3) and (sonority_ratio0 <= 3) and (sonority0 >= 11) and (sonority1 >= 12) => stress_class=paenultima (304.0/3.0)
301.0,2.0,0.993355,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (praefix_phoncat1 = C) and (syl_suffix = ren) => stress_class=paenultima (301.0/2.0)
286.0,43.0,0.84965,4syl,models-meta.txt,4syl/models-meta.txt:(comp_len <= 1) and (nomen = F) and (comp_struct = R) => stress_class=paenultima (286.0/43.0)
281.0,52.0,0.814947,5syl,models-sparse.txt,5syl/models-sparse.txt:(comp_len <= 1) and (cv_ratio4 >= 2) and (syl_weight4 = light) and (syl_weight1 = light) => stress_class=paenultima (281.0/52.0)
281.0,0.0,1,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (sonority0 <= 10) and (syl_phoncat0 = CK) and (sonority0 <= 7) and (syl_weight2 = schwa) => stress_class=paenultima (281.0/0.0)
279.0,19.0,0.9319,3syl,models-sparse.txt,3syl/models-sparse.txt:(cv_ratio2 <= 0) and (syl_len2 >= 3) and (comp_len <= 1) => stress_class=ultima (279.0/19.0)
275.0,17.0,0.938182,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (syl_weight1 = light) and (onset_len0 >= 1) and (sonority_dir >= 1) => stress_class=paenultima (275.0/17.0)
269.0,22.0,0.918216,5syl,models-numeric.txt,5syl/models-numeric.txt:(comp_len <= 1) and (nucleus_len3 >= 2) and (sonority4 >= 13) and (syl_len4 <= 3) => stress_class=paenultima (269.0/22.0)
252.0,71.0,0.718254,3syl,models-meta.txt,3syl/models-meta.txt:(comp_len <= 1) and (pos = V) and (comp_struct = N) => stress_class=paenultima (252.0/71.0)
246.0,3.0,0.987805,4syl,models-numeric.txt,4syl/models-numeric.txt:(nucleus_len3 >= 2) and (cv_ratio2 <= 0) and (sonority3 <= 9) and (koda_len3 >= 1) and (comp_len <= 1) => stress_class=ultima (246.0/3.0)
233.0,8.0,0.965665,5syl,models-numeric.txt,5syl/models-numeric.txt:(cv_ratio4 <= 0) and (comp_len <= 1) and (sonority4 >= 9) => stress_class=ultima (233.0/8.0)
230.0,2.0,0.991304,5syl,models-sparse.txt,5syl/models-sparse.txt:(comp_len <= 1) and (cv_ratio4 >= 2) and (pos = V) and (prae_class = ø) => stress_class=paenultima (230.0/2.0)
224.0,10.0,0.955357,3syl,models-all.txt,3syl/models-all.txt:(syl_suffix = ø) and (comp_len <= 1) and (syl_weight2 = heavy) and (syl_weight1 = light) and (sonority0 <= 10) and (signi_praefix = ø) => stress_class=ultima (224.0/10.0)
