,praefix,suffix,affix,phoncat,weight,sonority,phon,sylstruct,meta,sparse,numeric,all,,,,,
syl_suffix,,X,X,,,,,,,,,X,,,,,
signi_suffix,,X,X,,,,,,,,,X,,,,,
suffix[1-5],,X,X,,,,,,,,,X,,,,,
suffix_phoncat[1-5],,X,X,,,,,,,,,X,,,,,
suff_class,,X,X,,,,,,,X,,X,,,,,
syl_praefix,X,,X,,,,,,,,,X,,,,,
signi_praefix,X,,X,,,,,,,,,X,,,,,
praefix[1-5],X,,X,,,,,,,,,X,,,,,
praefix_phoncat[1-5],X,,X,,,,,,,,,X,,,,,
prae_class,X,,X,,,,,,,X,,X,,,,,
sonority[i],,,,,,X,X,,,X,X,X,,,,,
sonority_ratio[i],,,,,,X,X,,,X,X,X,,,,,
sonority_dir,,,,,,X,X,,,X,X,X,,,,,
syl_weight[i],,,,,X,,X,,,X,,X,,,,,
syl_open[i],,,,,X,,X,,,X,,X,,,,,
syl_phoncat[i],,,,X,,,X,,,,,X,,,,,
onset_phoncat[i],,,,X,,,X,,,X,,X,,,,,
koda_phoncat[i],,,,X,,,X,,,X,,X,,,,,
nucleus_phoncat[i],,,,X,,,X,,,X,,X,,,,,
syl_len[i],,,,,,,,X,,X,X,X,,,,,
koda_len[i],,,,,,,,X,,X,X,X,,,,,
onset_len[i],,,,,,,,X,,X,X,X,,,,,
nucleus_len[i],,,,,,,,X,,X,X,X,,,,,
syl_cv[i],,,,,,,,X,,,,X,,,,,
cv_ratio[i],,,,,,,,X,,X,X,X,,,,,
pos,,,,,,,,,X,X,,X,,,,,
comp_struct,,,,,,,,,X,,,X,,,,,
nomen,,,,,,,,,X,X,,X,,,,,
comp_len,,,,,,,,,X,X,X,X,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,meta
,disjunkt ,zu,,,,,,,,,obermenge,,,,,,
,praefix,suffix,phoncat,weight,sonority,phon,sylstruct,meta,numeric,,all,sparse,numeric,,,,sylstruct
,suffix,phoncat,weight,sonority,phon,sylstruct,meta,numeric,,,,,,,,,
,affix,phoncat,weight,sonority,phon,sylstruct,meta,numeric,,,,,,,,,sonority
,phoncat,praefix,suffix,affix,weight,sonority,sylstruct,meta,numeric,,,,,,,,
,weight,praefix,suffix,affix,phoncat,sonority,sylstruct,meta,numeric,,,,,,,phon,weight
,sonority,praefix,suffix,affix,phoncat,weight,sylstruct,meta,,,,,,,,,
,phon,praefix,suffix,affix,sylstruct,meta,,,,,,,,,,,phoncat
,sylstruct,praefix,suffix,affix,phoncat,weight,sonority,phon,meta,,,,,,,,
,meta,praefix,suffix,affix,phoncat,weight,sonority,phon,sylstruct,,,,,,,,suffix
,sparse,,,,,,,,,,,,,,,affix,
,numeric,praefix,suffix,affix,phoncat,weight,,,,,,,,,,,präfix
,all,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,paarweise disjunkt,,,,,,,,,,,,,,,,
,praefix,suffix,phoncat,weight,sonority,sylstruct,meta,,,,,,,,,,
,praefix,suffix,phon,,,sylstruct,meta,,,,,,,,,,
,affix,phon,sylstruct,meta,,,,,,,,,,,,,
,phoncat,weight,sonority,,,,,,,,,,,,,,
,affix,sonority,phon,sylstruct,,,,,,,,,,,,,
nicht paarweise disj:,all,sparse,numeric,,,,,,,,,,,,,,
,numeric,affix,phoncat,weight,,,,,,,,,,,,,
