syl,Percent_correct,F_measure,measureTreeSize,measureNumLeaves
2,92.5134944848627,0.9579322168007385,520.0,482.0
2,95.21239145740437,0.9723051859896823,367.0,337.0
2,94.67261206289604,0.9690609240834128,322.0,285.0
2,94.43792536963154,0.967591959524135,246.0,219.0
2,94.81342407885472,0.9699278813444008,243.0,214.0
2,94.4144567003051,0.9676981541802389,204.0,180.0
2,93.75733395916451,0.9641606036108865,72.0,57.0
2,92.11452710631308,0.95525965379494,34.0,20.0
3,91.00272644653136,0.9344573735454761,1544.0,1470.0
3,91.71463192971827,0.9394469723486174,1537.0,1464.0
3,91.54801575280219,0.9388089388089387,1114.0,1070.0
3,91.62375037867312,0.9390173074689278,1079.0,1039.0
3,91.27537109966677,0.9365853658536585,845.0,811.0
3,91.0936079975765,0.9362050801826056,625.0,597.0
3,90.1999394122993,0.9307674254869749,356.0,334.0
3,89.66979703120266,0.9284382284382284,170.0,152.0
4,90.10847107438016,0.9162039374053508,1287.0,1158.0
4,89.54028925619835,0.9129007826306489,915.0,824.0
4,88.79132231404958,0.9041645760160562,341.0,295.0
4,87.99070247933884,0.8978046934140801,278.0,239.0
4,86.80268595041322,0.8887225548902196,284.0,250.0
4,87.70661157024793,0.9010494752623689,316.0,284.0
4,85.82128099173553,0.8886659979939819,213.0,189.0
4,83.4194214876033,0.8705708661417322,164.0,149.0
5,86.27726952850105,0.9194312796208531,743.0,614.0
5,83.53272343420127,0.9,409.0,328.0
5,81.91414496833217,0.8857589984350548,235.0,187.0
5,80.99929627023224,0.8952380952380953,151.0,113.0
5,81.14004222378607,0.8980891719745223,134.0,102.0
5,80.22519352568614,0.8868501529051988,155.0,129.0
5,76.84729064039409,0.8708708708708709,62.0,47.0
5,74.17311752287122,0.8092307692307692,41.0,35.0
6,85.32608695652173,0.8680851063829788,161.0,124.0
6,82.33695652173913,0.8362068965517241,73.0,51.0
6,79.8913043478261,0.8017241379310344,40.0,26.0
6,79.07608695652173,0.7846153846153846,43.0,31.0
6,78.80434782608695,0.7918367346938776,21.0,14.0
6,78.80434782608695,0.7795275590551182,30.0,21.0
6,72.01086956521739,0.6872246696035242,14.0,8.0
6,55.16304347826087,0.5830258302583026,5.0,3.0
7,72.09302325581395,0.6666666666666666,47.0,27.0
7,73.25581395348837,0.7083333333333334,28.0,17.0
7,68.6046511627907,0.5957446808510639,17.0,10.0
7,70.93023255813954,0.6909090909090909,12.0,7.0
7,68.6046511627907,0.6037735849056605,11.0,6.0
7,73.25581395348837,0.6341463414634146,10.0,6.0
7,47.674418604651166,0.5974025974025974,3.0,2.0
7,29.069767441860463,0.45045045045045046,1.0,1.0
