normalized occurences,nominal occurences,branching factor,attr
94,188,2,sonority0
"79,5",159,2,comp_len
73,146,2,sonority_dir
70,140,2,syl_len0
53,106,2,syl_len1
49,98,2,sonority_ratio0
46,92,2,sonority1
46,92,2,sonority2
43,86,2,sonority3
41,82,2,syl_len2
36,72,2,sonority_ratio1
"34,33",103,3,prae_class
33,66,2,nomen
"32,4",162,5,pos
32,64,2,sonority_ratio2
"30,3",100,"3,3",syl_weight1
29,58,2,onset_len0
24,48,2,nucleus_len1
"23,21",708,"30,5",syl_phoncat1
23,46,2,sonority_ratio3
23,69,3,syl_weight2
"21,03",1912,"90,9",suffix3
20,40,2,syl_open2
20,40,2,koda_len1
"19,71",672,"34,1",syl_phoncat0
19,38,2,syl_len3
19,38,2,koda_len2
18,36,2,nucleus_len0
"17,99",653,"36,3",suffix_phoncat5
"16,96",39,"2,3",syl_open1
"16,26",1172,"72,1",suffix4
"15,68",58,"3,7",syl_weight3
"15,35",66,"4,3",nucleus_phoncat1
15,30,2,koda_len0
15,30,2,cv_ratio0
14,42,3,syl_weight0
14,28,2,nucleus_len2
"12,75",51,4,nucleus_phoncat2
"12,66",366,"28,9",syl_phoncat2
"12,29",731,"59,5",suffix2
12,24,2,cv_ratio1
"11,67",35,3,suff_class
"11,02",195,"17,7",syl_cv0
11,22,2,syl_open0
"10,89",172,"15,8",comp_struct
10,20,2,onset_len4
10,20,2,nucleus_len3
"9,57",45,"4,7",nucleus_phoncat3
"9,49",263,"27,7",suffix_phoncat4
9,18,2,sonority4
9,36,4,nucleus_phoncat0
9,18,2,koda_len3
9,18,2,onset_len1
"8,89",24,"2,7",syl_open3
"8,66",720,"83,1",suffix5
"8,11",159,"19,6",syl_phoncat3
8,16,2,onset_len2
8,16,2,cv_ratio2
"7,59",223,"29,4",signi_suffix
"7,35",122,"16,6",syl_cv2
"7,16",156,"21,8",suffix1
"6,93",115,"16,6",syl_cv1
6,12,2,sonority_ratio4
6,24,4,nucleus_phoncat6
6,12,2,nucleus_len4
"5,69",119,"20,9",suffix_phoncat3
"5,33",24,"4,5",nucleus_phoncat4
"5,29",308,"58,2",praefix_phoncat5
5,10,2,syl_len4
5,10,2,onset_len3
"4,91",244,"49,7",praefix1
"4,64",244,"52,6",praefix3
"4,34",186,"42,9",praefix_phoncat4
"4,07",413,"101,4",praefix2
"4,05",53,"13,1",syl_cv3
4,24,6,suffix_phoncat1
4,8,2,sonority_ratio5
4,8,2,nucleus_len5
4,8,2,nucleus_len6
4,8,2,cv_ratio3
"3,78",98,"25,9",praefix_phoncat3
"3,05",69,"22,6",signi_praefix
3,6,2,koda_len4
"2,86",8,"2,8",syl_open4
"2,6",26,10,suffix_phoncat2
"2,31",28,"12,1",syl_phoncat4
"2,12",14,"6,6",koda_phoncat2
"2,11",8,"3,8",syl_weight4
2,4,2,sonority5
2,6,3,syl_weight6
2,11,"5,5",onset_phoncat0
"1,82",10,"5,5",onset_phoncat1
"1,7",36,"21,2",praefix5
"1,22",94,"77,3",syl_praefix
"1,13",8,"7,1",syl_cv5
1,3,3,syl_weight5
1,7,7,koda_phoncat1
1,2,2,syl_len5
"0,85",5,"5,9",praefix_phoncat1
"0,78",9,"11,6",praefix_phoncat2
"0,64",37,"58,1",praefix4
0,0,"68,4",syl_suffix
0,0,2,sonority6
0,0,2,sonority_ratio6
0,0,2,syl_open5
0,0,2,syl_open6
0,0,"7,4",syl_phoncat5
0,0,5,syl_phoncat6
0,0,"5,4",onset_phoncat2
0,0,"5,5",onset_phoncat3
0,0,"5,7",onset_phoncat4
0,0,3,onset_phoncat5
0,0,2,onset_phoncat6
0,0,"7,5",koda_phoncat0
0,0,"6,7",koda_phoncat3
0,0,6,koda_phoncat4
0,0,"4,4",koda_phoncat5
0,0,3,koda_phoncat6
0,0,3,nucleus_phoncat5
0,0,2,syl_len6
0,0,2,koda_len5
0,0,2,koda_len6
0,0,2,onset_len5
0,0,2,onset_len6
0,0,"8,9",syl_cv4
0,0,7,syl_cv6
0,0,2,cv_ratio4
0,0,2,cv_ratio5
0,0,2,cv_ratio6
