ø weighted,occurences,ø attr values,attr
188,188,1,sonority0
159,159,1,comp_len
146,146,1,sonority_dir
140,140,1,syl_len0
106,106,1,syl_len1
98,98,1,sonority_ratio0
92,92,1,sonority1
92,92,1,sonority2
86,86,1,sonority3
82,82,1,syl_len2
72,72,1,sonority_ratio1
64,64,1,sonority_ratio2
58,58,1,onset_len0
48,48,1,nucleus_len1
46,46,1,sonority_ratio3
40,40,1,koda_len1
38,38,1,syl_len3
38,38,1,koda_len2
36,36,1,nucleus_len0
"34,3333333333",103,3,prae_class
33,66,2,nomen
"32,4",162,5,pos
30,30,1,koda_len0
30,30,1,cv_ratio0
29,58,2,syl_weight3
28,28,1,nucleus_len2
25,100,4,syl_weight1
24,24,1,syl_open3
24,24,1,nucleus_phoncat4
24,24,1,nucleus_phoncat6
24,24,1,cv_ratio1
23,69,3,syl_weight2
"22,8387096774",708,31,syl_phoncat1
"22,7142857143",159,7,syl_phoncat3
"22,5",45,2,nucleus_phoncat3
"21,010989011",1912,91,suffix3
20,40,2,syl_open2
20,20,1,onset_len4
20,20,1,nucleus_len3
"19,2",672,35,syl_phoncat0
18,18,1,sonority4
18,18,1,koda_len3
18,18,1,onset_len1
"17,6486486486",653,37,suffix_phoncat5
17,51,3,nucleus_phoncat2
"16,6363636364",366,22,syl_phoncat2
"16,0547945205",1172,73,suffix4
16,16,1,onset_len2
16,16,1,cv_ratio2
14,42,3,syl_weight0
14,28,2,syl_phoncat4
"13,2",66,5,nucleus_phoncat1
13,39,3,syl_open1
"12,1833333333",731,60,suffix2
12,12,1,sonority_ratio4
12,12,1,nucleus_len4
"11,6666666667",35,3,suff_class
11,22,2,syl_open0
"10,8333333333",195,18,syl_cv0
"10,75",172,16,comp_struct
"10,6",53,5,syl_cv3
10,10,1,syl_len4
10,10,1,onset_len3
"9,3928571429",263,28,suffix_phoncat4
"9,3846153846",122,13,syl_cv2
9,36,4,nucleus_phoncat0
"8,5714285714",720,84,suffix5
8,8,1,sonority_ratio5
8,8,1,syl_weight4
8,8,1,syl_open4
8,8,1,nucleus_len5
8,8,1,nucleus_len6
8,8,1,syl_cv5
8,8,1,cv_ratio3
"7,4333333333",223,30,signi_suffix
"7,0909090909",156,22,suffix1
"6,7647058824",115,17,syl_cv1
6,6,1,syl_weight6
6,6,1,koda_len4
"5,6666666667",119,21,suffix_phoncat3
"5,2203389831",308,59,praefix_phoncat5
"4,88",244,50,praefix1
"4,6037735849",244,53,praefix3
"4,3255813953",186,43,praefix_phoncat4
"4,0490196078",413,102,praefix2
4,24,6,suffix_phoncat1
4,4,1,sonority5
"3,7692307692",98,26,praefix_phoncat3
3,69,23,signi_praefix
3,3,1,syl_weight5
"2,8",14,5,koda_phoncat2
"2,3636363636",26,11,suffix_phoncat2
2,2,1,syl_len5
"1,8333333333",11,6,onset_phoncat0
"1,6666666667",10,6,onset_phoncat1
"1,6363636364",36,22,praefix5
"1,2051282051",94,78,syl_praefix
"0,875",7,8,koda_phoncat1
"0,8333333333",5,6,praefix_phoncat1
"0,75",9,12,praefix_phoncat2
"0,6271186441",37,59,praefix4
0,0,69,syl_suffix
0,0,1,sonority6
0,0,1,sonority_ratio6
0,0,1,syl_open5
0,0,1,syl_open6
0,0,1,syl_phoncat5
0,0,1,syl_phoncat6
0,0,5,onset_phoncat2
0,0,2,onset_phoncat3
0,0,1,onset_phoncat4
0,0,1,onset_phoncat5
0,0,1,onset_phoncat6
0,0,8,koda_phoncat0
0,0,3,koda_phoncat3
0,0,1,koda_phoncat4
0,0,1,koda_phoncat5
0,0,1,koda_phoncat6
0,0,1,nucleus_phoncat5
0,0,1,syl_len6
0,0,1,koda_len5
0,0,1,koda_len6
0,0,1,onset_len5
0,0,1,onset_len6
0,0,2,syl_cv4
0,0,1,syl_cv6
0,0,1,cv_ratio4
0,0,1,cv_ratio5
0,0,1,cv_ratio6
