syl,Percent_correct,F_measure,measureNumRules
2,95.4705468199953,0.973773610544911,26.0
3,91.41169342623448,0.9377255267140031,39.0
4,89.6694214876033,0.9116302691721686,59.0
5,82.75862068965517,0.8910891089108911,39.0
6,78.26086956521739,0.7750000,22.0
7,65.11627906976744,0.5666666666666667,7.0
2,95.40014081201596,0.973405698778833,26.0
3,91.00272644653136,0.9351927809680065,27.0
4,89.20454545454545,0.908137793310035,44.0
5,81.63265306122449,0.8384,40.0
6,78.26086956521739,0.768595041322314,17.0
7,67.44186046511628,0.631578947368421,5.0
2,94.86036141750763,0.9700942236788203,16.0
3,92.01757043320205,0.941961151415867,38.0
4,88.76549586776859,0.904630788485607,41.0
5,81.98451794510908,0.8823529411764705,22.0
6,77.44565217391305,0.7218045112781956,10.0
7,69.76744186046511,0.6666666666666666,5.0
2,95.02464210279277,0.9711486118671748,15.0
3,91.72977885489246,0.9413274233057273,26.0
4,86.82851239669421,0.8908913784705311,32.0
5,80.43631245601689,0.8945578231292517,18.0
6,72.01086956521739,0.6905537459283387,7.0
7,56.97674418604651,0.5647058823529413,3.0
2,94.43792536963154,0.9680636032879666,12.0
3,91.5177219024538,0.9391750174784432,22.0
4,86.5702479338843,0.8849382716049382,29.0
5,80.29556650246306,0.8595890410958904,17.0
6,71.73913043478261,0.6807017543859649,5.0
7,29.069767441860463,0.45045045045045046,1.0
2,94.1328326683877,0.966087900162778,11.0
3,91.26022417449258,0.9377186843946815,23.0
4,87.65495867768595,0.8975634012928891,27.0
5,74.45460942997889,0.7852348993288591,11.0
6,65.48913043478261,0.6498422712933754,3.0
7,29.069767441860463,0.45045045045045046,1.0
2,91.80943440506923,0.9534604613948526,5.0
3,90.27567403817025,0.9310583352547843,15.0
4,84.22004132231405,0.8646524195529355,19.0
5,69.38775510204081,0.7471264367816092,8.0
6,65.48913043478261,0.6498422712933754,3.0
7,29.069767441860463,0.45045045045045046,1.0
2,91.99718375968082,0.9543934733181757,5.0
3,89.86670705846713,0.9283331416081905,11.0
4,78.20247933884298,0.8184357541899442,10.0
5,63.406052076002815,0.7012987012987014,4.0
6,31.25,0.47619047619047616,1.0
7,29.069767441860463,0.45045045045045046,1.0
