4 Silben,,,,
J48,"root depth=1, jede entscheidung tiefe++",,,
,size,#leaves,depth,precision
affix,1785,1767,5,
sylstruct,203,115,13,
phon,651,606,8,
all,1487,1463,9,
,,,,
Jrip,pro conditin depth++,,,
,#rules,depth,precision,
affix,19,4,,
sylstruct,27,9,,
phon,38,7,,
all,35,6,,
,,,,
NN,,,,
,#hidden units,precision,,
affix,5,,,
,10,,,
,15,,,
,20,,,
,30,,,
,50,,,
,100,,,
,,,,
sylstruct,5,,,
,10,,,
,15,,,
,20,,,
,30,,,
,50,,,
,100,,,
,,,,
phon,5,,,
,10,,,
,15,,,
,20,,,
,30,,,
,50,,,
,100,,,
,,,,
all,5,,,
,10,,,
,15,,,
,20,,,
,30,,,
,50,,,
,100,,,
