basic_pos,praefix,stress_class
A,ø,prima
N,ø,ultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,antepaenultima
A,ø,ultima
N,ø,paenultima
A,ø,paenultima
ADV,ø,prima
V,ø,paenultima
N,ø,paenultima
N,ø,ultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
N,ø,ultima
N,ø,ultima
ADV,ø,paenultima
V,ent,paenultima
V,ent,paenultima
V,ent,paenultima
N,ø,ultima
N,ø,ultima
N,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
N,ø,ultima
N,ø,ultima
V,ø,paenultima
N,ø,ultima
N,ø,None
N,ø,ultima
N,ø,ultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
ADV,ø,None
N,ø,None
N,ø,paenultima
A,ø,prima
N,ø,ultima
A,ø,ultima
N,ø,paenultima
N,ø,ultima
N,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,prima
ADV,ø,multa
A,ø,None
V,ø,paenultima
V,ø,paenultima
A,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,prima
N,ø,ultima
A,ø,paenultima
N,ø,sekunda
N,ø,paenultima
N,ø,ultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,ultima
A,ø,None
N,ø,ultima
N,ø,ultima
V,ø,paenultima
N,ø,multa
N,ø,None
N,ø,ultima
N,ø,ultima
N,ø,paenultima
A,ø,paenultima
ADV,ø,multa
ADV,ø,multa
ADV,ø,multa
ADV,ø,multa
N,ø,prima
ADV,ø,multa
N,ø,prima
N,ver,sekunda
V,ver,paenultima
ADV,ø,multa
ADV,ø,multa
N,ø,sekunda
N,ø,sekunda
